"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","NumericPass","AdjacentPass","PassingNeighbors","Decision"
"odc_asian045","84.59","1.21","109","9.31","1.07","37","94.29","0.16","1.18","146","0.75","False","True","odc_center;odc_asian065","REJECT_BEFORE_HOLDOUT"
"odc_asian065","94.94","1.23","119","25.43","1.19","39","120.76","0.2","1.22","158","0.73","True","True","odc_center","DISCOVERY_ELIGIBLE"
"odc_center","90.87","1.22","120","25.43","1.19","39","116.69","0.19","1.21","159","0.73","True","True","odc_prior020;odc_prior040;odc_asian065;odc_drift000;odc_driftminus025;odc_entry8;odc_signal25;odc_tp175","DISCOVERY_ELIGIBLE"
"odc_drift000","114.12","1.36","98","4.27","1.04","35","115.04","0.19","1.26","133","0.67","True","True","odc_center;odc_driftminus025","DISCOVERY_ELIGIBLE"
"odc_driftminus025","91.7","1.22","120","25.43","1.19","39","117.52","0.19","1.21","159","0.73","True","True","odc_center;odc_drift000","DISCOVERY_ELIGIBLE"
"odc_entry6","87.31","1.27","103","-6.1","0.96","46","84.95","0.14","1.17","149","0.78","False","True","odc_center;odc_entry8","REJECT_BEFORE_HOLDOUT"
"odc_entry8","94.43","1.27","120","49.02","1.45","41","155.24","0.26","1.33","162","0.67","True","True","odc_center","DISCOVERY_ELIGIBLE"
"odc_prior020","114.44","1.27","125","33.18","1.24","41","148.01","0.25","1.26","166","0.73","True","True","odc_center;odc_prior040","DISCOVERY_ELIGIBLE"
"odc_prior040","72.46","1.19","111","28.46","1.25","35","100.92","0.17","1.2","146","0.59","True","True","odc_center;odc_prior020","DISCOVERY_ELIGIBLE"
"odc_priorbody35","78.66","1.17","140","38.84","1.23","49","116.2","0.19","1.18","189","0.82","False","True","odc_center","REJECT_BEFORE_HOLDOUT"
"odc_priorbody55","82.3","1.27","91","-7.12","0.93","27","71.83","0.12","1.17","118","0.54","False","True","odc_center","REJECT_BEFORE_HOLDOUT"
"odc_signal25","127.97","1.29","128","43.05","1.31","44","171.41","0.28","1.3","172","0.68","True","True","odc_center","DISCOVERY_ELIGIBLE"
"odc_signal45","94.62","1.24","114","-20.85","0.83","33","67.23","0.11","1.13","144","0.93","False","True","odc_center;odc_signal25","REJECT_BEFORE_HOLDOUT"
"odc_tp125","86.79","1.21","120","19.62","1.15","39","106.18","0.18","1.19","159","0.75","False","True","odc_center;odc_tp175","REJECT_BEFORE_HOLDOUT"
"odc_tp175","119.3","1.28","120","27.54","1.21","39","153.68","0.25","1.28","159","0.9","True","True","odc_center","DISCOVERY_ELIGIBLE"
