"Area","Status","Actual","Evidence"
"first_pass_reports","WAIT_FOR_REPORTS","parsedReports=0; parsedLogs=1; missing=21; unparsed=0; expected=22","outputs\FIRST_PASS_VALIDATION_QUEUE_RESULTS.csv"
"first_pass_decision","FAIL","pass=14; pending=13; fail=2","outputs\FIRST_PASS_VALIDATION_QUEUE_DECISION.md"
"first_pass_integrity","PENDING","pass=11; pending=1; fail=0","outputs\FIRST_PASS_EVIDENCE_INTEGRITY.md"
"first_pass_trusted_decision","PENDING","promote=0; wait=1; fail=0","outputs\FIRST_PASS_TRUSTED_DECISION.md"
"next_run_batch","EMPTY","selectedConfigs=0","outputs\FIRST_PASS_NEXT_RUN_BATCH.md"
"next_run_package","NOT_NEEDED","packagedConfigs=0; selectedConfigs=0","outputs\FIRST_PASS_NEXT_RUN_PACKAGE.md"
"first_pass_parallel_lanes","NOT_NEEDED","lanes=0; laneConfigs=0; packagedConfigs=0","outputs\FIRST_PASS_PARALLEL_LANES.md"
"candidate:lowatr_locked_risk18pure","WAIT_FOR_TRUSTED_EVIDENCE","raw=REJECT_FIRST_PASS; evidence=FAIL; parsed=1/22; failGates=2; pendingGates=13","outputs\FIRST_PASS_TRUSTED_DECISION.md"
