"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","StopRule","Purpose"
"1","r10_base","1","peak_r20_drawdown_sweep","1","phase0_fast_model1","r10_base.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\001_r10_base_continuous_2024_2026_m1.ini","peak_r20_dd_r10_base_continuous_2024_2026_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Baseline aggressive R10 frontier for direct same-package comparison."
"2","r10_minfloor02","2","peak_r20_drawdown_sweep","2","phase0_fast_model1","r10_minfloor02.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\002_r10_minfloor02_continuous_2024_2026_m1.ini","peak_r20_dd_r10_minfloor02_continuous_2024_2026_m1","profiles\r10_minfloor02.set","060A294265A81A3CB102A15A12C0A8B89FAB3AA0A4DDE0732FE9F2C54250B008","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Test the intended low-risk month multipliers by lowering the hidden minimum reduced risk floor."
"3","r10_minfloor05","3","peak_r20_drawdown_sweep","3","phase0_fast_model1","r10_minfloor05.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\003_r10_minfloor05_continuous_2024_2026_m1.ini","peak_r20_dd_r10_minfloor05_continuous_2024_2026_m1","profiles\r10_minfloor05.set","9538184507246CDADA0741DA00EABD86DADDA35796B3DE7DF4F06373261C9981","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Moderate minimum risk-floor correction, especially for August and risk-reduced states."
"4","r10_minfloor10","4","peak_r20_drawdown_sweep","4","phase0_fast_model1","r10_minfloor10.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\004_r10_minfloor10_continuous_2024_2026_m1.ini","peak_r20_dd_r10_minfloor10_continuous_2024_2026_m1","profiles\r10_minfloor10.set","0892CA8CE4C9ABDCA919E4D993733E12D811FC5C99EFAB4207B7CA48E695F32E","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Keep global risk near the named R10 setting while allowing month and loss reductions to work."
"5","r10_eqgb_q15_12_18","5","peak_r20_drawdown_sweep","5","phase0_fast_model1","r10_eqgb_q15_12_18.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\005_r10_eqgb_q15_12_18_continuous_2024_2026_m1.ini","peak_r20_dd_r10_eqgb_q15_12_18_continuous_2024_2026_m1","profiles\r10_eqgb_q15_12_18.set","41CC6D4282596FBA9EC4AFF89F77289D037E4114D02140E3E9DE0CD5FBDCBED7","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Soft equity-peak giveback quality gate after a 15 percent giveback from peak profit."
"6","r10_eqgb_q20_12_18","6","peak_r20_drawdown_sweep","6","phase0_fast_model1","r10_eqgb_q20_12_18.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\006_r10_eqgb_q20_12_18_continuous_2024_2026_m1.ini","peak_r20_dd_r10_eqgb_q20_12_18_continuous_2024_2026_m1","profiles\r10_eqgb_q20_12_18.set","6645ED688C498C1E9E71623AE182FCE3AA3F8E81B296A79C24F934D958F1A9A7","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Less sensitive equity-peak giveback quality gate for drawdown control without early choking."
"7","r10_eqgb_q10_10_16","7","peak_r20_drawdown_sweep","7","phase0_fast_model1","r10_eqgb_q10_10_16.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\007_r10_eqgb_q10_10_16_continuous_2024_2026_m1.ini","peak_r20_dd_r10_eqgb_q10_10_16_continuous_2024_2026_m1","profiles\r10_eqgb_q10_10_16.set","E2FD6644E7D131B6A0EBE38A7070B625C6052955E31AFC3E1B817CAD1C701260","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Earlier but lighter equity-peak giveback quality gate."
"8","r10_realgb_q15_12_18","8","peak_r20_drawdown_sweep","8","phase0_fast_model1","r10_realgb_q15_12_18.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\008_r10_realgb_q15_12_18_continuous_2024_2026_m1.ini","peak_r20_dd_r10_realgb_q15_12_18_continuous_2024_2026_m1","profiles\r10_realgb_q15_12_18.set","0EB85E1DC598DD71769C1FCD0522120027E5040DD852AF3B71D716C5EC6E497C","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Realized-profit giveback quality gate so the EA must earn higher quality after giving back closed profit."
"9","r10_realgb_q20_12_18","9","peak_r20_drawdown_sweep","9","phase0_fast_model1","r10_realgb_q20_12_18.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\009_r10_realgb_q20_12_18_continuous_2024_2026_m1.ini","peak_r20_dd_r10_realgb_q20_12_18_continuous_2024_2026_m1","profiles\r10_realgb_q20_12_18.set","0E000C3AF00EBBF69BEF2475A49BE4CA389B438DA77B6C11FB6AAF2CB14C7C94","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Less sensitive realized-profit giveback quality gate."
"10","r10_bothgb_q15","10","peak_r20_drawdown_sweep","10","phase0_fast_model1","r10_bothgb_q15.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\010_r10_bothgb_q15_continuous_2024_2026_m1.ini","peak_r20_dd_r10_bothgb_q15_continuous_2024_2026_m1","profiles\r10_bothgb_q15.set","6CE678CED3783877723A88E8F733B9478C20D174645763C1348CCCD41436F69D","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Combine equity-peak and realized-profit soft gates at the same thresholds."
