"QueueRank","Candidate","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","ContractSha256","QualityEnabled","MinimumBodyPercent","MinimumCloseLocation","MinimumRangeATR","VolumeEnabled","MinimumVolumeRatio","StopRule"
"11","mbq_price_strict","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_mbq_price_strict_repair_2019_2020_m1.ini","mbq_price_strict_repair_2019_2020_m1","profiles\mbq_price_strict.set","82138F4F7B7425F82AF29D5064F7901DF53DAB499250C6477BA7886F6086B550","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","45.0","0.72","0.65","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"12","mbq_price_strict","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_mbq_price_strict_continuous_2015_2020_m1.ini","mbq_price_strict_continuous_2015_2020_m1","profiles\mbq_price_strict.set","82138F4F7B7425F82AF29D5064F7901DF53DAB499250C6477BA7886F6086B550","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","45.0","0.72","0.65","false","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"13","mbq_center_vol090","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_mbq_center_vol090_older_2015_2018_m1.ini","mbq_center_vol090_older_2015_2018_m1","profiles\mbq_center_vol090.set","E5ACCCC5944E296612D3F9FC566F9F2CF308AECE747650D64479A3F77CBE122A","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","0.90","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"14","mbq_center_vol090","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_mbq_center_vol090_repair_2019_2020_m1.ini","mbq_center_vol090_repair_2019_2020_m1","profiles\mbq_center_vol090.set","E5ACCCC5944E296612D3F9FC566F9F2CF308AECE747650D64479A3F77CBE122A","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","0.90","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"15","mbq_center_vol090","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_mbq_center_vol090_continuous_2015_2020_m1.ini","mbq_center_vol090_continuous_2015_2020_m1","profiles\mbq_center_vol090.set","E5ACCCC5944E296612D3F9FC566F9F2CF308AECE747650D64479A3F77CBE122A","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","0.90","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"16","mbq_center_vol100","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_mbq_center_vol100_older_2015_2018_m1.ini","mbq_center_vol100_older_2015_2018_m1","profiles\mbq_center_vol100.set","A40C4BE7FCEAD5AC5B3C4D586C7454434D97377CF9BB6D8CE9C6D1D1B8758DB9","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"17","mbq_center_vol100","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_mbq_center_vol100_repair_2019_2020_m1.ini","mbq_center_vol100_repair_2019_2020_m1","profiles\mbq_center_vol100.set","A40C4BE7FCEAD5AC5B3C4D586C7454434D97377CF9BB6D8CE9C6D1D1B8758DB9","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"18","mbq_center_vol100","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_mbq_center_vol100_continuous_2015_2020_m1.ini","mbq_center_vol100_continuous_2015_2020_m1","profiles\mbq_center_vol100.set","A40C4BE7FCEAD5AC5B3C4D586C7454434D97377CF9BB6D8CE9C6D1D1B8758DB9","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.00","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"19","mbq_center_vol110","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_mbq_center_vol110_older_2015_2018_m1.ini","mbq_center_vol110_older_2015_2018_m1","profiles\mbq_center_vol110.set","F1DD35BFA7D450CDEAE870FA39F11A84A90D0781CA127473EE985BD4DE983C2D","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.10","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"20","mbq_center_vol110","repair_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_mbq_center_vol110_repair_2019_2020_m1.ini","mbq_center_vol110_repair_2019_2020_m1","profiles\mbq_center_vol110.set","F1DD35BFA7D450CDEAE870FA39F11A84A90D0781CA127473EE985BD4DE983C2D","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.10","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
"21","mbq_center_vol110","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_mbq_center_vol110_continuous_2015_2020_m1.ini","mbq_center_vol110_continuous_2015_2020_m1","profiles\mbq_center_vol110.set","F1DD35BFA7D450CDEAE870FA39F11A84A90D0781CA127473EE985BD4DE983C2D","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.10","Discovery only: both eras positive; PF>=1.45; trades>=150; DD<=2.80%; net>=85% control; quality improvement plus one passing adjacent profile. No post-2020 data."
