"QueueRank","Candidate","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","ContractSha256","GuardEnabled","LookbackBars","MinimumAlignedDistanceATR","InitialDeposit","NetProfit","Balance","TotalReturnPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","rld_fixed_control","repair_2019_2020","2019.01.01","2020.12.31","1","10000","rld_fixed_control_repair_2019_2020_m1","PARSED","outputs\reversion_long_distance_guard_repair_model1_package\reports_here\rld_fixed_control_repair_2019_2020_m1.htm","CB572B61F9EDB86D0D95D4D560E6BCCA55FBD941B94442C3CCDE2CEA53FC08F2","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6477C8F3D87B355F5AF397B5B6EE47D058108978EA8BAB95B3366A9D1C7278DE","false","200","-10.0","10000","-105.45","9894.55","-1.05","0.84","-1.46","-1.84","37.5","72","7","313.42","3.08","274.79","313.42","-0.3364"
"2","rld_fixed_control","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rld_fixed_control_continuous_2015_2020_m1","PARSED","outputs\reversion_long_distance_guard_repair_model1_package\reports_here\rld_fixed_control_continuous_2015_2020_m1.htm","CB572B61F9EDB86D0D95D4D560E6BCCA55FBD941B94442C3CCDE2CEA53FC08F2","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6477C8F3D87B355F5AF397B5B6EE47D058108978EA8BAB95B3366A9D1C7278DE","false","200","-10.0","10000","694.13","10694.13","6.94","1.42","3.09","4.07","43.11","225","7","303.87","2.77","265.24","303.87","2.2843"
"3","rld_m12","repair_2019_2020","2019.01.01","2020.12.31","1","10000","rld_m12_repair_2019_2020_m1","PARSED","outputs\reversion_long_distance_guard_repair_model1_package\reports_here\rld_m12_repair_2019_2020_m1.htm","CCA3B2E11410F3EE84DBD8E6C0EEB008ED64C220477AA5D87D5F440228729477","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6477C8F3D87B355F5AF397B5B6EE47D058108978EA8BAB95B3366A9D1C7278DE","true","200","-12.0","10000","-105.45","9894.55","-1.05","0.84","-1.46","-1.84","37.5","72","7","313.42","3.08","274.79","313.42","-0.3364"
"4","rld_m12","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rld_m12_continuous_2015_2020_m1","PARSED","outputs\reversion_long_distance_guard_repair_model1_package\reports_here\rld_m12_continuous_2015_2020_m1.htm","CCA3B2E11410F3EE84DBD8E6C0EEB008ED64C220477AA5D87D5F440228729477","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6477C8F3D87B355F5AF397B5B6EE47D058108978EA8BAB95B3366A9D1C7278DE","true","200","-12.0","10000","728.03","10728.03","7.28","1.45","3.25","4.29","43.3","224","7","303.87","2.76","265.24","303.87","2.3959"
"5","rld_m10","repair_2019_2020","2019.01.01","2020.12.31","1","10000","rld_m10_repair_2019_2020_m1","PARSED","outputs\reversion_long_distance_guard_repair_model1_package\reports_here\rld_m10_repair_2019_2020_m1.htm","EA6F90267E7B7D4C6083B3C31FA3A3134423B0A5086F9B6BF07DDA3C65207648","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6477C8F3D87B355F5AF397B5B6EE47D058108978EA8BAB95B3366A9D1C7278DE","true","200","-10.0","10000","-66.15","9933.85","-0.66","0.89","-0.93","-1.17","38.03","71","7","313.42","3.07","272.28","313.42","-0.2111"
"6","rld_m10","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rld_m10_continuous_2015_2020_m1","PARSED","outputs\reversion_long_distance_guard_repair_model1_package\reports_here\rld_m10_continuous_2015_2020_m1.htm","EA6F90267E7B7D4C6083B3C31FA3A3134423B0A5086F9B6BF07DDA3C65207648","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6477C8F3D87B355F5AF397B5B6EE47D058108978EA8BAB95B3366A9D1C7278DE","true","200","-10.0","10000","798.76","10798.76","7.99","1.51","3.6","4.72","43.69","222","7","312.02","2.82","270.88","312.02","2.56"
"7","rld_m8","repair_2019_2020","2019.01.01","2020.12.31","1","10000","rld_m8_repair_2019_2020_m1","PARSED","outputs\reversion_long_distance_guard_repair_model1_package\reports_here\rld_m8_repair_2019_2020_m1.htm","CD12342B674C555B0A2F7CEE3F20624D19A105848048822306222260DF8711E5","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6477C8F3D87B355F5AF397B5B6EE47D058108978EA8BAB95B3366A9D1C7278DE","true","200","-8.0","10000","-66.15","9933.85","-0.66","0.89","-0.93","-1.17","38.03","71","7","313.42","3.07","272.28","313.42","-0.2111"
"8","rld_m8","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rld_m8_continuous_2015_2020_m1","PARSED","outputs\reversion_long_distance_guard_repair_model1_package\reports_here\rld_m8_continuous_2015_2020_m1.htm","CD12342B674C555B0A2F7CEE3F20624D19A105848048822306222260DF8711E5","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6477C8F3D87B355F5AF397B5B6EE47D058108978EA8BAB95B3366A9D1C7278DE","true","200","-8.0","10000","746.54","10746.54","7.47","1.49","3.41","4.47","43.84","219","7","312.02","2.83","270.88","312.02","2.3926"
