"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"m15_block_may_jun","11","11","1728.03","801.84","84.72","124.51","801.84","-84.88","-84.88","1"
"m15_base","11","11","1538.67","801.84","84.72","124.51","801.84","-255.33","-99.55","5"
"m5_trend_runner","11","11","-86.8","243.67","201.97","-473.74","243.67","-255.81","-473.74","7"
"m5_fq_r1","11","11","170.5","36.94","201.97","128.65","-242.7","92.2","-242.7","6"
"m5_safe","11","11","170.5","36.94","201.97","128.65","-242.7","92.2","-242.7","6"
"m5_no_march","11","11","309.79","28.2","201.97","128.65","-188.53","186.06","-188.53","5"
"m5_r125_guarded","11","11","-508.03","-81.78","16.75","-14.76","-222.19","28.77","-222.19","7"
"m15_m5_secondary_loose","0","11","","","","","","","","0"
"m15_m5_secondary_strict","0","11","","","","","","","","0"
"m5_quality_no_adapt","11","11","-53.86","-270.06","201.97","128.65","-160.06","92.2","-270.06","7"
