"probe_id","year","source_sha256","trade_symbol","reference_symbol","timeframe","xau_closed_bars","broker_reference_bars","aligned_bars","missing_bars","alignment_percent","lookback_ready_bars","lookback_ready_percent","maximum_alignment_seconds","first_aligned_bar","last_aligned_bar","reference_digits","reference_point","reference_minimum_volume"
"xau_tlt_history_older_2015_2018","2015","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","TLT","PERIOD_D1","258","252","254","4","98.4496","254","100.0000","86400","2015.01.02 00:00","2015.12.31 00:00","2","0.01000000","1.0000"
"xau_tlt_history_older_2015_2018","2016","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","TLT","PERIOD_D1","258","252","253","5","98.0620","253","100.0000","86400","2016.01.04 00:00","2016.12.30 00:00","2","0.01000000","1.0000"
"xau_tlt_history_older_2015_2018","2017","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","TLT","PERIOD_D1","257","251","253","4","98.4436","253","100.0000","86400","2017.01.03 00:00","2017.12.29 00:00","2","0.01000000","1.0000"
"xau_tlt_history_older_2015_2018","2018","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","TLT","PERIOD_D1","256","250","252","4","98.4375","252","100.0000","86400","2018.01.02 00:00","2018.12.27 00:00","2","0.01000000","1.0000"
"xau_tlt_history_discovery_2019_2020","2019","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","TLT","PERIOD_D1","258","252","254","4","98.4496","254","100.0000","86400","2019.01.02 00:00","2019.12.31 00:00","2","0.01000000","1.0000"
"xau_tlt_history_discovery_2019_2020","2020","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","TLT","PERIOD_D1","257","252","253","4","98.4436","253","100.0000","86400","2020.01.02 00:00","2020.12.29 00:00","2","0.01000000","1.0000"
