"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","usdcll_center","discovery_model1","Independent M15 USD-consensus lead-lag discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\001_usdcll_center_older_2015_2018_m1.ini","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\001_usdcll_center_older_2015_2018_m1.ini","usdcll_center_older_2015_2018_m1","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_center_older_2015_2018_m1","7DED5768A5B6FB4DF584D91D8BEC857053C7C328F8B1114EBAEFA6C1938142D9","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"3","usdcll_center","discovery_model1","Independent M15 USD-consensus lead-lag discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\002_usdcll_center_discovery_2019_2020_m1.ini","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\002_usdcll_center_discovery_2019_2020_m1.ini","usdcll_center_discovery_2019_2020_m1","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_center_discovery_2019_2020_m1","7DED5768A5B6FB4DF584D91D8BEC857053C7C328F8B1114EBAEFA6C1938142D9","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"4","usdcll_center","discovery_model1","Independent M15 USD-consensus lead-lag discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\003_usdcll_center_continuous_2015_2020_m1.ini","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\003_usdcll_center_continuous_2015_2020_m1.ini","usdcll_center_continuous_2015_2020_m1","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_center_continuous_2015_2020_m1","7DED5768A5B6FB4DF584D91D8BEC857053C7C328F8B1114EBAEFA6C1938142D9","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"6","usdcll_proxy3","discovery_model1","Independent M15 USD-consensus lead-lag discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\004_usdcll_proxy3_older_2015_2018_m1.ini","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\004_usdcll_proxy3_older_2015_2018_m1.ini","usdcll_proxy3_older_2015_2018_m1","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy3_older_2015_2018_m1","64099B6E8966C701B7F875A7FAFE30564B5E3DFE8F70C3E1699AD842D79C9E4F","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"7","usdcll_proxy3","discovery_model1","Independent M15 USD-consensus lead-lag discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\005_usdcll_proxy3_discovery_2019_2020_m1.ini","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\005_usdcll_proxy3_discovery_2019_2020_m1.ini","usdcll_proxy3_discovery_2019_2020_m1","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy3_discovery_2019_2020_m1","64099B6E8966C701B7F875A7FAFE30564B5E3DFE8F70C3E1699AD842D79C9E4F","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"9","usdcll_proxy3","discovery_model1","Independent M15 USD-consensus lead-lag discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\006_usdcll_proxy3_continuous_2015_2020_m1.ini","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\006_usdcll_proxy3_continuous_2015_2020_m1.ini","usdcll_proxy3_continuous_2015_2020_m1","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy3_continuous_2015_2020_m1","64099B6E8966C701B7F875A7FAFE30564B5E3DFE8F70C3E1699AD842D79C9E4F","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"10","usdcll_proxy6","discovery_model1","Independent M15 USD-consensus lead-lag discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\007_usdcll_proxy6_older_2015_2018_m1.ini","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\007_usdcll_proxy6_older_2015_2018_m1.ini","usdcll_proxy6_older_2015_2018_m1","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy6_older_2015_2018_m1","33CAC5B24FA3D4E00692C0ECD8CC3A36215D0578D6952F9F63B0CA6AF3CAEE6D","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"12","usdcll_proxy6","discovery_model1","Independent M15 USD-consensus lead-lag discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\008_usdcll_proxy6_discovery_2019_2020_m1.ini","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\008_usdcll_proxy6_discovery_2019_2020_m1.ini","usdcll_proxy6_discovery_2019_2020_m1","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy6_discovery_2019_2020_m1","33CAC5B24FA3D4E00692C0ECD8CC3A36215D0578D6952F9F63B0CA6AF3CAEE6D","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"13","usdcll_proxy6","discovery_model1","Independent M15 USD-consensus lead-lag discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\009_usdcll_proxy6_continuous_2015_2020_m1.ini","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\009_usdcll_proxy6_continuous_2015_2020_m1.ini","usdcll_proxy6_continuous_2015_2020_m1","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy6_continuous_2015_2020_m1","33CAC5B24FA3D4E00692C0ECD8CC3A36215D0578D6952F9F63B0CA6AF3CAEE6D","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"15","usdcll_component05","discovery_model1","Independent M15 USD-consensus lead-lag discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\010_usdcll_component05_older_2015_2018_m1.ini","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\configs\010_usdcll_component05_older_2015_2018_m1.ini","usdcll_component05_older_2015_2018_m1","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_component05_older_2015_2018_m1","7760374089C03EBFEB465F27C076CE523C9D8F3EA3C155DBBA29D68B124971C7","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
