"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","ProxyLookbackBars","MinimumProxyComponentATR","MinimumConsensusATR","MaximumGoldExtensionATR","BreakoutLookbackBars","BreakoutBufferATR","TakeProfitR","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","RunnerSourceSha256","PortableBinarySha256"
"1","usdcll_center","1","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_usdcll_center_older_2015_2018_m1.ini","usdcll_center_older_2015_2018_m1","profiles\usdcll_center.set","7DED5768A5B6FB4DF584D91D8BEC857053C7C328F8B1114EBAEFA6C1938142D9","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_center_older_2015_2018_m1.htm","8E84F096A53AF1B9C30E25C09A0A93B9BC81DB9158C3D478EC44A6C0E6FFC9C3","10000","1460","3.9973","-292.67","9707.33","-2.93","-0.73","-0.74","0.66","-1.85","-5","37.34","158","11","352.22","3.52","343.78","352.22","-0.8309","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"3","usdcll_center","1","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_usdcll_center_discovery_2019_2020_m1.ini","usdcll_center_discovery_2019_2020_m1","profiles\usdcll_center.set","7DED5768A5B6FB4DF584D91D8BEC857053C7C328F8B1114EBAEFA6C1938142D9","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_center_discovery_2019_2020_m1.htm","76344BDC1E3607917DA7DB2B430B0C0330BD4DC7B4FC980E9950B6C048B0F806","10000","730","1.9986","41.31","10041.31","0.41","0.21","0.21","1.11","0.49","2.89","48.24","85","5","125.04","1.24","118.81","125.04","0.3304","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"4","usdcll_center","1","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_usdcll_center_continuous_2015_2020_m1.ini","usdcll_center_continuous_2015_2020_m1","profiles\usdcll_center.set","7DED5768A5B6FB4DF584D91D8BEC857053C7C328F8B1114EBAEFA6C1938142D9","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_center_continuous_2015_2020_m1.htm","B8779CE7DBAB90F27F3EF57047C3F3A0F198597BB158CFA213C2DF1BED979C28","10000","2191","5.9986","-248.97","9751.03","-2.49","-0.42","-0.42","0.79","-1.02","-5","41.15","243","11","381.55","3.81","368.98","381.55","-0.6525","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"6","usdcll_proxy3","2","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_proxy3.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_usdcll_proxy3_older_2015_2018_m1.ini","usdcll_proxy3_older_2015_2018_m1","profiles\usdcll_proxy3.set","64099B6E8966C701B7F875A7FAFE30564B5E3DFE8F70C3E1699AD842D79C9E4F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","3","0.10","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy3_older_2015_2018_m1.htm","EC0FCD06700EBF596B890DBFACCCDE6C1D31FA1D2EC3B8689CF52C9422577821","10000","1460","3.9973","-267.69","9732.31","-2.68","-0.67","-0.68","0.74","-1.35","-5","40.91","198","9","315.54","3.15","304.78","315.54","-0.8484","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"7","usdcll_proxy3","2","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_proxy3.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_usdcll_proxy3_discovery_2019_2020_m1.ini","usdcll_proxy3_discovery_2019_2020_m1","profiles\usdcll_proxy3.set","64099B6E8966C701B7F875A7FAFE30564B5E3DFE8F70C3E1699AD842D79C9E4F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","3","0.10","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy3_discovery_2019_2020_m1.htm","C3D2429D3C4B25BF16464A6C984BF0FFB41CD9839538AD80B0D96574E3B84A89","10000","730","1.9986","-13.41","9986.59","-0.13","-0.07","-0.07","0.97","-0.14","-0.81","50","94","6","101.54","1.01","95.06","101.54","-0.1321","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"9","usdcll_proxy3","2","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_proxy3.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_usdcll_proxy3_continuous_2015_2020_m1.ini","usdcll_proxy3_continuous_2015_2020_m1","profiles\usdcll_proxy3.set","64099B6E8966C701B7F875A7FAFE30564B5E3DFE8F70C3E1699AD842D79C9E4F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","3","0.10","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy3_continuous_2015_2020_m1.htm","BE559F5C77965EE68AF9CA301B06F2C53384CE322F40E98C0A730DFBDFFF3119","10000","2191","5.9986","-270.89","9729.11","-2.71","-0.45","-0.46","0.8","-0.93","-5","43.84","292","9","319.36","3.19","315.4","319.36","-0.8482","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"10","usdcll_proxy6","3","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_proxy6.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_usdcll_proxy6_older_2015_2018_m1.ini","usdcll_proxy6_older_2015_2018_m1","profiles\usdcll_proxy6.set","33CAC5B24FA3D4E00692C0ECD8CC3A36215D0578D6952F9F63B0CA6AF3CAEE6D","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","6","0.10","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy6_older_2015_2018_m1.htm","9EB6729AB70ECC5DD38D980FE73FF31D74FCC211DC5357488B73FAC1C8A2472C","10000","1460","3.9973","-283.87","9716.13","-2.84","-0.71","-0.72","0.63","-2","-5","39.44","142","7","293.66","2.93","283.87","293.66","-0.9667","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"12","usdcll_proxy6","3","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_proxy6.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_usdcll_proxy6_discovery_2019_2020_m1.ini","usdcll_proxy6_discovery_2019_2020_m1","profiles\usdcll_proxy6.set","33CAC5B24FA3D4E00692C0ECD8CC3A36215D0578D6952F9F63B0CA6AF3CAEE6D","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","6","0.10","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy6_discovery_2019_2020_m1.htm","C9CC2F431190586353E23650C98CC3CC72B43E46686F9E11CEC26A84AC08AF1A","10000","730","1.9986","25.03","10025.03","0.25","0.13","0.13","1.09","0.37","2.03","51.47","68","6","57.57","0.57","49.2","57.57","0.4348","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"13","usdcll_proxy6","3","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_proxy6.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_usdcll_proxy6_continuous_2015_2020_m1.ini","usdcll_proxy6_continuous_2015_2020_m1","profiles\usdcll_proxy6.set","33CAC5B24FA3D4E00692C0ECD8CC3A36215D0578D6952F9F63B0CA6AF3CAEE6D","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","6","0.10","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_proxy6_continuous_2015_2020_m1.htm","7030742768C902EE28524FC91E9A2F3BAB7901EF4A4F1F99C6AEBF806DA1F82F","10000","2191","5.9986","-251.11","9748.89","-2.51","-0.42","-0.42","0.76","-1.2","-5","43.33","210","7","330.02","3.3","319.36","330.02","-0.7609","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"15","usdcll_component05","4","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_component05.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_usdcll_component05_older_2015_2018_m1.ini","usdcll_component05_older_2015_2018_m1","profiles\usdcll_component05.set","7760374089C03EBFEB465F27C076CE523C9D8F3EA3C155DBBA29D68B124971C7","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.05","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_component05_older_2015_2018_m1.htm","F8F627E0F8336196A2E3FC9FF7A6DF3F19F2628D13A84ACB557B124E66824788","10000","1460","3.9973","-321.04","9678.96","-3.21","-0.8","-0.81","0.64","-1.92","-5","37.13","167","11","380.59","3.8","372.15","380.59","-0.8435","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
