"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"block_may_jun_r1","7","7","1728.03","801.84","84.72","124.51","801.84","-84.88","-84.88","1"
"base_r1","7","7","1557.58","801.84","84.72","124.51","801.84","-255.33","-99.55","3"
"block_may_jun_r2","7","7","-278.85","378.52","-290.08","-554.83","378.52","-190.98","-554.83","3"
"base_r2","7","7","-672.16","378.52","-343.93","-593.72","378.52","-491.55","-593.72","5"
"block_may_jun_r3_structure_trail","7","7","-221.51","304.7","-175.04","190.06","-302.11","-239.12","-302.11","3"
"block_may_jun_r3","7","7","-1970.78","-791.25","-358.22","103.11","-627.34","-297.08","-791.25","4"
"block_may_jun_r3_no_peak_trail","7","7","-2442.51","-791.25","-358.22","-368.62","-627.34","-297.08","-791.25","5"
"base_r3","7","7","-2369.08","-791.51","-387.48","103.11","-456.36","-836.84","-791.51","6"
"block_may_jun_r5","7","7","-2997.35","-804.13","-413.11","-737.33","-569.67","-473.11","-804.13","5"
"block_may_jun_r3_runner_lock","7","7","-1945.89","-812.17","-309.73","104.51","-631.42","-297.08","-812.17","4"
"block_may_jun_r3_tp45","7","7","-2167.77","-817.36","209.76","-616.08","-647.01","-297.08","-817.36","4"
"block_may_jun_r3_sl16_tp38","7","7","-2448.61","-833.64","-239.52","-406.22","-678.31","-290.92","-833.64","5"
