"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","h4cf_40_20_l20_a25","capital_feasible_model1","H4 channel capital-feasible Model1","discovery_2015_2020","1","10000","outputs\h4_channel_capital_feasible_model1_package\configs\001_h4cf_40_20_l20_a25_discovery_2015_2020_m1.ini","outputs\h4_channel_capital_feasible_model1_package\configs\001_h4cf_40_20_l20_a25_discovery_2015_2020_m1.ini","h4cf_40_20_l20_a25_discovery_2015_2020_m1","outputs\h4_channel_capital_feasible_model1_package\reports_here\h4cf_40_20_l20_a25_discovery_2015_2020_m1","FC02A1323D78EF7504FCE9B862B7BDA65BC93A74F52DCB0C9BF7B60E1550D01C","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence."
"2","h4cf_40_20_l20_a25","capital_feasible_model1","H4 channel capital-feasible Model1","validation_2021_2026","1","10000","outputs\h4_channel_capital_feasible_model1_package\configs\002_h4cf_40_20_l20_a25_validation_2021_2026_m1.ini","outputs\h4_channel_capital_feasible_model1_package\configs\002_h4cf_40_20_l20_a25_validation_2021_2026_m1.ini","h4cf_40_20_l20_a25_validation_2021_2026_m1","outputs\h4_channel_capital_feasible_model1_package\reports_here\h4cf_40_20_l20_a25_validation_2021_2026_m1","FC02A1323D78EF7504FCE9B862B7BDA65BC93A74F52DCB0C9BF7B60E1550D01C","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence."
"3","h4cf_40_20_l20_a25","capital_feasible_model1","H4 channel capital-feasible Model1","continuous_2015_2026","1","10000","outputs\h4_channel_capital_feasible_model1_package\configs\003_h4cf_40_20_l20_a25_continuous_2015_2026_m1.ini","outputs\h4_channel_capital_feasible_model1_package\configs\003_h4cf_40_20_l20_a25_continuous_2015_2026_m1.ini","h4cf_40_20_l20_a25_continuous_2015_2026_m1","outputs\h4_channel_capital_feasible_model1_package\reports_here\h4cf_40_20_l20_a25_continuous_2015_2026_m1","FC02A1323D78EF7504FCE9B862B7BDA65BC93A74F52DCB0C9BF7B60E1550D01C","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence."
"4","h4cf_55_20_l20_a25","capital_feasible_model1","H4 channel capital-feasible Model1","discovery_2015_2020","1","10000","outputs\h4_channel_capital_feasible_model1_package\configs\004_h4cf_55_20_l20_a25_discovery_2015_2020_m1.ini","outputs\h4_channel_capital_feasible_model1_package\configs\004_h4cf_55_20_l20_a25_discovery_2015_2020_m1.ini","h4cf_55_20_l20_a25_discovery_2015_2020_m1","outputs\h4_channel_capital_feasible_model1_package\reports_here\h4cf_55_20_l20_a25_discovery_2015_2020_m1","FA93F4C61646AACD2A1C94124178F1528AD77C5AD37FC0043DDF5ED5C44D1326","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence."
"5","h4cf_55_20_l20_a25","capital_feasible_model1","H4 channel capital-feasible Model1","validation_2021_2026","1","10000","outputs\h4_channel_capital_feasible_model1_package\configs\005_h4cf_55_20_l20_a25_validation_2021_2026_m1.ini","outputs\h4_channel_capital_feasible_model1_package\configs\005_h4cf_55_20_l20_a25_validation_2021_2026_m1.ini","h4cf_55_20_l20_a25_validation_2021_2026_m1","outputs\h4_channel_capital_feasible_model1_package\reports_here\h4cf_55_20_l20_a25_validation_2021_2026_m1","FA93F4C61646AACD2A1C94124178F1528AD77C5AD37FC0043DDF5ED5C44D1326","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence."
"6","h4cf_55_20_l20_a25","capital_feasible_model1","H4 channel capital-feasible Model1","continuous_2015_2026","1","10000","outputs\h4_channel_capital_feasible_model1_package\configs\006_h4cf_55_20_l20_a25_continuous_2015_2026_m1.ini","outputs\h4_channel_capital_feasible_model1_package\configs\006_h4cf_55_20_l20_a25_continuous_2015_2026_m1.ini","h4cf_55_20_l20_a25_continuous_2015_2026_m1","outputs\h4_channel_capital_feasible_model1_package\reports_here\h4cf_55_20_l20_a25_continuous_2015_2026_m1","FA93F4C61646AACD2A1C94124178F1528AD77C5AD37FC0043DDF5ED5C44D1326","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence."
"7","h4cf_55_20_l20_a30","capital_feasible_model1","H4 channel capital-feasible Model1","discovery_2015_2020","1","10000","outputs\h4_channel_capital_feasible_model1_package\configs\007_h4cf_55_20_l20_a30_discovery_2015_2020_m1.ini","outputs\h4_channel_capital_feasible_model1_package\configs\007_h4cf_55_20_l20_a30_discovery_2015_2020_m1.ini","h4cf_55_20_l20_a30_discovery_2015_2020_m1","outputs\h4_channel_capital_feasible_model1_package\reports_here\h4cf_55_20_l20_a30_discovery_2015_2020_m1","A0DF4D9A164FAA9A1F3DE6E111AFEC355CBD7F5C2266A94DDA00943F2D8AB32E","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence."
"8","h4cf_55_20_l20_a30","capital_feasible_model1","H4 channel capital-feasible Model1","validation_2021_2026","1","10000","outputs\h4_channel_capital_feasible_model1_package\configs\008_h4cf_55_20_l20_a30_validation_2021_2026_m1.ini","outputs\h4_channel_capital_feasible_model1_package\configs\008_h4cf_55_20_l20_a30_validation_2021_2026_m1.ini","h4cf_55_20_l20_a30_validation_2021_2026_m1","outputs\h4_channel_capital_feasible_model1_package\reports_here\h4cf_55_20_l20_a30_validation_2021_2026_m1","A0DF4D9A164FAA9A1F3DE6E111AFEC355CBD7F5C2266A94DDA00943F2D8AB32E","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence."
"9","h4cf_55_20_l20_a30","capital_feasible_model1","H4 channel capital-feasible Model1","continuous_2015_2026","1","10000","outputs\h4_channel_capital_feasible_model1_package\configs\009_h4cf_55_20_l20_a30_continuous_2015_2026_m1.ini","outputs\h4_channel_capital_feasible_model1_package\configs\009_h4cf_55_20_l20_a30_continuous_2015_2026_m1.ini","h4cf_55_20_l20_a30_continuous_2015_2026_m1","outputs\h4_channel_capital_feasible_model1_package\reports_here\h4cf_55_20_l20_a30_continuous_2015_2026_m1","A0DF4D9A164FAA9A1F3DE6E111AFEC355CBD7F5C2266A94DDA00943F2D8AB32E","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence."
"10","h4cf_80_40_l20_a30","capital_feasible_model1","H4 channel capital-feasible Model1","discovery_2015_2020","1","10000","outputs\h4_channel_capital_feasible_model1_package\configs\010_h4cf_80_40_l20_a30_discovery_2015_2020_m1.ini","outputs\h4_channel_capital_feasible_model1_package\configs\010_h4cf_80_40_l20_a30_discovery_2015_2020_m1.ini","h4cf_80_40_l20_a30_discovery_2015_2020_m1","outputs\h4_channel_capital_feasible_model1_package\reports_here\h4cf_80_40_l20_a30_discovery_2015_2020_m1","0A7A2D93E0ACC68F0D52A14BD74E135879A393612CDCCDDF12FCBD193AB634E4","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence."
