"Profile","Phase","Set","ReportsExpected","ReportsParsed","MissingReports","UnparsedReports","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","LosingWindows","ProfitableWindows","FlatWindows","WorstDrawdownMoney","AverageProfitFactor","AverageSharpeRatio","AverageWinRatePercent","WorstConsecutiveLosses","EvidenceComplete"
"dnrb_adx18","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-34.6","-17.3","-6.28","-0.04","-0.06","-0.04","-0.06","3","0","0","33.59","0.37","-0.6367","16.19","3","True"
"dnrb_body025","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-32.64","-16.32","-5.3","-0.03","-0.06","-0.03","-0.06","3","0","0","32.61","0.3967","-0.5933","21.59","3","True"
"dnrb_body045","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-49.58","-24.79","-11.02","-0.04","-0.06","-0.04","-0.06","3","0","0","36.97","0.0367","-0.8233","10.83","4","True"
"dnrb_buffer000","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-30.92","-15.46","-4.78","-0.03","-0.05","-0.03","-0.05","3","0","0","32.09","0.4133","-0.4367","22.5","3","True"
"dnrb_buffer010","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-48.32","-24.16","-11.02","-0.04","-0.06","-0.04","-0.06","3","0","0","40.45","0.2833","-0.9867","14.39","3","True"
"dnrb_center","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-34.6","-17.3","-6.28","-0.04","-0.06","-0.04","-0.06","3","0","0","33.59","0.37","-0.6367","16.19","3","True"
"dnrb_ema100","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-22.44","-11.22","-0.2","-0.03","-0.06","-0.03","-0.06","3","0","0","33.59","0.54","-0.4467","21.59","3","True"
"dnrb_ema20","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-27.34","-13.67","-2.65","-0.03","-0.06","-0.03","-0.06","3","0","0","29.96","0.43","-0.4367","10.83","4","True"
"dnrb_maxatr070","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-13.76","-8.5","1.62","-0.02","-0.04","-0.02","-0.04","2","1","0","25.69","0.6","-0.1133","20.63","3","True"
"dnrb_maxatr100","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-34.6","-17.3","-6.28","-0.04","-0.06","-0.04","-0.06","3","0","0","33.59","0.37","-0.6367","16.19","3","True"
"dnrb_no_trail","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-31.18","-15.59","-1.46","-0.03","-0.04","-0.03","-0.04","3","0","0","60.51","0.7667","-0.1867","30.63","5","True"
"dnrb_noema","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","20.68","-14.75","25.09","0","-0.07","0","-0.07","1","2","0","35.27","1.1267","0.3467","22.86","4","True"
"dnrb_nr10","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","12.48","0","6.24","0.01","0","0.01","0","0","2","1","21.07","1.2667","0.1333","26.67","2","True"
"dnrb_nr5","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-26.68","-13.34","-6.28","-0.03","-0.04","-0.03","-0.04","3","0","0","33.59","0.5333","-0.4867","26.95","3","True"
"dnrb_tp200","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-23.48","-11.74","-0.72","-0.03","-0.06","-0.03","-0.06","3","0","0","33.59","0.5233","-0.4667","16.19","3","True"
"dnrb_tp400","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-34.6","-17.3","-6.28","-0.04","-0.06","-0.04","-0.06","3","0","0","33.59","0.37","-0.6367","16.19","3","True"
"dnrb_volume000","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-54.62","-27.31","-11.02","-0.05","-0.06","-0.05","-0.06","3","0","0","44.59","0.26","-1.6467","16.23","5","True"
"dnrb_volume115","discovery_model1","independent_d1_nr7_h1_breakout","3","3","0","0","-30.96","-15.48","-4.46","-0.03","-0.06","-0.03","-0.06","3","0","0","25.3","0.4033","-0.5733","18.52","3","True"
