"QueueRank","Candidate","Role","Window","ProfileSha256","SourceSha256","RVRiskPercent","MORiskPercent","PortfolioOpenRiskPercent","Status","ReportPath","InitialDeposit","CalendarDays","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","RunnerStatus","RunnerEvidence"
"11","mre_mo020_center","center","recent_2023_2026","20E8DEB7EF688EB368256908A8CA69F7C353793FD5EEEA3F16C995C918AB3C7A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.20","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo020_center_recent_2023_2026_m1.htm","10000","1292","636.22","10636.22","6.36","1.8","1.76","1.82","8.05","5.08","46.84","79","6","141.38","1.34","4.5001","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"12","mre_mo020_center","center","continuous_2015_2026","20E8DEB7EF688EB368256908A8CA69F7C353793FD5EEEA3F16C995C918AB3C7A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.20","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo020_center_continuous_2015_2026_m1.htm","10000","4214","1866.25","11866.25","18.66","1.62","1.49","1.51","5.04","4.5","42.7","370","8","410.93","3.68","4.5415","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"13","mre_mo0225","upper_neighbor","older_2015_2018","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.225","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0225_older_2015_2018_m1.htm","10000","1460","1003.42","11003.42","10.03","2.51","2.42","1.71","6.6","6.73","46.05","152","5","150.62","1.41","6.6619","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"14","mre_mo0225","upper_neighbor","middle_2019_2022","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.225","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0225_middle_2019_2022_m1.htm","10000","1460","253.06","10253.06","2.53","0.63","0.63","1.16","1.83","1.88","36.96","138","8","415.58","4.05","0.6089","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"15","mre_mo0225","upper_neighbor","recent_2023_2026","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.225","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0225_recent_2023_2026_m1.htm","10000","1292","656.86","10656.86","6.57","1.86","1.81","1.8","8.31","5.17","46.84","79","6","141.41","1.4","4.6451","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"16","mre_mo0225","upper_neighbor","continuous_2015_2026","54B16572A713462DF914A5DCDCBFC7E1B733739A5BD49B03C92DC881B4E39759","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.225","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0225_continuous_2015_2026_m1.htm","10000","4214","1926.06","11926.06","19.26","1.67","1.54","1.47","5.21","4.38","42.7","370","8","399.17","3.56","4.8252","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"17","mre_mo025","shape","older_2015_2018","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.25","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo025_older_2015_2018_m1.htm","10000","1460","1081.19","11081.19","10.81","2.7","2.6","1.69","7.11","6.71","46.05","152","5","162.31","1.51","6.6613","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"18","mre_mo025","shape","middle_2019_2022","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.25","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo025_middle_2019_2022_m1.htm","10000","1460","264.08","10264.08","2.64","0.66","0.65","1.15","1.91","1.82","36.96","138","8","397.68","3.89","0.6641","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"19","mre_mo025","shape","recent_2023_2026","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.25","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo025_recent_2023_2026_m1.htm","10000","1292","628.89","10628.89","6.29","1.78","1.74","1.68","7.96","4.8","46.84","79","6","174.68","1.71","3.6002","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"20","mre_mo025","shape","continuous_2015_2026","3E4D93116BC6C2FE693038F72E2991FCD6464CD646639E760F228979348EF550","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.25","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo025_continuous_2015_2026_m1.htm","10000","4214","2004.3","12004.3","20.04","1.74","1.6","1.44","5.42","4.27","42.7","370","8","461.07","4.07","4.3471","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"21","mre_mo0275","shape","older_2015_2018","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.275","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0275_older_2015_2018_m1.htm","10000","1460","1104.88","11104.88","11.05","2.76","2.66","1.64","7.27","6.24","46.05","152","5","186.37","1.74","5.9284","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"22","mre_mo0275","shape","middle_2019_2022","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.275","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0275_middle_2019_2022_m1.htm","10000","1460","226.06","10226.06","2.26","0.57","0.56","1.12","1.64","1.46","36.96","138","8","420.74","4.1","0.5373","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"23","mre_mo0275","shape","recent_2023_2026","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.275","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0275_recent_2023_2026_m1.htm","10000","1292","672.83","10672.83","6.73","1.9","1.86","1.66","8.52","4.98","46.84","79","6","185.95","1.82","3.6183","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"24","mre_mo0275","shape","continuous_2015_2026","841A66F2D467E231C61B62E1678D65F33E1C795F18897856E9D1EBF0968E9466","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.275","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0275_continuous_2015_2026_m1.htm","10000","4214","2136.55","12136.55","21.37","1.85","1.69","1.43","5.77","4.27","42.7","370","8","475.03","4.16","4.4977","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"25","mre_mo030","cap_boundary","older_2015_2018","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.30","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo030_older_2015_2018_m1.htm","10000","1460","1294.69","11294.69","12.95","3.24","3.09","1.69","8.52","6.66","46.05","152","5","200.37","1.85","6.4615","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"26","mre_mo030","cap_boundary","middle_2019_2022","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.30","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo030_middle_2019_2022_m1.htm","10000","1460","258.26","10258.26","2.58","0.65","0.64","1.13","1.87","1.55","36.96","138","8","449.84","4.36","0.5741","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"27","mre_mo030","cap_boundary","recent_2023_2026","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.30","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo030_recent_2023_2026_m1.htm","10000","1292","768.46","10768.46","7.68","2.17","2.12","1.72","9.73","5.48","46.84","79","6","185.01","1.81","4.1536","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"28","mre_mo030","cap_boundary","continuous_2015_2026","6CC874052387B95074A0CA71BA45B7CFF1323FC54A1588335B1945F2E4C37026","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.30","0.75","PARSED","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo030_continuous_2015_2026_m1.htm","10000","4214","2301.51","12301.51","23.02","1.99","1.81","1.43","6.22","4.33","42.7","370","8","471.04","4.05","4.886","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
