TestWindow,Component,EntryTime,ExitTime,Profit,InitialRiskMoney,RiskR,Decision,BlockedByComponent,BlockedByEntryTime,BlockedByExitTime,SourceEvidence
2015,RRO_DI12_CAP12_CONTINUOUS,2015-01-05T18:00:00,2015-01-05T20:19:28,-41.13,41.040000,-1.002193,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2015,MTSM_CAP12_ANNUAL,2015-01-08T06:00:00,2015-01-08T15:00:00,-6.20,14.400000,-0.430556,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-03-11T12:00:00,2015-03-12T01:05:00,5.42,13.260000,0.408748,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-05-13T15:00:00,2015-05-13T16:39:30,22.00,10.980000,2.003643,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-06-04T16:00:00,2015-06-05T16:24:28,28.07,14.080000,1.993608,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,RRO_DI12_CAP12_CONTINUOUS,2015-06-15T20:00:00,2015-06-16T16:11:29,69.34,27.300000,2.539927,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2015,MTSM_CAP12_ANNUAL,2015-06-30T14:00:00,2015-06-30T19:00:00,-10.68,13.560000,-0.787611,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-07-02T10:00:00,2015-07-02T15:20:13,25.32,12.680000,1.996845,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-07-06T11:00:00,2015-07-06T18:00:00,-9.06,14.250000,-0.635789,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-07-22T15:00:00,2015-07-23T02:00:00,-7.19,8.280000,-0.868357,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
