"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"18","pds_trend","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\018_pds_trend_continuous_2015_2020_m1.ini","True","pds_trend_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_trend_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:12:13","2026-07-16T21:12:25"
"19","pds_adx24","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\019_pds_adx24_older_2015_2018_m1.ini","True","pds_adx24_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_adx24_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:12:25","2026-07-16T21:12:37"
"20","pds_adx24","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\020_pds_adx24_discovery_2019_2020_m1.ini","True","pds_adx24_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_adx24_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:12:37","2026-07-16T21:12:49"
"21","pds_adx24","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\021_pds_adx24_continuous_2015_2020_m1.ini","True","pds_adx24_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_adx24_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:12:49","2026-07-16T21:13:01"
"22","pds_rr20","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\022_pds_rr20_older_2015_2018_m1.ini","True","pds_rr20_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_rr20_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:13:01","2026-07-16T21:13:12"
"23","pds_rr20","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\023_pds_rr20_discovery_2019_2020_m1.ini","True","pds_rr20_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_rr20_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:13:12","2026-07-16T21:13:24"
"24","pds_rr20","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\024_pds_rr20_continuous_2015_2020_m1.ini","True","pds_rr20_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_rr20_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:13:24","2026-07-16T21:13:37"
"25","pds_midpoint","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\025_pds_midpoint_older_2015_2018_m1.ini","True","pds_midpoint_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_midpoint_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:13:37","2026-07-16T21:13:48"
"26","pds_midpoint","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\026_pds_midpoint_discovery_2019_2020_m1.ini","True","pds_midpoint_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_midpoint_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:13:48","2026-07-16T21:14:00"
"27","pds_midpoint","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\027_pds_midpoint_continuous_2015_2020_m1.ini","True","pds_midpoint_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_midpoint_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:14:00","2026-07-16T21:14:12"
"28","pds_session12_22","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\028_pds_session12_22_older_2015_2018_m1.ini","True","pds_session12_22_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_session12_22_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:14:12","2026-07-16T21:14:23"
"29","pds_session12_22","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\029_pds_session12_22_discovery_2019_2020_m1.ini","True","pds_session12_22_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_session12_22_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:14:23","2026-07-16T21:14:34"
"30","pds_session12_22","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\030_pds_session12_22_continuous_2015_2020_m1.ini","True","pds_session12_22_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_session12_22_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:14:34","2026-07-16T21:14:45"
