"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"conflict_march_only","7","7","4920.83","1277.57","893.69","214.3","1277.57","","0","0"
"stable","7","7","3451.27","1277.57","158.91","214.3","1277.57","","0","0"
