"FromYear","ToYear","CooldownMinutes","CooldownHours","AffectedTrades","AffectedNet","AffectedProfitFactor","AdaptiveControlTrades","AdaptiveControlNet","PortfolioControlTrades","PortfolioControlNet","OfflineProjectedPortfolioNet","OfflineProjectedImprovement","LedgerSha256"
"2015","2018","2880","48","3","-24.19","0","35","68.59","185","999.09","1023.28","24.19","6D880F634BD792281DAB72C5ACC6BF9F2C617888184881BD9AFA2D84DCEFAC40"
"2015","2018","4320","72","4","-26.57","0","35","68.59","185","999.09","1025.66","26.57","6D880F634BD792281DAB72C5ACC6BF9F2C617888184881BD9AFA2D84DCEFAC40"
"2015","2018","5760","96","4","-26.57","0","35","68.59","185","999.09","1025.66","26.57","6D880F634BD792281DAB72C5ACC6BF9F2C617888184881BD9AFA2D84DCEFAC40"
"2015","2018","7200","120","4","-26.57","0","35","68.59","185","999.09","1025.66","26.57","6D880F634BD792281DAB72C5ACC6BF9F2C617888184881BD9AFA2D84DCEFAC40"
