"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","r10_a7_dfg_risk_base","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2019_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\001_r10_a7_dfg_risk_base_2019_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\001_r10_a7_dfg_risk_base_2019_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2019_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2019_full_m1","0F1B47A3F7C803938EDD0BD614600AF1050071B8CF3BA5A292343F5DCBB57C15","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"2","r10_a7_dfg_risk_base","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2020_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\002_r10_a7_dfg_risk_base_2020_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\002_r10_a7_dfg_risk_base_2020_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2020_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2020_full_m1","E011289A9081BA49DC5861C406C02FB6CE0D1280CFAFB5E58E338140DB012B7F","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"3","r10_a7_dfg_risk_base","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2021_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\003_r10_a7_dfg_risk_base_2021_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\003_r10_a7_dfg_risk_base_2021_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2021_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2021_full_m1","D3EC06ADEEEDC6C80318CE78E87AC32FAC592128ABD90EF99688499241F9E8DE","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"4","r10_a7_dfg_risk_base","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2022_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\004_r10_a7_dfg_risk_base_2022_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\004_r10_a7_dfg_risk_base_2022_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2022_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2022_full_m1","0888DB3AE756CDC0B25D0470FFAD56A03CC19F8CE1330FB28F3471B82E3A4BA3","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"5","r10_a7_dfg_risk_base","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2023_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\005_r10_a7_dfg_risk_base_2023_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\005_r10_a7_dfg_risk_base_2023_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2023_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2023_full_m1","677E7D1EF51D5B1FFCA0385979E60D8836540CB08DFE018A1AF11FBEFAAF5B53","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"6","r10_a7_dfg_risk_base","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2024_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\006_r10_a7_dfg_risk_base_2024_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\006_r10_a7_dfg_risk_base_2024_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2024_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2024_full_m1","B59C11EEDAAB68771D1260C8971B872C5F2E8FC6D775BD573B8DA2AECB959A34","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"7","r10_a7_dfg_risk_base","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2025_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\007_r10_a7_dfg_risk_base_2025_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\007_r10_a7_dfg_risk_base_2025_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2025_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2025_full_m1","C7AD068EDDFF69CD89A8B08006A963184C329A8EF204B8CB3D7DA267AE14C025","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"8","r10_a7_dfg_risk_base","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2026_ytd","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\008_r10_a7_dfg_risk_base_2026_ytd_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\008_r10_a7_dfg_risk_base_2026_ytd_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2026_ytd_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_base_2026_ytd_m1","5A9692D3F24672B563355A91BEAD434104ACB49F108978E7555C524143E6A115","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"9","r10_a7_dfg_risk_25_45_50","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2019_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\009_r10_a7_dfg_risk_25_45_50_2019_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\009_r10_a7_dfg_risk_25_45_50_2019_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2019_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2019_full_m1","3260DDFD2FF261CBFF5C273E877477BC3F0D40D63A460B4225EA3367434C663E","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"10","r10_a7_dfg_risk_25_45_50","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2020_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\010_r10_a7_dfg_risk_25_45_50_2020_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\010_r10_a7_dfg_risk_25_45_50_2020_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2020_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2020_full_m1","3B623B9ACC3697529A389224181F3F2C2EFB442D5981A17BC4CD250CA115E878","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"11","r10_a7_dfg_risk_25_45_50","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2021_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\011_r10_a7_dfg_risk_25_45_50_2021_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\011_r10_a7_dfg_risk_25_45_50_2021_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2021_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2021_full_m1","24C053451B1CBC90F55A06182AF95CF06EC04CB677560858264FD119BE46BE59","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"12","r10_a7_dfg_risk_25_45_50","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2022_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\012_r10_a7_dfg_risk_25_45_50_2022_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\012_r10_a7_dfg_risk_25_45_50_2022_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2022_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2022_full_m1","D179FDF4BCC0B1E09423D22726A2E4EC5C0C49F6CF2DA22E4B72263465880940","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"13","r10_a7_dfg_risk_25_45_50","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2023_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\013_r10_a7_dfg_risk_25_45_50_2023_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\013_r10_a7_dfg_risk_25_45_50_2023_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2023_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2023_full_m1","82B170BBC4EDFFEDD8609A499EA4BB859079AE1EA00AD2A4084CC108CB8DBD20","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"14","r10_a7_dfg_risk_25_45_50","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2024_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\014_r10_a7_dfg_risk_25_45_50_2024_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\014_r10_a7_dfg_risk_25_45_50_2024_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2024_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2024_full_m1","C81BCB7C0A82D055266DDD1B057E980E2843A0C8907C3918E79BF6D4C6A838B1","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"15","r10_a7_dfg_risk_25_45_50","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2025_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\015_r10_a7_dfg_risk_25_45_50_2025_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\015_r10_a7_dfg_risk_25_45_50_2025_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2025_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2025_full_m1","B214EDE300210A0DBC4FC5222C27B9E71124A78BBFA3D9C92E371F6B8100CB19","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"16","r10_a7_dfg_risk_25_45_50","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2026_ytd","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\016_r10_a7_dfg_risk_25_45_50_2026_ytd_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\016_r10_a7_dfg_risk_25_45_50_2026_ytd_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2026_ytd_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_45_50_2026_ytd_m1","60CB01CAEB1B6A3BE03BA28DA0DBB80D7F048E9A78B6782D788CAED9AF87C275","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"17","r10_a7_dfg_risk_25_35_35","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2019_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\017_r10_a7_dfg_risk_25_35_35_2019_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\017_r10_a7_dfg_risk_25_35_35_2019_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2019_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2019_full_m1","4AFA46BFD1FCB4007DB915640B3D064F8DABD66980DB5F74FDF168B599A6A630","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"18","r10_a7_dfg_risk_25_35_35","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2020_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\018_r10_a7_dfg_risk_25_35_35_2020_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\018_r10_a7_dfg_risk_25_35_35_2020_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2020_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2020_full_m1","A26745931C512D7EAE6E77F79C3987141ED0EA41144D3F03E767819580B32296","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
"19","r10_a7_dfg_risk_25_35_35","phase6_dfg_spread_risk_yearly_model1","Peak R20 diagnostic fallback spread risk yearly Model1","2021_full","1","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\019_r10_a7_dfg_risk_25_35_35_2021_full_m1.ini","outputs\peak_r20_dfg_spread_risk_yearly_package\configs\019_r10_a7_dfg_risk_25_35_35_2021_full_m1.ini","peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2021_full_m1","outputs\peak_r20_dfg_spread_risk_yearly_package\reports_here\peak_r20_dfg_spread_risk_r10_a7_dfg_risk_25_35_35_2021_full_m1","84935C764BF7960055DC6822B3692765C9E56B7B368ECF5AE84BB07A168D403A","Reject unless diagnostic fallback spread risk scaling improves stability without creating red yearly windows."
