"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","StopLookbackBars","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","rvsg_control5","1","control","reversion_stop_geometry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","5","rvsg_control5_older_2015_2018_m1","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\001_rvsg_control5_older_2015_2018_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\001_rvsg_control5_older_2015_2018_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_older_2015_2018_m1","962C4F7321E16362F9F13A601D02D040C33E3E0B64C9646E006958758108280E","56E1F0B21109B0FEA5CADBD56BBD813CD9AB27FDD23CA52B65A8E52D1C216607","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. The 3-bar center must be positive and retain at least 98% of exact-control net in both disjoint eras, improve continuous net by at least 5% and CAGR by 0.10 point, keep PF/recovery/return-to-drawdown no worse, keep drawdown <=1.25% and <=control+0.10 point, and retain at least 98% of control trades. At least one adjacent 2- or 4-bar row must independently retain both eras and trades, improve net >=3% and CAGR >=0.05 point, and keep efficiency no worse. No alternate-center selection, threshold rescue, holdout, or Model 4 after failure."
"2","rvsg_control5","1","control","reversion_stop_geometry_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","5","rvsg_control5_discovery_2019_2020_m1","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\002_rvsg_control5_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\002_rvsg_control5_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_discovery_2019_2020_m1","60375C450C2D1BE02A2ACAC6F3591F4FED91F9CF34F1CF8E5ACC2D81F50DAC9F","56E1F0B21109B0FEA5CADBD56BBD813CD9AB27FDD23CA52B65A8E52D1C216607","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. The 3-bar center must be positive and retain at least 98% of exact-control net in both disjoint eras, improve continuous net by at least 5% and CAGR by 0.10 point, keep PF/recovery/return-to-drawdown no worse, keep drawdown <=1.25% and <=control+0.10 point, and retain at least 98% of control trades. At least one adjacent 2- or 4-bar row must independently retain both eras and trades, improve net >=3% and CAGR >=0.05 point, and keep efficiency no worse. No alternate-center selection, threshold rescue, holdout, or Model 4 after failure."
"3","rvsg_control5","1","control","reversion_stop_geometry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","5","rvsg_control5_continuous_2015_2020_m1","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\003_rvsg_control5_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\003_rvsg_control5_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_control5_continuous_2015_2020_m1","E9C2F1351AC16098C7B08656BB40E3B2B05C1DA01AA5B0EE86B5017444448339","56E1F0B21109B0FEA5CADBD56BBD813CD9AB27FDD23CA52B65A8E52D1C216607","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. The 3-bar center must be positive and retain at least 98% of exact-control net in both disjoint eras, improve continuous net by at least 5% and CAGR by 0.10 point, keep PF/recovery/return-to-drawdown no worse, keep drawdown <=1.25% and <=control+0.10 point, and retain at least 98% of control trades. At least one adjacent 2- or 4-bar row must independently retain both eras and trades, improve net >=3% and CAGR >=0.05 point, and keep efficiency no worse. No alternate-center selection, threshold rescue, holdout, or Model 4 after failure."
"4","rvsg_stop2","2","lower_boundary","reversion_stop_geometry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","2","rvsg_stop2_older_2015_2018_m1","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\004_rvsg_stop2_older_2015_2018_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\004_rvsg_stop2_older_2015_2018_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_older_2015_2018_m1","8F68A0E093986C149C623319A31C8CAA8B07438AF7FCA4ADF5F4679D858933D5","662C602ED818DB820E2525B1BF5CDEBBAFC4A57100D62019FF33571E59703838","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. The 3-bar center must be positive and retain at least 98% of exact-control net in both disjoint eras, improve continuous net by at least 5% and CAGR by 0.10 point, keep PF/recovery/return-to-drawdown no worse, keep drawdown <=1.25% and <=control+0.10 point, and retain at least 98% of control trades. At least one adjacent 2- or 4-bar row must independently retain both eras and trades, improve net >=3% and CAGR >=0.05 point, and keep efficiency no worse. No alternate-center selection, threshold rescue, holdout, or Model 4 after failure."
"5","rvsg_stop2","2","lower_boundary","reversion_stop_geometry_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","2","rvsg_stop2_discovery_2019_2020_m1","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\005_rvsg_stop2_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\005_rvsg_stop2_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_discovery_2019_2020_m1","9A101624E5154AB41217C00A8E9E49019FB3C2FAF826D5AE21689B8D98228807","662C602ED818DB820E2525B1BF5CDEBBAFC4A57100D62019FF33571E59703838","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. The 3-bar center must be positive and retain at least 98% of exact-control net in both disjoint eras, improve continuous net by at least 5% and CAGR by 0.10 point, keep PF/recovery/return-to-drawdown no worse, keep drawdown <=1.25% and <=control+0.10 point, and retain at least 98% of control trades. At least one adjacent 2- or 4-bar row must independently retain both eras and trades, improve net >=3% and CAGR >=0.05 point, and keep efficiency no worse. No alternate-center selection, threshold rescue, holdout, or Model 4 after failure."
"6","rvsg_stop2","2","lower_boundary","reversion_stop_geometry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","2","rvsg_stop2_continuous_2015_2020_m1","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\006_rvsg_stop2_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\006_rvsg_stop2_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop2_continuous_2015_2020_m1","9A2DA82AF098CF71879C5317D4D1314F994390E7FD71CFE7B4F977F21AFBA712","662C602ED818DB820E2525B1BF5CDEBBAFC4A57100D62019FF33571E59703838","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. The 3-bar center must be positive and retain at least 98% of exact-control net in both disjoint eras, improve continuous net by at least 5% and CAGR by 0.10 point, keep PF/recovery/return-to-drawdown no worse, keep drawdown <=1.25% and <=control+0.10 point, and retain at least 98% of control trades. At least one adjacent 2- or 4-bar row must independently retain both eras and trades, improve net >=3% and CAGR >=0.05 point, and keep efficiency no worse. No alternate-center selection, threshold rescue, holdout, or Model 4 after failure."
"7","rvsg_center3","3","center","reversion_stop_geometry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","3","rvsg_center3_older_2015_2018_m1","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\007_rvsg_center3_older_2015_2018_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\007_rvsg_center3_older_2015_2018_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_older_2015_2018_m1","1EEBB8C2FE6408EE0E5B7607ED28C3427C30F18DA550AC9D16E1BD0DFEF4C097","1D0023800F3CEE730AD27E5D9E4DCED1BDF422E40C3769018250DE56679BBDDA","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. The 3-bar center must be positive and retain at least 98% of exact-control net in both disjoint eras, improve continuous net by at least 5% and CAGR by 0.10 point, keep PF/recovery/return-to-drawdown no worse, keep drawdown <=1.25% and <=control+0.10 point, and retain at least 98% of control trades. At least one adjacent 2- or 4-bar row must independently retain both eras and trades, improve net >=3% and CAGR >=0.05 point, and keep efficiency no worse. No alternate-center selection, threshold rescue, holdout, or Model 4 after failure."
"8","rvsg_center3","3","center","reversion_stop_geometry_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","3","rvsg_center3_discovery_2019_2020_m1","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\008_rvsg_center3_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\008_rvsg_center3_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_discovery_2019_2020_m1","A8FC6F5E5FA0D9584EED092D514E016AC0A731C07D5523CF165E6BF876BF9F3D","1D0023800F3CEE730AD27E5D9E4DCED1BDF422E40C3769018250DE56679BBDDA","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. The 3-bar center must be positive and retain at least 98% of exact-control net in both disjoint eras, improve continuous net by at least 5% and CAGR by 0.10 point, keep PF/recovery/return-to-drawdown no worse, keep drawdown <=1.25% and <=control+0.10 point, and retain at least 98% of control trades. At least one adjacent 2- or 4-bar row must independently retain both eras and trades, improve net >=3% and CAGR >=0.05 point, and keep efficiency no worse. No alternate-center selection, threshold rescue, holdout, or Model 4 after failure."
"9","rvsg_center3","3","center","reversion_stop_geometry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","3","rvsg_center3_continuous_2015_2020_m1","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\009_rvsg_center3_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\009_rvsg_center3_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_center3_continuous_2015_2020_m1","CF85C97B94DE776EDDE1D024F4074F4963D0462280E534077B091D2449EDB48B","1D0023800F3CEE730AD27E5D9E4DCED1BDF422E40C3769018250DE56679BBDDA","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. The 3-bar center must be positive and retain at least 98% of exact-control net in both disjoint eras, improve continuous net by at least 5% and CAGR by 0.10 point, keep PF/recovery/return-to-drawdown no worse, keep drawdown <=1.25% and <=control+0.10 point, and retain at least 98% of control trades. At least one adjacent 2- or 4-bar row must independently retain both eras and trades, improve net >=3% and CAGR >=0.05 point, and keep efficiency no worse. No alternate-center selection, threshold rescue, holdout, or Model 4 after failure."
"10","rvsg_stop4","4","upper_neighbor","reversion_stop_geometry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","4","rvsg_stop4_older_2015_2018_m1","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\010_rvsg_stop4_older_2015_2018_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\configs\010_rvsg_stop4_older_2015_2018_m1.ini","outputs\three_lane_reversion_stop_geometry_discovery_model1_package\reports_here\rvsg_stop4_older_2015_2018_m1","C34CCF4853800D189699FB9303FA68A7288D28B49DB2510E4F13F73DA150458E","FFEC1C10ADEB9235381CE51C3ED384D71588F070B8FDD7F79EBF1E8FA25FFB87","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. The 3-bar center must be positive and retain at least 98% of exact-control net in both disjoint eras, improve continuous net by at least 5% and CAGR by 0.10 point, keep PF/recovery/return-to-drawdown no worse, keep drawdown <=1.25% and <=control+0.10 point, and retain at least 98% of control trades. At least one adjacent 2- or 4-bar row must independently retain both eras and trades, improve net >=3% and CAGR >=0.05 point, and keep efficiency no worse. No alternate-center selection, threshold rescue, holdout, or Model 4 after failure."
