"Ticket","EntryTime","ExitTime","EntryYear","Side","Profit","Winner","adx","di_edge","di_align","slope_atr","ema_dist_atr","break_atr","channel_atr","eff10","body_pct","close_pct","range_atr","gap_atr","atr63_ratio","volume20_ratio"
"2","11/4/2015 7:00:00 AM","12/7/2015 1:05:00 AM","2015","sell","70.66","True","44.37","11.92","24.57","0.0826","2.661","0.9602","4.0533","0.8935","67.35","86.29","1.6243","-0.0177","0.9303","1.0811"
"4","2/4/2016 7:00:00 AM","3/15/2016 1:05:00 AM","2016","buy","178.01","True","31.76","30.38","36.41","0.0498","1.8715","0.8314","4.3749","0.5996","67.33","85.27","1.5485","-0.0367","0.9368","1.2126"
"6","6/16/2016 7:00:00 AM","6/17/2016 4:09:40 AM","2016","buy","-47.09","False","38.69","29.46","40.38","0.3132","5.2759","0.114","5.7713","0.9486","36.34","71.44","1.1772","-0.0666","0.8757","1.0048"
"8","7/7/2016 7:00:00 AM","7/13/2016 1:05:00 AM","2016","buy","-34.75","False","63.18","28.38","39.25","0.3244","5.3445","0.2137","4.5359","0.68","35.32","40.5","0.752","0.0354","1.2982","1.2818"
"10","11/21/2016 7:00:00 AM","12/30/2016 1:05:00 AM","2016","sell","50.44","True","37.58","6.14","28.28","0.1594","2.747","0.0978","5.0592","0.8297","53.93","61.25","0.5969","0.0076","1.5327","1.0325"
"12","2/24/2017 7:00:00 AM","3/3/2017 1:05:00 AM","2017","buy","-33.64","False","36.02","13.42","26.78","0.0489","1.5441","0.3528","4.9745","0.4304","80.57","88.01","1.1893","-0.0481","0.8899","0.7987"
"14","3/9/2017 7:00:00 AM","3/16/2017 1:05:00 AM","2017","sell","-29.44","False","23.48","16.05","31.8","0.0365","1.8146","0.5205","4.0587","0.4141","68.07","90.25","0.9724","-0.0106","0.8822","0.7394"
"16","4/12/2017 7:00:00 AM","4/26/2017 1:05:00 AM","2017","buy","-27.42","False","45.41","17.43","31.55","0.1411","3.3798","0.2557","6.0708","0.4478","85.45","94.88","1.8196","0.0371","0.9309","1.1562"
"18","5/10/2017 7:00:00 AM","5/17/2017 2:34:40 AM","2017","sell","-37.3","False","46.15","36.63","39.44","0.0577","1.464","0.3045","5.7678","0.6835","35.92","50.87","1.1712","-0.0156","0.9777","0.8923"
"20","7/10/2017 7:00:00 AM","7/14/2017 3:30:40 PM","2017","sell","-36.09","False","34.03","30.04","37.92","0.1299","2.7063","0.4373","5.3581","0.6507","59.75","76.55","1.7787","-0.016","0.9549","1.0397"
"22","8/14/2017 7:00:00 AM","8/15/2017 3:30:40 PM","2017","buy","-36.45","False","58.52","18.26","26.91","0.1577","3.6018","0.2196","6.0513","0.4279","40","85.79","0.8866","-0.0099","0.9959","1.1692"
"24","11/20/2017 7:00:00 AM","11/20/2017 8:03:40 PM","2017","buy","-35.66","False","19.15","9.07","22.08","0.0541","1.7302","0.27","2.2949","0.4102","83.77","85.71","1.5656","0.0185","0.9051","1.0928"
"26","1/3/2018 7:00:00 AM","2/5/2018 1:05:00 AM","2018","buy","40.73","True","44.72","49.05","52.07","0.1626","4.4266","1.0437","7.1223","1","77.02","90.58","1.0427","0.7289","0.8604","0.7417"
"28","3/26/2018 7:00:00 AM","3/28/2018 7:06:20 PM","2018","buy","-42.9","False","22.07","14.44","26.4","0.1222","3.098","0.4607","2.7062","0.3477","86.27","86.27","1.3863","0.1415","1.0061","1.1348"
"30","6/18/2018 7:00:00 AM","8/27/2018 1:05:00 AM","2018","sell","208.61","True","20.94","6.57","22.57","0.0837","2.5669","0.1677","2.5281","0.2926","79.2","82.48","2.5707","0.0083","0.8557","1.0062"
"32","11/12/2018 7:00:00 AM","11/20/2018 3:35:20 PM","2018","sell","-37.37","False","30.43","3.31","23.72","0.0845","2.3602","0.2136","2.5728","0.3947","82.97","84.1","1.3744","0.0098","0.9962","0.9501"
"34","12/21/2018 7:00:00 AM","1/21/2019 1:05:00 AM","2018","buy","58.02","True","34.64","27.53","33.91","0.0761","2.1873","0.1577","4.3459","0.3616","65.09","71.62","2.2036","0.116","0.9356","1.0752"
"36","1/28/2019 7:00:00 AM","2/7/2019 1:05:00 AM","2019","buy","7.73","True","37.88","8.73","21.54","0.248","5.298","0.4227","3.2681","0.2754","93.51","95.34","2.378","-0.0416","0.9281","0.9663"
"38","5/14/2019 7:00:00 AM","5/17/2019 3:41:40 PM","2019","buy","-50.88","False","26.12","16.49","25.45","0.0548","1.9073","0.3703","2.716","0.3794","65.63","92.74","1.7724","0.1351","0.9345","1.2272"
"40","6/24/2019 7:00:00 AM","7/2/2019 1:05:00 AM","2019","buy","-20.33","False","60.05","43.9","50.2","0.2971","6.2","0.2773","6.9017","0.6473","38.52","55.33","1.6989","-0.0551","1.4083","2.2825"
"42","7/19/2019 7:00:00 AM","7/26/2019 1:05:00 AM","2019","buy","-29.29","False","32.83","11.44","30.36","0.3009","5.4004","0.274","3.4699","0.2602","57.74","92.78","1.4257","0.0038","1.4848","1.0258"
"44","8/6/2019 7:00:00 AM","9/10/2019 1:05:00 AM","2019","buy","32.74","True","33.41","17.13","25.36","0.3242","5.831","0.4893","3.0457","0.3225","70.89","81.85","1.4973","-0.0014","1.2442","1.7362"
"46","12/27/2019 8:30:00 AM","2/5/2020 1:05:00 AM","2019","buy","79.67","True","30.53","22.57","34.76","0.2474","5.3234","0.8916","4.0366","0.7326","75.51","85.23","0.8655","0.36","0.7749","0.7285"
"48","2/20/2020 7:00:00 AM","2/28/2020 5:36:40 PM","2020","buy","-48.03","False","15.1","15.48","29.23","0.4368","7.6365","0.4101","3.7598","0.7538","76.01","88.27","0.8723","-0.0117","1.0507","1.0408"
"50","6/23/2020 7:00:00 AM","8/12/2020 1:05:00 AM","2020","buy","157.18","True","23.38","-0.93","20.78","0.2809","4.8341","0.3506","2.8264","0.6024","33.58","57.72","0.7738","0.205","0.9326","1.0174"
"52","11/30/2020 9:45:00 AM","12/2/2020 10:32:40 AM","2020","sell","-39.35","False","35.37","30.21","35.43","0.0742","1.8891","0.5156","6.314","0.877","59.37","68.57","1.5115","-0.0015","0.9012","0.7351"
"54","12/18/2020 7:00:00 AM","1/8/2021 7:27:40 PM","2020","buy","-44.52","False","27.42","22.44","36.53","0.0445","1.7458","0.2256","4.1384","0.3135","66.06","70.3","1.2261","-0.0215","0.9745","1.1383"
"56","2/18/2021 7:00:00 AM","3/18/2021 12:05:00 AM","2021","sell","32.51","True","23.16","22.07","35.86","0.0912","2.4715","0.3057","3.3848","0.3687","62.11","71.85","0.9574","0.0712","0.9578","1.1105"
"58","5/19/2021 7:00:00 AM","6/4/2021 1:05:00 AM","2021","buy","0.36","True","56","33.74","40.11","0.1248","2.8237","0.0505","4.6112","0.6859","24.94","54.44","0.4861","0.0016","0.9727","0.8861"
"60","9/6/2021 7:00:00 AM","9/7/2021 5:15:40 PM","2021","buy","-27.25","False","31.71","13.22","27.7","0.0313","1.1532","0.2406","7.745","0.4609","72.37","74.57","1.3832","-0.0033","0.8104","0.8292"
"62","9/17/2021 7:00:00 AM","10/5/2021 1:05:00 AM","2021","sell","-11.39","False","23.88","21.8","33.83","0.0617","2.5331","1.0482","2.8773","0.4154","81.24","85.32","2.4627","-0.0188","0.9896","1.3926"
"64","11/10/2021 7:00:00 AM","11/23/2021 1:05:00 AM","2021","buy","-20.19","False","27.49","7.88","27.56","0.0439","1.7613","0.2472","3.5683","0.3307","54.94","92.43","0.6354","0.0066","0.9904","0.9206"
"66","12/3/2021 7:00:00 AM","12/17/2021 1:05:00 AM","2021","sell","-27","False","23.41","14.08","26.18","0.0451","1.2611","0.0581","4.3939","0.8205","61.09","69.97","0.8758","0.0164","1.0442","1.2411"
"68","2/14/2022 7:00:00 AM","3/15/2022 12:05:00 AM","2022","buy","97.67","True","15.74","5.73","26.25","0.0977","2.5652","0.2412","3.4945","0.8062","71.19","85.47","2.1143","0.0252","1.0553","1.259"
"70","5/13/2022 7:00:00 AM","5/24/2022 1:05:00 AM","2022","sell","-29.22","False","35.4","22.73","35.51","0.0543","1.5805","0.3278","5.4405","0.4748","79.08","98.9","1.2171","0.0297","0.9507","1.1716"
"72","7/6/2022 7:00:00 AM","7/25/2022 1:02:00 AM","2022","sell","41.32","True","19.08","20.63","30.16","0.1685","4.0871","0.8929","4.2389","0.7601","90.02","98.69","2.165","-0.0022","0.865","1.1202"
"74","9/1/2022 8:30:00 AM","9/12/2022 6:55:40 PM","2022","sell","-29.5","False","41.85","29.19","36.28","0.2697","5.1397","0.4811","4.5202","0.5316","73.1","91.62","0.875","0.0439","0.8462","1.1702"
"76","9/26/2022 7:00:00 AM","10/3/2022 5:08:40 PM","2022","sell","-40.53","False","38.8","12.52","21.94","0.3096","5.2783","0.3381","3.9146","0.5628","73.51","85.84","1.3499","-0.0112","1.166","1.2882"
"78","12/2/2022 7:00:00 AM","12/5/2022 8:51:40 PM","2022","buy","-30.63","False","41.25","4.46","23.43","0.0584","2.8109","0.8011","8.3526","0.3703","94.99","96.46","1.7487","0.0339","0.7732","1.3006"
"80","12/14/2022 7:00:00 AM","12/16/2022 1:01:00 AM","2022","buy","-32.81","False","23.37","23.18","32.25","0.1278","2.5716","0.0213","3.5171","0.3764","66.95","67.91","1.8568","0.0004","0.8992","1.1448"
"82","1/16/2023 7:30:00 AM","2/3/2023 3:48:40 PM","2023","buy","-37.54","False","39.75","40.07","44.3","0.3516","6.4076","0.8013","5.4847","0.6962","83.02","94.59","1.2684","-0.0433","0.9456","1.1631"
"84","3/16/2023 7:00:00 AM","5/17/2023 1:02:00 AM","2023","buy","67.81","True","38.7","30.65","43.53","0.1839","4.0234","0.1314","4.2624","0.4349","26.1","62.51","2.0011","0.0264","1.0479","1.5549"
"86","7/19/2023 7:00:00 AM","7/27/2023 4:40:40 PM","2023","buy","-30.25","False","39.97","19.13","31.56","0.1578","3.2017","0.774","3.6672","0.5636","80.59","81.13","1.5445","-0.0119","0.8177","1.2354"
"88","8/16/2023 7:00:00 AM","8/24/2023 1:00:00 AM","2023","sell","-12.1","False","27.83","22.48","28.91","0.0439","1.1027","0.0448","4.5152","0.6801","34.77","64.05","0.8152","0.0133","0.9174","1.1233"
"90","10/4/2023 7:00:00 AM","10/9/2023 1:00:40 AM","2023","sell","-27.59","False","21.85","34.62","48.14","0.2643","5.1253","0.2304","6.5971","0.9108","33.26","57.58","0.9944","-0.0658","1.0762","1.6404"
