Candidate,BodyRatio,StrongRiskPercent,NetProfit,TotalReturnPercent,CagrPercent,CagrGainPoints,ProfitFactor,Trades,MaxDrawdownPercent,RecoveryFactor,ReturnToDrawdown,RecoveryRetentionPercent,ReturnToDrawdownRetentionPercent,WorstEraNetProfit,AllErasPositive,Decision
rvsrl_control,0.250,0.600,2195.53,21.96,1.74,0.00,1.83,415,1.17,15.8168,18.7692,100.00,100.00,601.99,True,CONTROL
rvsrl_b250_r060,0.250,0.600,2314.68,23.15,1.82,0.08,1.87,415,1.21,16.0274,19.1322,101.33,101.93,671.73,True,REJECT
rvsrl_b250_r0625,0.250,0.625,2323.19,23.23,1.83,0.09,1.87,415,1.21,16.0863,19.1983,101.70,102.29,671.73,True,REJECT
rvsrl_b250_r065,0.250,0.650,2369.79,23.70,1.86,0.12,1.89,415,1.21,16.4090,19.5868,103.74,104.36,671.73,True,REJECT
rvsrl_b250_r0675,0.250,0.675,2369.79,23.70,1.86,0.12,1.89,415,1.21,16.4090,19.5868,103.74,104.36,682.60,True,REJECT
rvsrl_b250_r070,0.250,0.700,2391.89,23.92,1.88,0.14,1.89,415,1.21,16.5620,19.7686,104.71,105.32,682.60,True,REJECT
rvsrl_b225_r065,0.225,0.650,2369.79,23.70,1.86,0.12,1.89,415,1.21,16.4090,19.5868,103.74,104.36,671.73,True,REJECT
rvsrl_b275_r065,0.275,0.650,2369.79,23.70,1.86,0.12,1.89,415,1.21,16.4090,19.5868,103.74,104.36,671.73,True,REJECT
