TestWindow,Component,EntryTime,Profit,InitialRiskMoney,RiskR,D1AbsMomentumPercent,SourceEvidence
2015,RRO_DI12_CAP12_CONTINUOUS,2015-01-05T18:00:00,-41.13,41.04,-1.002193,9.887361,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2015,MTSM_CAP12_ANNUAL,2015-01-08T06:00:00,-6.20,14.4,-0.430556,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-03-11T12:00:00,5.42,13.26,0.408748,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-05-13T15:00:00,22.00,10.98,2.003643,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-06-04T16:00:00,28.07,14.08,1.993608,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,RRO_DI12_CAP12_CONTINUOUS,2015-06-15T20:00:00,69.34,27.3,2.539927,0.895029,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2015,MTSM_CAP12_ANNUAL,2015-06-30T14:00:00,-10.68,13.56,-0.787611,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-07-02T10:00:00,25.32,12.68,1.996845,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-07-06T11:00:00,-9.06,14.25,-0.635789,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-07-22T15:00:00,-7.19,8.28,-0.868357,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-07-31T10:00:00,-14.61,14.55,-1.004124,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-09-03T13:00:00,24.03,12,2.0025,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-10-02T10:00:00,1.45,15,0.096667,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,DDB045_ANNUAL_RESTART,2015-11-04T01:45:00,33.19,22.09,1.50249,,DDB_REPORT_SHA256_2AE8A15FE3051675A1AA46E30776C629C0935C819CC9CEF52B8F0E9D271C9222
2015,RRO_DI12_CAP12_CONTINUOUS,2015-11-05T18:00:00,-34.00,33.9,-1.00295,7.216521,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2015,MTSM_CAP12_ANNUAL,2015-11-11T17:00:00,-7.58,12.99,-0.583526,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
