"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","StopLookbackBars","StopBufferATR","MinimumStopATR","MaximumStopATR","EntryHour","SignalBodyPercent","TakeProfitR","StopRule"
"1","ods2_center","1","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_ods2_center_older_2015_2018_m1.ini","ods2_center_older_2015_2018_m1","profiles\ods2_center.set","4062B3A72E0136DEC90DC626504BBDD0978771242B9DC756B3FE22B7D742F5CC","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"3","ods2_center","1","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_ods2_center_discovery_2019_2020_m1.ini","ods2_center_discovery_2019_2020_m1","profiles\ods2_center.set","4062B3A72E0136DEC90DC626504BBDD0978771242B9DC756B3FE22B7D742F5CC","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"4","ods2_center","1","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_ods2_center_continuous_2015_2020_m1.ini","ods2_center_continuous_2015_2020_m1","profiles\ods2_center.set","4062B3A72E0136DEC90DC626504BBDD0978771242B9DC756B3FE22B7D742F5CC","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"6","ods2_lookback3","2","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback3.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_ods2_lookback3_older_2015_2018_m1.ini","ods2_lookback3_older_2015_2018_m1","profiles\ods2_lookback3.set","236F7D4F11372E016994D34811E5B72FC91BDC2A410C420EF68F961E8A17B266","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","3","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"7","ods2_lookback3","2","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback3.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_ods2_lookback3_discovery_2019_2020_m1.ini","ods2_lookback3_discovery_2019_2020_m1","profiles\ods2_lookback3.set","236F7D4F11372E016994D34811E5B72FC91BDC2A410C420EF68F961E8A17B266","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","3","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"9","ods2_lookback3","2","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback3.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_ods2_lookback3_continuous_2015_2020_m1.ini","ods2_lookback3_continuous_2015_2020_m1","profiles\ods2_lookback3.set","236F7D4F11372E016994D34811E5B72FC91BDC2A410C420EF68F961E8A17B266","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","3","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"10","ods2_lookback6","3","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback6.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_ods2_lookback6_older_2015_2018_m1.ini","ods2_lookback6_older_2015_2018_m1","profiles\ods2_lookback6.set","B0B6D2A5E68CC0560938E3A0E6F264ABA1D1731F4D4708D0D795A38E3C072FBE","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","6","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"12","ods2_lookback6","3","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback6.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_ods2_lookback6_discovery_2019_2020_m1.ini","ods2_lookback6_discovery_2019_2020_m1","profiles\ods2_lookback6.set","B0B6D2A5E68CC0560938E3A0E6F264ABA1D1731F4D4708D0D795A38E3C072FBE","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","6","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"13","ods2_lookback6","3","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback6.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_ods2_lookback6_continuous_2015_2020_m1.ini","ods2_lookback6_continuous_2015_2020_m1","profiles\ods2_lookback6.set","B0B6D2A5E68CC0560938E3A0E6F264ABA1D1731F4D4708D0D795A38E3C072FBE","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","6","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"15","ods2_buffer02","4","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer02.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_ods2_buffer02_older_2015_2018_m1.ini","ods2_buffer02_older_2015_2018_m1","profiles\ods2_buffer02.set","29EFF4AAF2329E4FD427B2CB995B5569F112BC1CFFD3BF6C12FD30C5B31AB651","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.02","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
