"Metric","Value"
"score7_entries","63"
"regime_entries","63"
"score7_closed_profit","7970.7"
"regime_closed_profit","9753.58"
"profit_delta","1782.88"
"nonzero_trade_deltas","50"
"first_nonzero_delta_ticket","43"
"largest_positive_delta_ticket","141"
"largest_positive_delta","562.19"
"largest_negative_delta_ticket","143"
"largest_negative_delta","-276.3"
