Fold,TrainThrough,Feature,Weight,Mean,Scale
fold_2017_2018,2016,intercept,0.254796,,
fold_2017_2018,2016,channel_width_atr,-0.1378337089,4.3342868627,1.1630854298
fold_2017_2018,2016,breakout_atr,-0.004248766,0.3333922353,0.1812468679
fold_2017_2018,2016,h1_efficiency,0.1310890222,0.335493098,0.1554816807
fold_2017_2018,2016,d1_efficiency,-0.0662444445,0.0963074118,0.0566351577
fold_2017_2018,2016,d1_momentum_pct,-0.0045154438,8.9895909412,5.8700179105
fold_2017_2018,2016,atr_pct,-0.0926632164,0.2340668824,0.0617099988
fold_2017_2018,2016,body_ratio,-0.0358205112,0.6627178431,0.1650800827
fold_2017_2018,2016,close_location,-0.1233627781,0.7905025882,0.1386414384
fold_2017_2018,2016,range_atr,0.0928329869,1.4619032745,0.4731523285
fold_2017_2018,2016,volume_ratio,-0.1717561702,1.357982,0.4893589262
fold_2017_2018,2016,stop_atr,0.0188173625,2.0023276275,0.3001034678
fold_2019_2020,2018,intercept,0.2343129259,,
fold_2019_2020,2018,channel_width_atr,-0.0481026936,4.5149259926,1.2012007939
fold_2019_2020,2018,breakout_atr,0.0606414678,0.3290460593,0.2299266939
fold_2019_2020,2018,h1_efficiency,0.025933594,0.3501509111,0.1483216379
fold_2019_2020,2018,d1_efficiency,-0.0462959985,0.0907820593,0.0579526133
fold_2019_2020,2018,d1_momentum_pct,0.0185194215,6.6467645704,4.8157705232
fold_2019_2020,2018,atr_pct,-0.1047463176,0.2018981852,0.0560450175
fold_2019_2020,2018,body_ratio,0.0476381397,0.6523291704,0.1731767537
fold_2019_2020,2018,close_location,0.0544554134,0.7683347111,0.1599977672
fold_2019_2020,2018,range_atr,0.1429998686,1.4047170074,0.465982035
fold_2019_2020,2018,volume_ratio,-0.0567663324,1.2481190444,0.5480575414
fold_2019_2020,2018,stop_atr,-0.0853288045,1.9398023778,0.3676644654
fold_2021_2022,2020,intercept,0.211593746,,
fold_2021_2022,2020,channel_width_atr,0.073226467,4.5810585661,1.2205356062
fold_2021_2022,2020,breakout_atr,0.0371389587,0.345073582,0.2419322617
fold_2021_2022,2020,h1_efficiency,0.0294617517,0.3600969048,0.1509783605
fold_2021_2022,2020,d1_efficiency,-0.0592581271,0.1018278571,0.0578413084
fold_2021_2022,2020,d1_momentum_pct,-0.0693932813,7.9537098942,5.3940612543
fold_2021_2022,2020,atr_pct,-0.0886500602,0.2018667989,0.0545990606
fold_2021_2022,2020,body_ratio,0.1273049586,0.656992254,0.1704005235
fold_2021_2022,2020,close_location,-0.03632296,0.7857385291,0.1547066007
fold_2021_2022,2020,range_atr,0.0723370022,1.3952743175,0.4622749769
fold_2021_2022,2020,volume_ratio,-0.0249669613,1.2405676138,0.5228329733
fold_2021_2022,2020,stop_atr,-0.0862256862,1.9517872222,0.35484328
