"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","ri_control","discovery_model1","Reversion independent scheduling discovery Model1","older_2015_2018","1","10000","outputs\reversion_independent_discovery_model1_package\configs\001_ri_control_older_2015_2018_m1.ini","outputs\reversion_independent_discovery_model1_package\configs\001_ri_control_older_2015_2018_m1.ini","ri_control_older_2015_2018_m1","outputs\reversion_independent_discovery_model1_package\reports_here\ri_control_older_2015_2018_m1","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"2","ri_control","discovery_model1","Reversion independent scheduling discovery Model1","discovery_2019_2020","1","10000","outputs\reversion_independent_discovery_model1_package\configs\002_ri_control_discovery_2019_2020_m1.ini","outputs\reversion_independent_discovery_model1_package\configs\002_ri_control_discovery_2019_2020_m1.ini","ri_control_discovery_2019_2020_m1","outputs\reversion_independent_discovery_model1_package\reports_here\ri_control_discovery_2019_2020_m1","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"3","ri_control","discovery_model1","Reversion independent scheduling discovery Model1","continuous_2015_2020","1","10000","outputs\reversion_independent_discovery_model1_package\configs\003_ri_control_continuous_2015_2020_m1.ini","outputs\reversion_independent_discovery_model1_package\configs\003_ri_control_continuous_2015_2020_m1.ini","ri_control_continuous_2015_2020_m1","outputs\reversion_independent_discovery_model1_package\reports_here\ri_control_continuous_2015_2020_m1","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"4","ri_control","discovery_model1","Reversion independent scheduling discovery Model1","year_2015","1","10000","outputs\reversion_independent_discovery_model1_package\configs\004_ri_control_year_2015_m1.ini","outputs\reversion_independent_discovery_model1_package\configs\004_ri_control_year_2015_m1.ini","ri_control_year_2015_m1","outputs\reversion_independent_discovery_model1_package\reports_here\ri_control_year_2015_m1","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"5","ri_control","discovery_model1","Reversion independent scheduling discovery Model1","year_2016","1","10000","outputs\reversion_independent_discovery_model1_package\configs\005_ri_control_year_2016_m1.ini","outputs\reversion_independent_discovery_model1_package\configs\005_ri_control_year_2016_m1.ini","ri_control_year_2016_m1","outputs\reversion_independent_discovery_model1_package\reports_here\ri_control_year_2016_m1","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"6","ri_control","discovery_model1","Reversion independent scheduling discovery Model1","year_2017","1","10000","outputs\reversion_independent_discovery_model1_package\configs\006_ri_control_year_2017_m1.ini","outputs\reversion_independent_discovery_model1_package\configs\006_ri_control_year_2017_m1.ini","ri_control_year_2017_m1","outputs\reversion_independent_discovery_model1_package\reports_here\ri_control_year_2017_m1","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"7","ri_control","discovery_model1","Reversion independent scheduling discovery Model1","year_2018","1","10000","outputs\reversion_independent_discovery_model1_package\configs\007_ri_control_year_2018_m1.ini","outputs\reversion_independent_discovery_model1_package\configs\007_ri_control_year_2018_m1.ini","ri_control_year_2018_m1","outputs\reversion_independent_discovery_model1_package\reports_here\ri_control_year_2018_m1","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"8","ri_control","discovery_model1","Reversion independent scheduling discovery Model1","year_2019","1","10000","outputs\reversion_independent_discovery_model1_package\configs\008_ri_control_year_2019_m1.ini","outputs\reversion_independent_discovery_model1_package\configs\008_ri_control_year_2019_m1.ini","ri_control_year_2019_m1","outputs\reversion_independent_discovery_model1_package\reports_here\ri_control_year_2019_m1","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"9","ri_control","discovery_model1","Reversion independent scheduling discovery Model1","year_2020","1","10000","outputs\reversion_independent_discovery_model1_package\configs\009_ri_control_year_2020_m1.ini","outputs\reversion_independent_discovery_model1_package\configs\009_ri_control_year_2020_m1.ini","ri_control_year_2020_m1","outputs\reversion_independent_discovery_model1_package\reports_here\ri_control_year_2020_m1","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"10","ri_m12_r30","discovery_model1","Reversion independent scheduling discovery Model1","older_2015_2018","1","10000","outputs\reversion_independent_discovery_model1_package\configs\010_ri_m12_r30_older_2015_2018_m1.ini","outputs\reversion_independent_discovery_model1_package\configs\010_ri_m12_r30_older_2015_2018_m1.ini","ri_m12_r30_older_2015_2018_m1","outputs\reversion_independent_discovery_model1_package\reports_here\ri_m12_r30_older_2015_2018_m1","A191B0ED22F05839EF2FC3334621753FD3D6E0B6366273129E12F9FA172259D0","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
