"QueueRank","Wave","Role","Window","Model","ExpectedReportName","Status","ReportPath","ReportIdentityPath","ReportIdentityReused","ReportSha256","ConfigSha256","SourceSha256","ProfileSha256","PortableBinarySha256","InitialDeposit","NetProfit","Balance","TotalReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","1","critical","2019","1","rdmc_err1_w01_m1_critical_2019","PARSED","outputs\rdmc_entry_regime_rewrite_v1_package\reports_here\rdmc_err1_w01_m1_critical_2019.htm","outputs\rdmc_entry_regime_rewrite_v1_package\reports_here\rdmc_err1_w01_m1_critical_2019.identity.json","True","60669331AEDBC80B86E6860F552C849A53497F268CD59167A6B1606847B68983","0FDB56ED2AE151F43BCCDFC52EC30A41BF4C65BFE3B0E680A00321452CB18971","41768D6A8C21A49B0B8465F90A4C3C254CA0FC714910AB6AAFBDE9B8D4402FED","D7C882EA36B34AE919A48407C7CA748579BE5D7D1C28103D688471C6AF1E1BD9","398643F1D16580F8C7161BD75A9E15D52C038965382DA01317FBBD2F75053E09","10000","4.43","10004.43","0.04","0.04","1.39","0.89","0.11","40","5","2","15.21","0.15","0.2913"
"2","1","critical","2022","1","rdmc_err1_w01_m1_critical_2022","PARSED","outputs\rdmc_entry_regime_rewrite_v1_package\reports_here\rdmc_err1_w01_m1_critical_2022.htm","outputs\rdmc_entry_regime_rewrite_v1_package\reports_here\rdmc_err1_w01_m1_critical_2022.identity.json","False","31B92ECF1473B93F00CA0CADC8DD1B474F05BEBDE4045A6EFE65F03D6890883B","84575EA55AA2B0186C7C3F455D01768C76C1183DD2D93AAFCC2601F5212F0B90","41768D6A8C21A49B0B8465F90A4C3C254CA0FC714910AB6AAFBDE9B8D4402FED","D7C882EA36B34AE919A48407C7CA748579BE5D7D1C28103D688471C6AF1E1BD9","398643F1D16580F8C7161BD75A9E15D52C038965382DA01317FBBD2F75053E09","10000","-3.42","9996.58","-0.03","-0.03","0.91","-0.49","-0.09","42.86","7","2","42.2","0.42","-0.081"
