"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"22","xmsc_corr020","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\022_xmsc_corr020_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\022_xmsc_corr020_discovery_2018_2020_m1.ini","xmsc_corr020_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_corr020_discovery_2018_2020_m1","36E97F051762B5CABC037C71EEB98962621F24D543B5863801ACDAFFA72E575E","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"23","xmsc_corr050","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\023_xmsc_corr050_older_2015_2017_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\023_xmsc_corr050_older_2015_2017_m1.ini","xmsc_corr050_older_2015_2017_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_corr050_older_2015_2017_m1","63F382195F00F255BCD28A129740BDE3A7CAF22F690F4B283276D73A879A1E75","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"24","xmsc_corr050","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\024_xmsc_corr050_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\024_xmsc_corr050_discovery_2018_2020_m1.ini","xmsc_corr050_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_corr050_discovery_2018_2020_m1","63F382195F00F255BCD28A129740BDE3A7CAF22F690F4B283276D73A879A1E75","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"25","xmsc_buffer000","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\025_xmsc_buffer000_older_2015_2017_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\025_xmsc_buffer000_older_2015_2017_m1.ini","xmsc_buffer000_older_2015_2017_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_buffer000_older_2015_2017_m1","632D516853B84B48971BAABC679CA9F9FDB4ADFF1FDA185BEA589BD0466570E4","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"26","xmsc_buffer000","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\026_xmsc_buffer000_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\026_xmsc_buffer000_discovery_2018_2020_m1.ini","xmsc_buffer000_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_buffer000_discovery_2018_2020_m1","632D516853B84B48971BAABC679CA9F9FDB4ADFF1FDA185BEA589BD0466570E4","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"27","xmsc_buffer010","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\027_xmsc_buffer010_older_2015_2017_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\027_xmsc_buffer010_older_2015_2017_m1.ini","xmsc_buffer010_older_2015_2017_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_buffer010_older_2015_2017_m1","7C0C7B5980A76DF3E9D4F94E0F7458D4A8A6DE2F6EE86547636D2E928FADBC36","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"28","xmsc_buffer010","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\028_xmsc_buffer010_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\028_xmsc_buffer010_discovery_2018_2020_m1.ini","xmsc_buffer010_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_buffer010_discovery_2018_2020_m1","7C0C7B5980A76DF3E9D4F94E0F7458D4A8A6DE2F6EE86547636D2E928FADBC36","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"29","xmsc_tp125","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\029_xmsc_tp125_older_2015_2017_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\029_xmsc_tp125_older_2015_2017_m1.ini","xmsc_tp125_older_2015_2017_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_tp125_older_2015_2017_m1","EE1884C78225B8863F2DC3CDFE04ECFA805CD9F68EEE775AFD16DF5B7EF830E2","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"30","xmsc_tp125","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\030_xmsc_tp125_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\030_xmsc_tp125_discovery_2018_2020_m1.ini","xmsc_tp125_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_tp125_discovery_2018_2020_m1","EE1884C78225B8863F2DC3CDFE04ECFA805CD9F68EEE775AFD16DF5B7EF830E2","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"31","xmsc_tp200","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","older_2015_2017","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\031_xmsc_tp200_older_2015_2017_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\031_xmsc_tp200_older_2015_2017_m1.ini","xmsc_tp200_older_2015_2017_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_tp200_older_2015_2017_m1","BE25CBC82FA9ACD14F89ED5FD8558B2E85CBC9CEE18B8627F42110A9ECBD83C4","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
"32","xmsc_tp200","discovery_model1","Independent M15 XAG synchronized-continuation discovery Model1","discovery_2018_2020","1","10000","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\032_xmsc_tp200_discovery_2018_2020_m1.ini","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\configs\032_xmsc_tp200_discovery_2018_2020_m1.ini","xmsc_tp200_discovery_2018_2020_m1","outputs\independent_m15_xag_synchronized_continuation_discovery_model1_package\reports_here\xmsc_tp200_discovery_2018_2020_m1","BE25CBC82FA9ACD14F89ED5FD8558B2E85CBC9CEE18B8627F42110A9ECBD83C4","Pre-registered Model1 gate: both 2015-2017 and 2018-2020 must be profitable with PF >= 1.10, DD <= 5%, and >= 30 trades each. Only supported neighborhoods may receive a continuous 2015-2020 test; recent years remain closed."
