"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","Reports","Evidence","Started","Finished"
"1","trade_ready_conservative","continuous_2024_2026","1","LOCKED","UNLOCK_REQUIRED","outputs\first_pass_next_run_package\trade_ready_conservative\configs\001_trade_ready_conservative_validation_continuous_2024_2026.ini","True","first_pass_trade_ready_conservative_001_validation_continuous_2024_2026","outputs\returned_mt5_reports\first_pass_inbox","","Plan only. MT5 hard lock is present, so no local tester run can start.","",""
"2","trade_ready_conservative","2024_full","1","LOCKED","UNLOCK_REQUIRED","outputs\first_pass_next_run_package\trade_ready_conservative\configs\002_trade_ready_conservative_validation_2024_full.ini","True","first_pass_trade_ready_conservative_002_validation_2024_full","outputs\returned_mt5_reports\first_pass_inbox","","Plan only. MT5 hard lock is present, so no local tester run can start.","",""
"3","trade_ready_conservative","2025_full","1","LOCKED","UNLOCK_REQUIRED","outputs\first_pass_next_run_package\trade_ready_conservative\configs\003_trade_ready_conservative_validation_2025_full.ini","True","first_pass_trade_ready_conservative_003_validation_2025_full","outputs\returned_mt5_reports\first_pass_inbox","","Plan only. MT5 hard lock is present, so no local tester run can start.","",""
"4","trade_ready_conservative","2026_ytd","1","LOCKED","UNLOCK_REQUIRED","outputs\first_pass_next_run_package\trade_ready_conservative\configs\004_trade_ready_conservative_validation_2026_ytd.ini","True","first_pass_trade_ready_conservative_004_validation_2026_ytd","outputs\returned_mt5_reports\first_pass_inbox","","Plan only. MT5 hard lock is present, so no local tester run can start.","",""
