"QueueRank","Candidate","Window","ExpectedReportName","Status","ConfigSha256","SourceSha256","PortableBinarySha256","ReportSha256","ReportBytes","IdentityCreatedUtc","Evidence"
"1","sip_center","older_2015_2018","sip_center_older_2015_2018_m1","REPORT_FOUND","8BC3EE554A2496479FB74CA209D03DB63823D99209878C93198BAD9D7CF534D4","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","D69E6C732142CA7D9B3E234E3F89952823BC467052BA0C820BEAECD42A164FB6","48582","2026-07-19T15:04:20.1979528Z","Exact portable report identity sidecar and report hash verified."
"2","sip_center","discovery_2019_2020","sip_center_discovery_2019_2020_m1","REPORT_FOUND","C16E69CF7C4F7D89F61A3ED9D08AF7103ADC396E52B139EAE37A3FED71173E92","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","BF1703C4B28359FC0728AAF765280700395CAEBDB7685759199C815753F6370D","42676","2026-07-19T15:04:35.9580819Z","Exact portable report identity sidecar and report hash verified."
"3","sip_center","continuous_2015_2020","sip_center_continuous_2015_2020_m1","REPORT_FOUND","40EFE982DB1D22AB4BB7B3E5FB72DD0B6E7EB385F2F2DDA8344129DDE4695097","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","500E5A5552A3D770C033590BDD8FFE75CAEB555A5A288EFFEB1246C5EA362C23","48624","2026-07-19T15:04:55.1044602Z","Exact portable report identity sidecar and report hash verified."
"4","sip_end8","older_2015_2018","sip_end8_older_2015_2018_m1","REPORT_FOUND","9B7E4BE2A901F4330CB8AF8A05CBD7E44212A6248A752B33D7B6E4BDBFF52840","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","16E41100B0A9B10C8A09E2AECBB23302503937549C197015E30CAA465EC79612","66342","2026-07-19T15:05:13.5918682Z","Exact portable report identity sidecar and report hash verified."
"5","sip_end8","discovery_2019_2020","sip_end8_discovery_2019_2020_m1","REPORT_FOUND","138D03E030C1796DD2D15521124F9869E0D574A3EFE85C4C5AB665552CF05901","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","2C4A70EF07B186E809953C79E349F2076C2863276FA2ED3E5D6FB01A6E61A8A8","54534","2026-07-19T15:05:29.6821266Z","Exact portable report identity sidecar and report hash verified."
"6","sip_end8","continuous_2015_2020","sip_end8_continuous_2015_2020_m1","REPORT_FOUND","2C2ACD6213001047F41D07A3E1BE7F1BDD4832EFE841307831B620BBDBA878F8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","536172FC9F0EBE9260498DBE65A438C1BF2BDECB03FFCC1E48EBD11EDAFCD5CC","78230","2026-07-19T15:05:48.0695935Z","Exact portable report identity sidecar and report hash verified."
"7","sip_end10","older_2015_2018","sip_end10_older_2015_2018_m1","REPORT_FOUND","E0B0D7DA378090A100F9C6AC2F7CF45A33847EBDCFA0C6FF6833D478B6919678","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","D649BD99102D2DBD4A3BD25E006A37E4E679AA84C4C911AE40DDB3AA99763420","42634","2026-07-19T15:06:04.1502225Z","Exact portable report identity sidecar and report hash verified."
"8","sip_end10","discovery_2019_2020","sip_end10_discovery_2019_2020_m1","REPORT_FOUND","88C61DC194E28DC4E1B31CA5DB0296534DD7E81689F5DDC561EDC3EF5428E03C","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","FAFE7CC9585E93D1143CBAE14F1D44689C7FFA5F6CF66FFBF058A774574BE0A2","42666","2026-07-19T15:06:20.3427680Z","Exact portable report identity sidecar and report hash verified."
"9","sip_end10","continuous_2015_2020","sip_end10_continuous_2015_2020_m1","REPORT_FOUND","9F96030805A7110C06520B5709A1AB762F620A630A55645DFF8C37B3C85B0B00","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","E4E9E1F9A971A146EE7793CB4111CB8F5F57087D3AE3F93141E0190458F093FF","42676","2026-07-19T15:06:36.1946983Z","Exact portable report identity sidecar and report hash verified."
"10","sip_impulse40","older_2015_2018","sip_impulse40_older_2015_2018_m1","REPORT_FOUND","FE520E63BF402D41D733A60D27B7693DA273616B52D4295C03595521303D3106","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","07B900203E8E58BACB7299BE5C3C31B6FB2978E06E074C391B7F51AFA6A5EBCE","48618","2026-07-19T15:06:52.3646226Z","Exact portable report identity sidecar and report hash verified."
"11","sip_impulse40","discovery_2019_2020","sip_impulse40_discovery_2019_2020_m1","REPORT_FOUND","192068A4B935BBCCAE0434757DF0C4A1C79126066D85D758B9847D9E77D4791C","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","31381DC5EBCDD257BF77B7C9AB1886AC99832A0809B54F2F146CABFB77AAF67A","42712","2026-07-19T15:07:08.6754711Z","Exact portable report identity sidecar and report hash verified."
"12","sip_impulse40","continuous_2015_2020","sip_impulse40_continuous_2015_2020_m1","REPORT_FOUND","16D74BBEB0BCE39F409266ED7B2D7D470CC57954FC711B2BE9833922D86967FE","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","BF32CECDA4638B75728C83B5ACACDC06A608E4A21235451C9BB31C1D8AD30449","48660","2026-07-19T15:07:26.6991854Z","Exact portable report identity sidecar and report hash verified."
"13","sip_impulse80","older_2015_2018","sip_impulse80_older_2015_2018_m1","REPORT_FOUND","706B796AA1E70363AE1C775098F14B4C5C4C0BCE71E8461BEA7B172AC7F92CF7","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","AA3D0F480E61C62E379CCE2251F822C2FB309471A553EDD576B702A072D80815","48618","2026-07-19T15:07:45.9324304Z","Exact portable report identity sidecar and report hash verified."
"14","sip_impulse80","discovery_2019_2020","sip_impulse80_discovery_2019_2020_m1","REPORT_FOUND","3B12851C07654DB0C6D394D6649EF2A203CCA8A23AAA92D90C562666A001F1D4","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","22516AF72B425D4E094AB5D651E7726C7C3FA44C88BD15DAF9F5C9AA48EB9AB5","42712","2026-07-19T15:08:02.2724464Z","Exact portable report identity sidecar and report hash verified."
