"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","FeatureEnabled","MaximumAccountPositions","SqueezeRiskPercent","SqueezeTakeProfitR","BreakoutLookbackBars","MaximumHoldBars","Status","ReportPath","ProfileSha256","SourceSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","sqt_exact_control","1","exact_leader_control","four_lane_m15_squeeze_target_interaction_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","3","0.10","1.50","8","32","PARSED","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_exact_control_older_2015_2018_m1.htm","FE70AE3E8A634EFB8730D8513ABEFA158D954331AFF1B852FDF92D0EA4F697DB","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","8.8405"
"2","sqt_exact_control","1","exact_leader_control","four_lane_m15_squeeze_target_interaction_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","3","0.10","1.50","8","32","PARSED","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_exact_control_discovery_2019_2020_m1.htm","FE70AE3E8A634EFB8730D8513ABEFA158D954331AFF1B852FDF92D0EA4F697DB","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","3.9155"
"3","sqt_exact_control","1","exact_leader_control","four_lane_m15_squeeze_target_interaction_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","3","0.10","1.50","8","32","PARSED","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_exact_control_continuous_2015_2020_m1.htm","FE70AE3E8A634EFB8730D8513ABEFA158D954331AFF1B852FDF92D0EA4F697DB","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","2191","5.9986","1379.93","11379.93","13.8","2.3","2.18","1.88","5.29","5.15","45.98","261","6","118.17","1.05","11.6775"
"4","sqt_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_target_interaction_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","4","0.10","1.50","8","32","PARSED","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_capacity_control_older_2015_2018_m1.htm","A332BBBB33981864326C34B77C95E6AF39B419F05BA9C4B1A6F9441E55F2DC2F","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","8.8405"
"5","sqt_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_target_interaction_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","4","0.10","1.50","8","32","PARSED","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_capacity_control_discovery_2019_2020_m1.htm","A332BBBB33981864326C34B77C95E6AF39B419F05BA9C4B1A6F9441E55F2DC2F","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","3.9155"
"6","sqt_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_target_interaction_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","4","0.10","1.50","8","32","PARSED","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_capacity_control_continuous_2015_2020_m1.htm","A332BBBB33981864326C34B77C95E6AF39B419F05BA9C4B1A6F9441E55F2DC2F","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","2191","5.9986","1379.93","11379.93","13.8","2.3","2.18","1.88","5.29","5.15","45.98","261","6","118.17","1.05","11.6775"
"7","sqt_reference150","3","enabled_reference","four_lane_m15_squeeze_target_interaction_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","0.10","1.50","8","32","PARSED","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_reference150_older_2015_2018_m1.htm","44465C16894FE98F937DF2EE84B8C098C958734EAD62AB44659A038BBF3DDF94","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","1460","3.9973","1141.49","11141.49","11.41","2.86","2.74","1.84","4.76","5.58","46.67","240","6","117.21","1.1","9.7388"
"8","sqt_reference150","3","enabled_reference","four_lane_m15_squeeze_target_interaction_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","0.10","1.50","8","32","PARSED","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_reference150_discovery_2019_2020_m1.htm","44465C16894FE98F937DF2EE84B8C098C958734EAD62AB44659A038BBF3DDF94","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","730","1.9986","459.89","10459.89","4.6","2.3","2.28","1.86","4.3","6.27","49.53","107","5","87.01","0.86","5.2855"
"9","sqt_reference150","3","enabled_reference","four_lane_m15_squeeze_target_interaction_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","0.10","1.50","8","32","PARSED","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_reference150_continuous_2015_2020_m1.htm","44465C16894FE98F937DF2EE84B8C098C958734EAD62AB44659A038BBF3DDF94","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","2191","5.9986","1575.7","11575.7","15.76","2.63","2.47","1.78","4.5","5.39","47.43","350","6","117.21","1.1","13.4434"
"10","sqt_low175","4","lower_neighbor","four_lane_m15_squeeze_target_interaction_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","0.10","1.75","8","32","PARSED","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_low175_older_2015_2018_m1.htm","0183C3BA8CCD119584BE71366CF93FBD77E8812479A5A794438FD81F10B7E2B9","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","1460","3.9973","1188.87","11188.87","11.89","2.97","2.85","1.88","4.95","5.76","46.67","240","6","117.21","1.1","10.1431"
