"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","FeatureEnabled","MaximumAccountPositions","SqueezeRiskPercent","BreakoutLookbackBars","TakeProfitR","MaximumHoldBars","Status","ReportPath","ProfileSha256","SourceSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","sq_exact_control","1","exact_leader_control","four_lane_m15_squeeze_diversifier_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","3","0.10","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_exact_control_older_2015_2018_m1.htm","325DA8C79987EC5099F0BB60384E2AD5F12BA90460CF62AC23B12ABB93862477","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","8.8405"
"2","sq_exact_control","1","exact_leader_control","four_lane_m15_squeeze_diversifier_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","3","0.10","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_exact_control_discovery_2019_2020_m1.htm","325DA8C79987EC5099F0BB60384E2AD5F12BA90460CF62AC23B12ABB93862477","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","3.9155"
"3","sq_exact_control","1","exact_leader_control","four_lane_m15_squeeze_diversifier_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","3","0.10","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_exact_control_continuous_2015_2020_m1.htm","325DA8C79987EC5099F0BB60384E2AD5F12BA90460CF62AC23B12ABB93862477","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","2191","5.9986","1379.93","11379.93","13.8","2.3","2.18","1.88","5.29","5.15","45.98","261","6","118.17","1.05","11.6775"
"4","sq_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_diversifier_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","4","0.10","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_capacity_control_older_2015_2018_m1.htm","363A4A39EA2700034B11622F4DD9905ACF04B1F2B7C5747BDF09A8A06828FD6D","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","8.8405"
"5","sq_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_diversifier_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","4","0.10","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_capacity_control_discovery_2019_2020_m1.htm","363A4A39EA2700034B11622F4DD9905ACF04B1F2B7C5747BDF09A8A06828FD6D","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","3.9155"
"6","sq_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_diversifier_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","4","0.10","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_capacity_control_continuous_2015_2020_m1.htm","363A4A39EA2700034B11622F4DD9905ACF04B1F2B7C5747BDF09A8A06828FD6D","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","2191","5.9986","1379.93","11379.93","13.8","2.3","2.18","1.88","5.29","5.15","45.98","261","6","118.17","1.05","11.6775"
"7","sq_low0075","3","lower_neighbor","four_lane_m15_squeeze_diversifier_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","0.075","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_low0075_older_2015_2018_m1.htm","7F1372611BE000310A9BAC162E7FDBEC246E34119D374514F5586764877C1F3C","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","1460","3.9973","1101.86","11101.86","11.02","2.76","2.65","1.86","4.59","5.53","46.67","240","6","117.21","1.1","9.4007"
"8","sq_low0075","3","lower_neighbor","four_lane_m15_squeeze_diversifier_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","0.075","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_low0075_discovery_2019_2020_m1.htm","7F1372611BE000310A9BAC162E7FDBEC246E34119D374514F5586764877C1F3C","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","730","1.9986","436.32","10436.32","4.36","2.18","2.16","1.88","4.08","6.19","49.53","107","5","86.41","0.85","5.0494"
"9","sq_low0075","3","lower_neighbor","four_lane_m15_squeeze_diversifier_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","0.075","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_low0075_continuous_2015_2020_m1.htm","7F1372611BE000310A9BAC162E7FDBEC246E34119D374514F5586764877C1F3C","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","2191","5.9986","1503.41","11503.41","15.03","2.51","2.36","1.79","4.3","5.3","47.43","350","6","117.21","1.1","12.8266"
"10","sq_center0100","4","fixed_center","four_lane_m15_squeeze_diversifier_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","0.10","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_center0100_older_2015_2018_m1.htm","7933FDD5262CF70CEF365704EC17FF1EF0E24F2199D3A7298328E414E84D5A76","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","1460","3.9973","1141.49","11141.49","11.41","2.86","2.74","1.84","4.76","5.58","46.67","240","6","117.21","1.1","9.7388"
"11","sq_center0100","4","fixed_center","four_lane_m15_squeeze_diversifier_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","0.10","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_center0100_discovery_2019_2020_m1.htm","7933FDD5262CF70CEF365704EC17FF1EF0E24F2199D3A7298328E414E84D5A76","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","730","1.9986","459.89","10459.89","4.6","2.3","2.28","1.86","4.3","6.27","49.53","107","5","87.01","0.86","5.2855"
"12","sq_center0100","4","fixed_center","four_lane_m15_squeeze_diversifier_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","0.10","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_center0100_continuous_2015_2020_m1.htm","7933FDD5262CF70CEF365704EC17FF1EF0E24F2199D3A7298328E414E84D5A76","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","2191","5.9986","1575.7","11575.7","15.76","2.63","2.47","1.78","4.5","5.39","47.43","350","6","117.21","1.1","13.4434"
"13","sq_high0125","5","upper_neighbor","four_lane_m15_squeeze_diversifier_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","0.125","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_high0125_older_2015_2018_m1.htm","0AD23EDF6B497A6760D5A260BA259E72E397DE1EFF1A88DB62B940F8E2E98C7E","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","1460","3.9973","1163.54","11163.54","11.64","2.91","2.79","1.81","4.85","5.53","46.67","240","6","117.21","1.1","9.927"
"14","sq_high0125","5","upper_neighbor","four_lane_m15_squeeze_diversifier_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","0.125","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_high0125_discovery_2019_2020_m1.htm","0AD23EDF6B497A6760D5A260BA259E72E397DE1EFF1A88DB62B940F8E2E98C7E","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","730","1.9986","487.7","10487.7","4.88","2.44","2.41","1.85","4.56","6.3","49.53","107","5","87.38","0.86","5.5814"
"15","sq_high0125","5","upper_neighbor","four_lane_m15_squeeze_diversifier_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","0.125","8","1.50","32","PARSED","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_high0125_continuous_2015_2020_m1.htm","0AD23EDF6B497A6760D5A260BA259E72E397DE1EFF1A88DB62B940F8E2E98C7E","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","10000","2191","5.9986","1626.16","11626.16","16.26","2.71","2.54","1.76","4.65","5.37","47.43","350","6","117.21","1.1","13.8739"
