"Wave","QueueRank","Model","Role","Window","ConfigSha256","Status","Action","AvailableWorkers","MaxCpuPercent","TimeoutMinutesPerConfig","ExecutionStage","ExecutionMode","SharedBinaryStatus","SharedBinaryAction"
"1","1","1","critical","2019","B2A3DCD82E078D5D1B17170A48C2D6CA2BFE041D5E651919D863A9CDF92F4381","LOCKED","WAIT_FOR_DELIBERATE_LOCK_REVIEW","2","80","15","1","SINGLE_STAGE","LOCKED_COMPILE_ONCE_REQUIRED","COMPILE_ON_LEADER_AND_DISTRIBUTE"
"1","2","1","critical","2022","BD8538B00257E8E8A3287ECEF4A8914FB5718A9896632B94C359B886D024D2AE","LOCKED","WAIT_FOR_DELIBERATE_LOCK_REVIEW","2","80","15","1","SINGLE_STAGE","LOCKED_COMPILE_ONCE_REQUIRED","COMPILE_ON_LEADER_AND_DISTRIBUTE"
