"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","Role","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","Thesis","Overrides","StopRule"
"1","re_base","1","range_elite_risk_shape_probe","1","phase4_range_elite_risk_shape_model4","re_base.set","2019_full","red_year","2019.01.01","2019.12.31","4","configs\001_re_base_2019_full_m4.ini","re_risk_re_base_2019_m4","profiles\re_base.set","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Current range-elite baseline on the focused windows.","","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"2","re_base","2","range_elite_risk_shape_probe","2","phase4_range_elite_risk_shape_model4","re_base.set","2021_full","red_year","2021.01.01","2021.12.31","4","configs\002_re_base_2021_full_m4.ini","re_risk_re_base_2021_m4","profiles\re_base.set","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Current range-elite baseline on the focused windows.","","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"3","re_base","3","range_elite_risk_shape_probe","3","phase4_range_elite_risk_shape_model4","re_base.set","2023_full","red_year","2023.01.01","2023.12.31","4","configs\003_re_base_2023_full_m4.ini","re_risk_re_base_2023_m4","profiles\re_base.set","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Current range-elite baseline on the focused windows.","","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"4","re_base","4","range_elite_risk_shape_probe","4","phase4_range_elite_risk_shape_model4","re_base.set","2024_full","profit_control","2024.01.01","2024.12.31","4","configs\004_re_base_2024_full_m4.ini","re_risk_re_base_2024_m4","profiles\re_base.set","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Current range-elite baseline on the focused windows.","","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"5","re_base","5","range_elite_risk_shape_probe","5","phase4_range_elite_risk_shape_model4","re_base.set","2025_full","profit_control","2025.01.01","2025.12.31","4","configs\005_re_base_2025_full_m4.ini","re_risk_re_base_2025_m4","profiles\re_base.set","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Current range-elite baseline on the focused windows.","","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"6","re_base","6","range_elite_risk_shape_probe","6","phase4_range_elite_risk_shape_model4","re_base.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","4","configs\006_re_base_2026_ytd_m4.ini","re_risk_re_base_2026ytd_m4","profiles\re_base.set","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Current range-elite baseline on the focused windows.","","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"7","re_may140","7","range_elite_risk_shape_probe","7","phase4_range_elite_risk_shape_model4","re_may140.set","2019_full","red_year","2019.01.01","2019.12.31","4","configs\007_re_may140_2019_full_m4.ini","re_risk_re_may140_2019_m4","profiles\re_may140.set","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"8","re_may140","8","range_elite_risk_shape_probe","8","phase4_range_elite_risk_shape_model4","re_may140.set","2021_full","red_year","2021.01.01","2021.12.31","4","configs\008_re_may140_2021_full_m4.ini","re_risk_re_may140_2021_m4","profiles\re_may140.set","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"9","re_may140","9","range_elite_risk_shape_probe","9","phase4_range_elite_risk_shape_model4","re_may140.set","2023_full","red_year","2023.01.01","2023.12.31","4","configs\009_re_may140_2023_full_m4.ini","re_risk_re_may140_2023_m4","profiles\re_may140.set","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"10","re_may140","10","range_elite_risk_shape_probe","10","phase4_range_elite_risk_shape_model4","re_may140.set","2024_full","profit_control","2024.01.01","2024.12.31","4","configs\010_re_may140_2024_full_m4.ini","re_risk_re_may140_2024_m4","profiles\re_may140.set","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
