Sampler,StressScenario,Trials,Seed,BlockLength,PreservesLocalOrder,P05TradeCount,MedianTradeCount,P95TradeCount,P05NetProfit,MedianNetProfit,MedianProfitFactor,P95MaxClosedDrawdownPercent,P95MaxConsecutiveLosses,RedTrialPercent,GatePass
moving_block_08,standard,10000,26071840,8,True,390.0,395.0,400.0,988.19,1834.81,1.6351,3.004,12.0,0.01,True
moving_block_08,severe,10000,26071841,8,True,379.0,386.0,393.0,379.29,1209.93,1.3887,4.2554,16.0,0.65,True
moving_block_16,standard,10000,26071842,16,True,390.0,395.0,400.0,999.76,1830.35,1.6312,2.5959,11.0,0.0,True
moving_block_16,severe,10000,26071843,16,True,379.0,386.0,392.0,403.5,1186.78,1.3811,3.8353,15.0,0.56,True
moving_block_24,standard,10000,26071844,24,True,390.0,395.0,400.0,1002.61,1824.59,1.6307,2.2351,11.0,0.0,True
moving_block_24,severe,10000,26071845,24,True,379.0,386.0,393.0,418.9,1198.11,1.3865,3.4528,14.0,0.3,True
calendar_year,standard,10000,26071846,0,True,299.0,398.0,491.0,1169.04,1838.7,1.6342,1.929,10.0,0.0,True
calendar_year,severe,10000,26071847,0,True,291.0,386.0,477.0,576.3,1208.98,1.3895,2.9295,15.0,0.07,True
