Implementation,SourceSha256,Model,From,To,InitialDeposit,NetProfit,ProfitFactor,TotalTrades,MaxEquityDrawdownPercent,ControlDecision
old_declared_highprofit_source,F254FDF07B932FD8009E1ABFD761D1C9195568596A559F0DCB73A8CD29157D8F,1,2019.01.01,2026.07.12,10000,-1647.34,0.77,51,34.17,REJECTED_SOURCE_IDENTITY
actual_headline_highprofit_source,8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A,1,2019.01.01,2026.07.12,10000,30050.33,1.95,116,20.44,AUTHORITATIVE_HEADLINE_IMPLEMENTATION_CONTROL
proposed_guarded_common_source,F82B6BCC030903D0E425D053747122C9F178C8D19F555FC2A242E0CC8FEE0BA0,1,2019.01.01,2026.07.12,10000,211.03,1.12,124,5.89,REJECTED_BEHAVIOR_MISMATCH
