Scenario,Year,Trades,NetProfit
base,2015,21,187.25
base,2016,36,222.46
base,2017,46,195.18
base,2018,50,320.37
base,2019,33,-25.89
base,2020,31,-38.76
base,2021,30,318.3
base,2022,36,-16.2
base,2023,40,148.32
base,2024,31,269.34
base,2025,6,22.87
base,2026,2,209.18
light,2015,21,178.61
light,2016,36,208.62
light,2017,46,177.61
light,2018,50,300.37
light,2019,33,-38.53
light,2020,31,-53.37
light,2021,30,305.16
light,2022,36,-29.89
light,2023,40,131.66
light,2024,31,256.03
light,2025,6,19.04
light,2026,2,207.59
moderate,2015,21,165.65
moderate,2016,36,187.87
moderate,2017,46,151.25
moderate,2018,50,270.36
moderate,2019,33,-57.49
moderate,2020,31,-75.28
moderate,2021,30,285.45
moderate,2022,36,-50.42
moderate,2023,40,106.67
moderate,2024,31,236.06
moderate,2025,6,13.31
moderate,2026,2,205.22
severe,2015,21,144.05
severe,2016,36,153.28
severe,2017,46,107.32
severe,2018,50,220.35
severe,2019,33,-89.09
severe,2020,31,-111.8
severe,2021,30,252.6
severe,2022,36,-84.64
severe,2023,40,65.02
severe,2024,31,202.79
severe,2025,6,3.74
severe,2026,2,201.25
