"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"13","lowatr_exit_peak_guard_cap6","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\013_lowatr_exit_peak_guard_cap6_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\013_lowatr_exit_peak_guard_cap6_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_guard_cap6_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_guard_cap6_continuous_m1","802E9D4AAECEFB059450F2A7E76E3391F6B9D845963132FAE0998EDDADAFBED8","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"14","lowatr_exit_peak_guard_cap8","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\014_lowatr_exit_peak_guard_cap8_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\014_lowatr_exit_peak_guard_cap8_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_guard_cap8_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_guard_cap8_continuous_m1","5FD2A97441F833B3905285262BB3293A21AC9CF0B49E36E2E45D00ED70FEC583","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"15","lowatr_exit_peak_r25","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\015_lowatr_exit_peak_r25_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\015_lowatr_exit_peak_r25_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_r25_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_r25_continuous_m1","421ADEE3808D35C0CE13418C84D6AD66537E89D230E298DC0AE2B13924E95F06","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"16","lowatr_exit_peak_r20","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\016_lowatr_exit_peak_r20_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\016_lowatr_exit_peak_r20_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_r20_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_r20_continuous_m1","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"17","lowatr_exit_peak_r22","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\017_lowatr_exit_peak_r22_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\017_lowatr_exit_peak_r22_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_r22_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_r22_continuous_m1","B29A9A991FE40062EC87242C9ACCBBEFFA5C2C324A1C1A5856D03370C6B1EBBB","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"18","lowatr_exit_peak_r24","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\018_lowatr_exit_peak_r24_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\018_lowatr_exit_peak_r24_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_r24_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_r24_continuous_m1","807E1ED6C5919C64F07E8DC62728D91ECBCFCB15690C05BF88D6D62DB2EE3722","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"19","lowatr_exit_peak_r30","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\019_lowatr_exit_peak_r30_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\019_lowatr_exit_peak_r30_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_r30_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_r30_continuous_m1","3208BDD4D2B9D683D269BC031C1BF2C5BBFC8512BB9D9C96ADC35C8700270449","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"20","lowatr_exit_peak_r35","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\020_lowatr_exit_peak_r35_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\020_lowatr_exit_peak_r35_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_r35_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_r35_continuous_m1","81B557DC8599B93A76117E1BD485C9A34EC61403288EF36DE7F495115ABFE63E","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"21","lowatr_exit_peak_r40","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\021_lowatr_exit_peak_r40_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\021_lowatr_exit_peak_r40_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_r40_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_r40_continuous_m1","3B46B9B6A3CA14D68E6322CD03957D8477676E6EA5FAF98C37D90CB79D48372C","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"22","lowatr_exit_peak_r50","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\022_lowatr_exit_peak_r50_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\022_lowatr_exit_peak_r50_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_peak_r50_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_peak_r50_continuous_m1","7466292CB7C4422FDCEF6D3ED139EFD44C7B5682C6868D45986571995B051B47","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
