Window,Lane,Trades,NetProfit,Outcome
2019,MTSM,4,-0.48,LOSING
2019,DDB,1,4.91,PROFITABLE
2019,RRO,0,0.00,INACTIVE
2019,PRIMARY,0,0.00,INACTIVE
2022,MTSM,5,-2.52,LOSING
2022,RRO,2,-0.90,LOSING
2022,DDB,0,0.00,INACTIVE
2022,PRIMARY,0,0.00,INACTIVE
