"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","AdaptiveEnabled","VolatilityTimeframe","VolatilityATRPeriod","BaselineBars","MinimumScale","MaximumScale","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"11","avp_bounds85_115","4","adaptive_volatility_portfolio","discovery_model1","avp_bounds85_115.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_avp_bounds85_115_discovery_2019_2020_m1.ini","avp_bounds85_115_discovery_2019_2020_m1","profiles\avp_bounds85_115.set","C04DE71AA3E18ABF2E2CDFFF6B38F60BACB74112D117EE26DBAB827469CC7D75","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.85","1.15","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_bounds85_115_discovery_2019_2020_m1.htm","77E73F35DCC9AE6A29E53AF31B9685D7219B328A0170BF12CC898B15A449AECD","True","FIRST_VALID_EXPORT","10000","730","1.9986","-151.25","9848.75","-1.51","-0.76","-0.76","0.78","-2.1","-2.5","37.5","72","7","309.66","3.06","280.52","309.66","-0.4884"
"12","avp_bounds85_115","4","adaptive_volatility_portfolio","discovery_model1","avp_bounds85_115.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_avp_bounds85_115_continuous_2015_2020_m1.ini","avp_bounds85_115_continuous_2015_2020_m1","profiles\avp_bounds85_115.set","C04DE71AA3E18ABF2E2CDFFF6B38F60BACB74112D117EE26DBAB827469CC7D75","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.85","1.15","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_bounds85_115_continuous_2015_2020_m1.htm","47B35062F9ACA4C5403AC583D852B50489921A5C66CA17F26609D7229DF4A9AF","True","FIRST_VALID_EXPORT","10000","2191","5.9986","636.26","10636.26","6.36","1.06","1.03","1.36","2.83","3.47","43.11","225","7","379.67","3.46","333.74","379.67","1.6758"
"13","avp_baseline63","5","adaptive_volatility_portfolio","discovery_model1","avp_baseline63.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_avp_baseline63_older_2015_2018_m1.ini","avp_baseline63_older_2015_2018_m1","profiles\avp_baseline63.set","DFA0084849B644251ABA10B724EE0673796FBCC87897EBB59DBF9269CA5677C1","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","63","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_baseline63_older_2015_2018_m1.htm","0FE8940156B81110BEF6A261CEF42BD685D4A7DE15FF32C3F226F5C06B3CFD29","True","FIRST_VALID_EXPORT","10000","1460","3.9973","821.49","10821.49","8.21","2.06","1.99","1.83","5.4","7.09","46.05","152","5","99.55","0.95","83.52","99.55","8.252"
"14","avp_baseline63","5","adaptive_volatility_portfolio","discovery_model1","avp_baseline63.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_avp_baseline63_discovery_2019_2020_m1.ini","avp_baseline63_discovery_2019_2020_m1","profiles\avp_baseline63.set","DFA0084849B644251ABA10B724EE0673796FBCC87897EBB59DBF9269CA5677C1","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","63","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_baseline63_discovery_2019_2020_m1.htm","92F0A93D87E48B54C4FAB839E6A767A1346A236AC14268E38AD96FF9AB17BBC1","True","FIRST_VALID_EXPORT","10000","730","1.9986","-212.41","9787.59","-2.12","-1.06","-1.07","0.72","-2.95","-3.24","37.5","72","7","377.99","3.73","358.04","377.99","-0.5619"
"15","avp_baseline63","5","adaptive_volatility_portfolio","discovery_model1","avp_baseline63.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_avp_baseline63_continuous_2015_2020_m1.ini","avp_baseline63_continuous_2015_2020_m1","profiles\avp_baseline63.set","DFA0084849B644251ABA10B724EE0673796FBCC87897EBB59DBF9269CA5677C1","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","63","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_baseline63_continuous_2015_2020_m1.htm","3A609D47BB8C62624C7F9D014B76962C32134BF6C7387EFDA32C674DCE19FD07","True","FIRST_VALID_EXPORT","10000","2191","5.9986","669.68","10669.68","6.7","1.12","1.09","1.38","2.98","3.66","43.11","225","7","362.52","3.29","321.38","362.52","1.8473"
"16","avp_baseline252","6","adaptive_volatility_portfolio","discovery_model1","avp_baseline252.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_avp_baseline252_older_2015_2018_m1.ini","avp_baseline252_older_2015_2018_m1","profiles\avp_baseline252.set","1A0212E5DE920378828816F494B0B8F723031426285C7A8A199B518A1BF056D7","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","252","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_baseline252_older_2015_2018_m1.htm","8A9CC099521155BBA4214A40812048E25E711F742231D3E822400605553BE1D2","True","FIRST_VALID_EXPORT","10000","1460","3.9973","808.29","10808.29","8.08","2.02","1.96","1.82","5.32","6.93","46.05","152","5","109.07","1.04","80.65","109.07","7.4107"
"17","avp_baseline252","6","adaptive_volatility_portfolio","discovery_model1","avp_baseline252.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_avp_baseline252_discovery_2019_2020_m1.ini","avp_baseline252_discovery_2019_2020_m1","profiles\avp_baseline252.set","1A0212E5DE920378828816F494B0B8F723031426285C7A8A199B518A1BF056D7","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","252","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_baseline252_discovery_2019_2020_m1.htm","721889918169FFEACB4E30879F60355769BC186D08493E037715EBC666CE7AF6","True","FIRST_VALID_EXPORT","10000","730","1.9986","-210.14","9789.86","-2.1","-1.05","-1.06","0.73","-2.92","-3.14","37.5","72","7","379.67","3.74","340.47","379.67","-0.5535"
"18","avp_baseline252","6","adaptive_volatility_portfolio","discovery_model1","avp_baseline252.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_avp_baseline252_continuous_2015_2020_m1.ini","avp_baseline252_continuous_2015_2020_m1","profiles\avp_baseline252.set","1A0212E5DE920378828816F494B0B8F723031426285C7A8A199B518A1BF056D7","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","252","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_baseline252_continuous_2015_2020_m1.htm","1A37059B0CCC2E745E2259C78D977C8CFCE5EA4F2643132E3BF8FB5611A5DBFF","True","FIRST_VALID_EXPORT","10000","2191","5.9986","609.95","10609.95","6.1","1.02","0.99","1.34","2.71","3.28","43.11","225","7","376.01","3.43","344.48","376.01","1.6222"
"19","avp_downside_only","7","adaptive_volatility_portfolio","discovery_model1","avp_downside_only.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_avp_downside_only_older_2015_2018_m1.ini","avp_downside_only_older_2015_2018_m1","profiles\avp_downside_only.set","3B59E16040026B83721802D32E4AC0D44F449D4CD0604EE442443F81634CAE8B","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.75","1.00","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_downside_only_older_2015_2018_m1.htm","DC53D4887ABBC200EB9607294165FE88D7CB49AEF730AD1AB2383266EB1283C4","True","FIRST_VALID_EXPORT","10000","1460","3.9973","747.55","10747.55","7.48","1.87","1.82","1.82","4.92","6.97","46.05","152","5","105.51","1.01","73.48","105.51","7.0851"
"20","avp_downside_only","7","adaptive_volatility_portfolio","discovery_model1","avp_downside_only.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_avp_downside_only_discovery_2019_2020_m1.ini","avp_downside_only_discovery_2019_2020_m1","profiles\avp_downside_only.set","3B59E16040026B83721802D32E4AC0D44F449D4CD0604EE442443F81634CAE8B","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.75","1.00","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_downside_only_discovery_2019_2020_m1.htm","0DB993B8586BF1F438AAA39CD095CD5E15D8E676857C65A29D0F5327F6D83089","True","FIRST_VALID_EXPORT","10000","730","1.9986","-138.44","9861.56","-1.38","-0.69","-0.7","0.78","-1.92","-2.52","37.5","72","7","298.85","2.95","260.85","298.85","-0.4632"
