"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","FeatureEnabled","MaximumAccountPositions","SqueezeRiskPercent","BreakoutLookbackBars","TakeProfitR","MaximumHoldBars","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","sq_exact_control","1","exact_leader_control","four_lane_m15_squeeze_diversifier_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","3","0.10","8","1.50","32","0.75","sq_exact_control_older_2015_2018_m1","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\001_sq_exact_control_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\001_sq_exact_control_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_exact_control_older_2015_2018_m1","FC4CA094F221392565DF6CB9EDD9BFD13AAAB39F764DEE641CFFA3509AD3290F","325DA8C79987EC5099F0BB60384E2AD5F12BA90460CF62AC23B12ABB93862477","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Disabled four-position capacity control must exactly reproduce the disabled three-position leader control. Fixed 0.10% squeeze lane must stay profitable in both disjoint eras, improve continuous net by at least 8% and CAGR by 0.12 point, add at least 40 trades, retain PF/recovery/return-to-drawdown >=98% of control, and keep DD <=1.30% and <=control+0.10 point. At least one 0.075% or 0.125% neighbor must stay profitable in both eras, improve continuous net >=4% and CAGR >=0.06 point, add at least 30 trades, retain PF/recovery/return-DD >=98%, and meet the same DD limits. No alternate-center selection or threshold rescue after observation."
"2","sq_exact_control","1","exact_leader_control","four_lane_m15_squeeze_diversifier_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","3","0.10","8","1.50","32","0.75","sq_exact_control_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\002_sq_exact_control_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\002_sq_exact_control_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_exact_control_discovery_2019_2020_m1","62F8BF9E30BC45849E9224FCAC9A37EFEEA19A41067992C8892DD249607646DA","325DA8C79987EC5099F0BB60384E2AD5F12BA90460CF62AC23B12ABB93862477","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Disabled four-position capacity control must exactly reproduce the disabled three-position leader control. Fixed 0.10% squeeze lane must stay profitable in both disjoint eras, improve continuous net by at least 8% and CAGR by 0.12 point, add at least 40 trades, retain PF/recovery/return-to-drawdown >=98% of control, and keep DD <=1.30% and <=control+0.10 point. At least one 0.075% or 0.125% neighbor must stay profitable in both eras, improve continuous net >=4% and CAGR >=0.06 point, add at least 30 trades, retain PF/recovery/return-DD >=98%, and meet the same DD limits. No alternate-center selection or threshold rescue after observation."
"3","sq_exact_control","1","exact_leader_control","four_lane_m15_squeeze_diversifier_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","3","0.10","8","1.50","32","0.75","sq_exact_control_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\003_sq_exact_control_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\003_sq_exact_control_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_exact_control_continuous_2015_2020_m1","CA1CB4B3DE43F07A417EE1E93CC5B1ABBF82AA6FBEBBFAB06EBC713243831426","325DA8C79987EC5099F0BB60384E2AD5F12BA90460CF62AC23B12ABB93862477","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Disabled four-position capacity control must exactly reproduce the disabled three-position leader control. Fixed 0.10% squeeze lane must stay profitable in both disjoint eras, improve continuous net by at least 8% and CAGR by 0.12 point, add at least 40 trades, retain PF/recovery/return-to-drawdown >=98% of control, and keep DD <=1.30% and <=control+0.10 point. At least one 0.075% or 0.125% neighbor must stay profitable in both eras, improve continuous net >=4% and CAGR >=0.06 point, add at least 30 trades, retain PF/recovery/return-DD >=98%, and meet the same DD limits. No alternate-center selection or threshold rescue after observation."
"4","sq_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_diversifier_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","4","0.10","8","1.50","32","0.75","sq_capacity_control_older_2015_2018_m1","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\004_sq_capacity_control_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\004_sq_capacity_control_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_capacity_control_older_2015_2018_m1","53EAA29DBD3DE0C496B842341545EED5CDF31BF6ACA710F911799CEAB4808B05","363A4A39EA2700034B11622F4DD9905ACF04B1F2B7C5747BDF09A8A06828FD6D","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Disabled four-position capacity control must exactly reproduce the disabled three-position leader control. Fixed 0.10% squeeze lane must stay profitable in both disjoint eras, improve continuous net by at least 8% and CAGR by 0.12 point, add at least 40 trades, retain PF/recovery/return-to-drawdown >=98% of control, and keep DD <=1.30% and <=control+0.10 point. At least one 0.075% or 0.125% neighbor must stay profitable in both eras, improve continuous net >=4% and CAGR >=0.06 point, add at least 30 trades, retain PF/recovery/return-DD >=98%, and meet the same DD limits. No alternate-center selection or threshold rescue after observation."
"5","sq_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_diversifier_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","4","0.10","8","1.50","32","0.75","sq_capacity_control_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\005_sq_capacity_control_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\005_sq_capacity_control_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_capacity_control_discovery_2019_2020_m1","86BF9F5A8C69D1FA0557458CCF704ABA569E0AC2E9CEE0EA6D922B6A19795F83","363A4A39EA2700034B11622F4DD9905ACF04B1F2B7C5747BDF09A8A06828FD6D","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Disabled four-position capacity control must exactly reproduce the disabled three-position leader control. Fixed 0.10% squeeze lane must stay profitable in both disjoint eras, improve continuous net by at least 8% and CAGR by 0.12 point, add at least 40 trades, retain PF/recovery/return-to-drawdown >=98% of control, and keep DD <=1.30% and <=control+0.10 point. At least one 0.075% or 0.125% neighbor must stay profitable in both eras, improve continuous net >=4% and CAGR >=0.06 point, add at least 30 trades, retain PF/recovery/return-DD >=98%, and meet the same DD limits. No alternate-center selection or threshold rescue after observation."
"6","sq_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_diversifier_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","4","0.10","8","1.50","32","0.75","sq_capacity_control_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\006_sq_capacity_control_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\006_sq_capacity_control_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_capacity_control_continuous_2015_2020_m1","DD223D76EFB891CFB8D2B88C5095BC4CFCBBDC8AAF085F02B891A9E85B58D2E8","363A4A39EA2700034B11622F4DD9905ACF04B1F2B7C5747BDF09A8A06828FD6D","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Disabled four-position capacity control must exactly reproduce the disabled three-position leader control. Fixed 0.10% squeeze lane must stay profitable in both disjoint eras, improve continuous net by at least 8% and CAGR by 0.12 point, add at least 40 trades, retain PF/recovery/return-to-drawdown >=98% of control, and keep DD <=1.30% and <=control+0.10 point. At least one 0.075% or 0.125% neighbor must stay profitable in both eras, improve continuous net >=4% and CAGR >=0.06 point, add at least 30 trades, retain PF/recovery/return-DD >=98%, and meet the same DD limits. No alternate-center selection or threshold rescue after observation."
"7","sq_low0075","3","lower_neighbor","four_lane_m15_squeeze_diversifier_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","0.075","8","1.50","32","0.75","sq_low0075_older_2015_2018_m1","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\007_sq_low0075_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\007_sq_low0075_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_low0075_older_2015_2018_m1","02FFD231BB5DC897BFC9DB9A95CC6309A1430EF927C4301621B91A22CF071477","7F1372611BE000310A9BAC162E7FDBEC246E34119D374514F5586764877C1F3C","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Disabled four-position capacity control must exactly reproduce the disabled three-position leader control. Fixed 0.10% squeeze lane must stay profitable in both disjoint eras, improve continuous net by at least 8% and CAGR by 0.12 point, add at least 40 trades, retain PF/recovery/return-to-drawdown >=98% of control, and keep DD <=1.30% and <=control+0.10 point. At least one 0.075% or 0.125% neighbor must stay profitable in both eras, improve continuous net >=4% and CAGR >=0.06 point, add at least 30 trades, retain PF/recovery/return-DD >=98%, and meet the same DD limits. No alternate-center selection or threshold rescue after observation."
"8","sq_low0075","3","lower_neighbor","four_lane_m15_squeeze_diversifier_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","0.075","8","1.50","32","0.75","sq_low0075_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\008_sq_low0075_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\008_sq_low0075_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_low0075_discovery_2019_2020_m1","380504BBA9444E403553D0079F0539FAAF0C553D08FDED43819E63E9B3F43FD8","7F1372611BE000310A9BAC162E7FDBEC246E34119D374514F5586764877C1F3C","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Disabled four-position capacity control must exactly reproduce the disabled three-position leader control. Fixed 0.10% squeeze lane must stay profitable in both disjoint eras, improve continuous net by at least 8% and CAGR by 0.12 point, add at least 40 trades, retain PF/recovery/return-to-drawdown >=98% of control, and keep DD <=1.30% and <=control+0.10 point. At least one 0.075% or 0.125% neighbor must stay profitable in both eras, improve continuous net >=4% and CAGR >=0.06 point, add at least 30 trades, retain PF/recovery/return-DD >=98%, and meet the same DD limits. No alternate-center selection or threshold rescue after observation."
"9","sq_low0075","3","lower_neighbor","four_lane_m15_squeeze_diversifier_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","0.075","8","1.50","32","0.75","sq_low0075_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\009_sq_low0075_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\009_sq_low0075_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_low0075_continuous_2015_2020_m1","C8045D59C9765453FACD4CE27729A25B9398EA000104ABAE5F2965A04CDDB412","7F1372611BE000310A9BAC162E7FDBEC246E34119D374514F5586764877C1F3C","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Disabled four-position capacity control must exactly reproduce the disabled three-position leader control. Fixed 0.10% squeeze lane must stay profitable in both disjoint eras, improve continuous net by at least 8% and CAGR by 0.12 point, add at least 40 trades, retain PF/recovery/return-to-drawdown >=98% of control, and keep DD <=1.30% and <=control+0.10 point. At least one 0.075% or 0.125% neighbor must stay profitable in both eras, improve continuous net >=4% and CAGR >=0.06 point, add at least 30 trades, retain PF/recovery/return-DD >=98%, and meet the same DD limits. No alternate-center selection or threshold rescue after observation."
"10","sq_center0100","4","fixed_center","four_lane_m15_squeeze_diversifier_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","0.10","8","1.50","32","0.75","sq_center0100_older_2015_2018_m1","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\010_sq_center0100_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\configs\010_sq_center0100_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_diversifier_discovery_model1_package\reports_here\sq_center0100_older_2015_2018_m1","9508B71B019A846ABA35CC8164537BB3D0B51042A3B4FA6824E0F3A183A2A6C9","7933FDD5262CF70CEF365704EC17FF1EF0E24F2199D3A7298328E414E84D5A76","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Disabled four-position capacity control must exactly reproduce the disabled three-position leader control. Fixed 0.10% squeeze lane must stay profitable in both disjoint eras, improve continuous net by at least 8% and CAGR by 0.12 point, add at least 40 trades, retain PF/recovery/return-to-drawdown >=98% of control, and keep DD <=1.30% and <=control+0.10 point. At least one 0.075% or 0.125% neighbor must stay profitable in both eras, improve continuous net >=4% and CAGR >=0.06 point, add at least 30 trades, retain PF/recovery/return-DD >=98%, and meet the same DD limits. No alternate-center selection or threshold rescue after observation."
