"TestWindow","ReportSha256","EntryTime","ExitTime","EntryYear","Symbol","Side","Volume","EntryPrice","ExitPrice","InitialStop","InitialTarget","InitialRiskMoney","RiskR","HoldMinutes","Profit","EntryComment","ExitComment"
"2015","2AE8A15FE3051675A1AA46E30776C629C0935C819CC9CEF52B8F0E9D271C9222","2015-11-04T01:45:00","2015-12-07T01:05:00","2015","XAUUSD","sell","0.01","1119.99","1085.2","1142.08","","22.09","1.50249","47480","33.19","DDB;DDB;Daily Donchian sell;AD",""
"2018","AF6618359802D06DB5C448B25B706F9CE042C9A57476C4506E7139CC4F55C830","2018-11-12T01:30:00","2018-11-20T15:27:25","2018","XAUUSD","sell","0.01","1209.59","1227.91","1227.91","","18.32","-1.021288","12357.42","-18.71","DDB;DDB;Daily Donchian sell;AD","sl 1227.91"
"2019","04AC4DA38AE485866144A0FB421EC58D3A8D04BEB66E46F4F323325031792AD0","2019-12-27T02:45:00","2019-12-30T23:54:53","2019","XAUUSD","buy","0.01","1509.95","1514.96","1492.12","","17.83","0.273696","5589.88","4.88","DDB;DDB;Daily Donchian buy;ADX","end of test"
