"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","dgf_hp_control","dgf_highprofit_risk_shape_model4","DGF high-profit risk-shape continuous Model4","continuous_2019_2026","4","outputs\dgf_highprofit_risk_shape_package\configs\001_dgf_hp_control_continuous_2019_2026_m4.ini","outputs\dgf_highprofit_risk_shape_package\configs\001_dgf_hp_control_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_control_continuous_2019_2026_m4","outputs\dgf_highprofit_risk_shape_package\reports_here\dgf_hp_risk_shape_dgf_hp_control_continuous_2019_2026_m4","C8B25273CC6A42F433F38C1DB78A65A454E6890EBC91379F09885C5DBE5AB207","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze."
"2","dgf_hp_risk050","dgf_highprofit_risk_shape_model4","DGF high-profit risk-shape continuous Model4","continuous_2019_2026","4","outputs\dgf_highprofit_risk_shape_package\configs\002_dgf_hp_risk050_continuous_2019_2026_m4.ini","outputs\dgf_highprofit_risk_shape_package\configs\002_dgf_hp_risk050_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk050_continuous_2019_2026_m4","outputs\dgf_highprofit_risk_shape_package\reports_here\dgf_hp_risk_shape_dgf_hp_risk050_continuous_2019_2026_m4","819D56A5C404F2470348A51911C257DAF314D59AD7C95A92B202F6909DA83D6A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze."
"3","dgf_hp_risk060","dgf_highprofit_risk_shape_model4","DGF high-profit risk-shape continuous Model4","continuous_2019_2026","4","outputs\dgf_highprofit_risk_shape_package\configs\003_dgf_hp_risk060_continuous_2019_2026_m4.ini","outputs\dgf_highprofit_risk_shape_package\configs\003_dgf_hp_risk060_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk060_continuous_2019_2026_m4","outputs\dgf_highprofit_risk_shape_package\reports_here\dgf_hp_risk_shape_dgf_hp_risk060_continuous_2019_2026_m4","554611B7A8F8FC35530942D3014F78BFA2F8497A0A7425CA216346F00534C21E","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze."
"4","dgf_hp_risk070","dgf_highprofit_risk_shape_model4","DGF high-profit risk-shape continuous Model4","continuous_2019_2026","4","outputs\dgf_highprofit_risk_shape_package\configs\004_dgf_hp_risk070_continuous_2019_2026_m4.ini","outputs\dgf_highprofit_risk_shape_package\configs\004_dgf_hp_risk070_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk070_continuous_2019_2026_m4","outputs\dgf_highprofit_risk_shape_package\reports_here\dgf_hp_risk_shape_dgf_hp_risk070_continuous_2019_2026_m4","039297AAAE7929B73AFB73E9C03A714B9D2AF76D558EA3EF6391703437D8012A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze."
"5","dgf_hp_risk080","dgf_highprofit_risk_shape_model4","DGF high-profit risk-shape continuous Model4","continuous_2019_2026","4","outputs\dgf_highprofit_risk_shape_package\configs\005_dgf_hp_risk080_continuous_2019_2026_m4.ini","outputs\dgf_highprofit_risk_shape_package\configs\005_dgf_hp_risk080_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk080_continuous_2019_2026_m4","outputs\dgf_highprofit_risk_shape_package\reports_here\dgf_hp_risk_shape_dgf_hp_risk080_continuous_2019_2026_m4","FC64C9F6D9946090E574A368EE97D0D48923829DF8CC11B453EE702B7BA9CF25","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze."
"6","dgf_hp_risk060_loss_scale","dgf_highprofit_risk_shape_model4","DGF high-profit risk-shape continuous Model4","continuous_2019_2026","4","outputs\dgf_highprofit_risk_shape_package\configs\006_dgf_hp_risk060_loss_scale_continuous_2019_2026_m4.ini","outputs\dgf_highprofit_risk_shape_package\configs\006_dgf_hp_risk060_loss_scale_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk060_loss_scale_continuous_2019_2026_m4","outputs\dgf_highprofit_risk_shape_package\reports_here\dgf_hp_risk_shape_dgf_hp_risk060_loss_scale_continuous_2019_2026_m4","9BA20D63588B4FF4DCEFB5FD93756C151AAF35A82CC001A1546A66E92B17FA6F","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze."
"7","dgf_hp_risk080_loss_scale","dgf_highprofit_risk_shape_model4","DGF high-profit risk-shape continuous Model4","continuous_2019_2026","4","outputs\dgf_highprofit_risk_shape_package\configs\007_dgf_hp_risk080_loss_scale_continuous_2019_2026_m4.ini","outputs\dgf_highprofit_risk_shape_package\configs\007_dgf_hp_risk080_loss_scale_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk080_loss_scale_continuous_2019_2026_m4","outputs\dgf_highprofit_risk_shape_package\reports_here\dgf_hp_risk_shape_dgf_hp_risk080_loss_scale_continuous_2019_2026_m4","9DF4723EA6B1C4CFE3B3A8027345120B58845025ECB6F0EB3D8067FA22CE402B","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze."
"8","dgf_hp_risk080_dd12","dgf_highprofit_risk_shape_model4","DGF high-profit risk-shape continuous Model4","continuous_2019_2026","4","outputs\dgf_highprofit_risk_shape_package\configs\008_dgf_hp_risk080_dd12_continuous_2019_2026_m4.ini","outputs\dgf_highprofit_risk_shape_package\configs\008_dgf_hp_risk080_dd12_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk080_dd12_continuous_2019_2026_m4","outputs\dgf_highprofit_risk_shape_package\reports_here\dgf_hp_risk_shape_dgf_hp_risk080_dd12_continuous_2019_2026_m4","9D4CA569D5C6F2BC851E555EA0D33502958A51831CDD4F53A80C6A19AA58869B","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze."
"9","dgf_hp_peaktrail_20p70gb","dgf_highprofit_risk_shape_model4","DGF high-profit risk-shape continuous Model4","continuous_2019_2026","4","outputs\dgf_highprofit_risk_shape_package\configs\009_dgf_hp_peaktrail_20p70gb_continuous_2019_2026_m4.ini","outputs\dgf_highprofit_risk_shape_package\configs\009_dgf_hp_peaktrail_20p70gb_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_peaktrail_20p70gb_continuous_2019_2026_m4","outputs\dgf_highprofit_risk_shape_package\reports_here\dgf_hp_risk_shape_dgf_hp_peaktrail_20p70gb_continuous_2019_2026_m4","2FDD1D7E0191987BE66DD7050B4BBC94DDEAF9835E232354957B58B5DFD553FB","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze."
"10","dgf_hp_peaktrail_35p70gb","dgf_highprofit_risk_shape_model4","DGF high-profit risk-shape continuous Model4","continuous_2019_2026","4","outputs\dgf_highprofit_risk_shape_package\configs\010_dgf_hp_peaktrail_35p70gb_continuous_2019_2026_m4.ini","outputs\dgf_highprofit_risk_shape_package\configs\010_dgf_hp_peaktrail_35p70gb_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_peaktrail_35p70gb_continuous_2019_2026_m4","outputs\dgf_highprofit_risk_shape_package\reports_here\dgf_hp_risk_shape_dgf_hp_peaktrail_35p70gb_continuous_2019_2026_m4","28CE2706FBA9E2014E0CD5130BD3BFDAB3122DE98E23DD1131A4183D647FB30F","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze."
