"Candidate","Role","ClosePercent","TargetR","StopLockR","OlderNetProfit","MiddleNetProfit","ContinuousNetProfit","CagrPercent","ProfitFactor","TotalTrades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","EraFloor","FrozenGate"
"mopr_control","control","60","4","1.25","1036.19","370.6","1379.93","2.18","1.88","261","1.05","11.6775","13.1429","True","CONTROL"
"mopr_center","center","60","4","1.25","990.43","421.64","1373.21","2.17","1.89","313","1.11","11.0609","12.3694","False","False"
"mopr_close50","close_neighbor_low","50","4","1.25","988.15","419.57","1369.24","2.16","1.88","313","1.11","11.0289","12.3333","False","False"
"mopr_close70","close_neighbor_high","70","4","1.25","1029.93","431.72","1418.87","2.24","1.91","313","1.08","11.7866","13.1389","True","True"
"mopr_target300","target_neighbor_low","60","3","1.25","953.81","397.81","1321.28","2.09","1.85","314","1.12","10.6426","11.7946","False","False"
"mopr_target500","target_neighbor_high","60","5","1.25","1020.02","457.17","1426.64","2.25","1.91","314","1.11","11.4913","12.8559","True","True"
"mopr_lock100","lock_neighbor_low","60","4","1","960.29","434.59","1362.76","2.15","1.89","313","1.14","10.766","11.9561","False","False"
"mopr_lock150","lock_neighbor_high","60","4","1.5","1013.2","431.98","1410.33","2.22","1.91","313","1.09","11.561","12.9358","False","False"
