Candidate,ProfileSha256,DiscoveryNet,DiscoveryCAGR,DiscoveryPF,DiscoveryTrades,DiscoveryDD,ValidationNet,ValidationCAGR,ValidationPF,ValidationTrades,ValidationDD,ContinuousNet,ContinuousAnnualized,ContinuousCAGR,ContinuousPF,ContinuousTrades,ContinuousDD,ContinuousRecovery,ContinuousLossStreak,Eligible,Decision
h4cf_40_20_l20_a25,C561DDE5F60F41FF7B6F7438900086318E2F3D06208E31F3E6DA030368021DB5,1888.65,2.93,1.45,231,4.54,-477.88,-0.88,0.47,46,5.65,1341.97,1.16,1.10,1.27,266,5.61,1.99,10,False,REJECT_VALIDATION_LOSS
h4cf_55_20_l20_a25,F4093AA13832FC277E1D96616054AF2164A7774F1E0411415A655760CC77AD57,2139.70,3.29,1.64,190,4.15,-473.37,-0.87,0.41,41,5.76,1580.63,1.37,1.28,1.37,229,5.59,2.30,9,False,REJECT_VALIDATION_LOSS
h4cf_55_20_l20_a30,940CB5B7C2E6C9786473460ED4C65274430C4CDC3665DDDBAF5EADDA870760DE,2423.58,3.68,1.69,168,3.81,-501.70,-0.93,0.25,31,5.95,1842.75,1.60,1.48,1.43,196,5.82,2.52,7,False,REJECT_VALIDATION_LOSS
h4cf_80_40_l20_a30,AA9A1ECE6084E9F69AA19D99B2FD7B0CCC9A1290EE60F06D44250F3758AA4A90,2459.78,3.73,1.93,135,3.59,-490.21,-0.91,0.20,29,5.70,1850.19,1.61,1.48,1.56,160,5.85,2.51,8,False,REJECT_VALIDATION_LOSS
