"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","367","1994.62","4431.97","2437.35","1.8184","44.14","5.43","709.68"
"EntrySubtype","other","367","1994.62","4431.97","2437.35","1.8184","44.14","5.43","709.68"
"EntryHour","1","4","65.13","87.2","22.07","3.9511","25","16.28","868.55"
"EntryHour","10","58","75.9","459.72","383.82","1.1977","41.38","1.31","596.72"
"EntryHour","11","43","9.01","299.34","290.33","1.031","39.53","0.21","593.7"
"EntryHour","12","21","56.35","175.87","119.52","1.4715","47.62","2.68","923.21"
"EntryHour","13","22","233.62","377.89","144.27","2.6193","45.45","10.62","461.84"
"EntryHour","14","7","11.67","61.59","49.92","1.2338","42.86","1.67","368.11"
"EntryHour","15","27","188.09","380.07","191.98","1.9797","55.56","6.97","737.29"
"EntryHour","16","40","82.36","349.13","266.77","1.3087","50","2.06","940.51"
"EntryHour","17","17","27.71","122.27","94.56","1.293","35.29","1.63","675.18"
"EntryHour","18","7","232.55","320.81","88.26","3.6348","57.14","33.22","674.2"
"EntryHour","19","5","3.93","80.84","76.91","1.0511","20","0.79","1502.44"
"EntryHour","20","5","135.59","178.43","42.84","4.165","80","27.12","2551.85"
"EntryHour","21","3","205.9","205.9","0","INF","100","68.63","341.96"
"EntryHour","22","3","100.04","124.8","24.76","5.0404","66.67","33.35","876.48"
"EntryHour","3","3","332.31","332.31","0","INF","100","110.77","1229.06"
"EntryHour","5","3","24.97","71.47","46.5","1.537","33.33","8.32","648.92"
"EntryHour","6","25","-4.19","145.34","149.53","0.972","28","-0.17","546.52"
"EntryHour","7","18","173.67","260.28","86.61","3.0052","50","9.65","534.32"
"EntryHour","8","24","2.12","140.92","138.8","1.0153","37.5","0.09","796.28"
"EntryHour","9","32","37.89","257.79","219.9","1.1723","40.62","1.18","594.96"
"EntryYear","2015","22","171.91","321.15","149.24","2.1519","54.55","7.81","650.46"
"EntryYear","2016","36","209.32","410.33","201.01","2.0413","44.44","5.81","649.18"
"EntryYear","2017","50","178.5","526.89","348.39","1.5124","42","3.57","716.78"
"EntryYear","2018","56","269.23","558","288.77","1.9323","46.43","4.81","840.4"
"EntryYear","2019","34","3.52","201.2","197.68","1.0178","38.24","0.1","849.44"
"EntryYear","2020","27","194.36","382.57","188.21","2.0327","48.15","7.2","1073.14"
"EntryYear","2021","30","359.78","599.68","239.9","2.4997","30","11.99","387.51"
"EntryYear","2022","36","35.27","276.36","241.09","1.1463","41.67","0.98","521.93"
"EntryYear","2023","41","165.15","477.58","312.43","1.5286","46.34","4.03","725"
"EntryYear","2024","30","165.32","426.66","261.34","1.6326","46.67","5.51","536.95"
"EntryYear","2025","3","33.08","42.37","9.29","4.5608","66.67","11.03","527.68"
"EntryYear","2026","2","209.18","209.18","0","INF","100","104.59","2092.12"
"EntryMonth","1","37","273.16","542.34","269.18","2.0148","45.95","7.38","1007.75"
"EntryMonth","10","36","459.33","648.44","189.11","3.4289","38.89","12.76","619.98"
"EntryMonth","11","34","299.45","539.14","239.69","2.2493","44.12","8.81","704.98"
"EntryMonth","12","39","-2.72","315.24","317.96","0.9914","38.46","-0.07","772.95"
"EntryMonth","2","29","-39.25","240.45","279.7","0.8597","31.03","-1.35","707"
"EntryMonth","3","33","69.45","256.4","186.95","1.3715","54.55","2.1","738.77"
"EntryMonth","4","14","40.63","138.68","98.05","1.4144","42.86","2.9","494.09"
"EntryMonth","5","23","160.34","270.42","110.08","2.4566","47.83","6.97","414.55"
"EntryMonth","6","27","213.91","363.51","149.6","2.4299","48.15","7.92","813.43"
"EntryMonth","7","38","159.89","429.37","269.48","1.5933","47.37","4.21","893.31"
"EntryMonth","8","27","193.38","317.78","124.4","2.5545","55.56","7.16","439"
"EntryMonth","9","30","167.05","370.2","203.15","1.8223","36.67","5.57","587.9"
"Side","buy","224","1056.92","2439.68","1382.76","1.7644","42.86","4.72","709.62"
"Side","sell","143","937.7","1992.29","1054.59","1.8892","46.15","6.56","709.78"
"DayOfWeek","Friday","80","426.49","967.32","540.83","1.7886","47.5","5.33","1172.05"
"DayOfWeek","Monday","65","485.79","935.88","450.09","2.0793","41.54","7.47","593.37"
"DayOfWeek","Thursday","77","384.77","864.6","479.83","1.8019","51.95","5","680"
"DayOfWeek","Tuesday","66","262.02","726.06","464.04","1.5646","40.91","3.97","503.99"
"DayOfWeek","Wednesday","79","435.55","938.11","502.56","1.8667","37.97","5.51","537.94"
