"QueueRank","Candidate","Role","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","AnnualContractSha256","NetProfit","TotalReturnPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","msec_control","exact_control","year_2015","2015.01.01","2015.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","195.25","1.95","2.14","26","53.85","0.86","2.2236","17.74","2","93DE7FF606A69207D895FEC7C3560FF07023E458C8910372F68CF3BA950022C2"
"2","msec_control","exact_control","year_2016","2016.01.01","2016.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","300.18","3","2.4","42","45.24","0.74","4.0024","22.38","5","68987D557C99FE062D9F9F2DA6645D74EE7CC4D5A68218AA08C4F864470FD3B8"
"3","msec_control","exact_control","year_2017","2017.01.01","2017.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","99.65","1","1.25","55","38.18","1.18","0.8437","10.29","6","4AD703FE6467B0D37ADD152B4FEB4970B5697C74FCBB548B7F9D942070F9A948"
"4","msec_control","exact_control","year_2018","2018.01.01","2018.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","333.73","3.34","2.14","63","47.62","0.55","5.8621","24.5","5","E8B62CD667FDDD68232BE5576AB40A2CF8C34EB047CCA6C4EB789DA348101AA0"
"5","msec_control","exact_control","year_2019","2019.01.01","2019.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","13.01","0.13","1.07","36","38.89","1.08","0.1195","0.51","6","35ED128EADFA235C8FEDE75807530BE3AB8753EAA8850D0249E0E47DA7ED382F"
"6","msec_control","exact_control","year_2020","2020.01.01","2020.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","235.07","2.35","2.17","29","48.28","0.71","3.2495","8.19","3","E5912F59A27A3C6199F466C3686DE7FF5D2A1390B16F28DAA82675C0947872D2"
"7","msec_control","exact_control","year_2021","2021.01.01","2021.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","392.11","3.92","2.7","30","30","1.16","3.387","43.76","8","8D2FEF495A4AEA85E283ABA1D29167E1206031C4ABC81819B91A3F3D94583D5F"
"8","msec_control","exact_control","year_2022","2022.01.01","2022.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","49.32","0.49","1.22","36","41.67","0.96","0.5158","7.82","4","3CA31091D82547E197A5CA411CAB0D80B4ECC8E788761DDCA848D017062F2E71"
"9","msec_control","exact_control","year_2023","2023.01.01","2023.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","181.54","1.82","1.75","41","46.34","1.24","1.443","16.47","6","16E8EF360A2EAA2DBED4A689F8694601DD59F941F8A7E5D82F0F3A8119A6928D"
"10","msec_control","exact_control","year_2024","2024.01.01","2024.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","233.81","2.34","2.44","29","48.28","1.08","2.1547","21.39","4","6492C46D2FD775FBFC600EB5A12FB29ED8211EA2F3E880F49B7B1783BFB8861B"
