"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"block_may_jun","7","7","1728.03","801.84","84.72","124.51","801.84","-84.88","-84.88","1"
"block_no_adapt","7","7","1728.03","801.84","84.72","124.51","801.84","-84.88","-84.88","1"
"base","7","7","1557.58","801.84","84.72","124.51","801.84","-255.33","-99.55","3"
"block_fmr_strict","7","7","1695.05","785.35","84.72","124.51","785.35","-84.88","-84.88","1"
"block_fmr_loose","7","7","1695.05","785.35","84.72","124.51","785.35","-84.88","-84.88","1"
"block_fmr_strict_no_adapt","7","7","1695.05","785.35","84.72","124.51","785.35","-84.88","-84.88","1"
"base_fmr_strict","7","7","1524.6","785.35","84.72","124.51","785.35","-255.33","-99.55","3"
"base_fmr_vwap","7","7","1524.6","785.35","84.72","124.51","785.35","-255.33","-99.55","3"
"base_fmr_strict_no_adapt","7","7","1524.6","785.35","84.72","124.51","785.35","-255.33","-99.55","3"
"base_fmr_loose","7","7","1524.6","785.35","84.72","124.51","785.35","-255.33","-99.55","3"
