"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","46","203.37","503.09","299.72","1.6785","39.13","4.42","9515.99"
"EntrySubtype","other","46","203.37","503.09","299.72","1.6785","39.13","4.42","9515.99"
"EntryHour","1","13","5.49","160.88","155.39","1.0353","30.77","0.42","24566.59"
"EntryHour","10","1","-8.8","0","8.8","0","0","-8.8","61.67"
"EntryHour","11","3","24.13","30.37","6.24","4.867","66.67","8.04","1430.33"
"EntryHour","12","5","-23.42","10.49","33.91","0.3093","20","-4.68","458.47"
"EntryHour","13","2","30.23","30.23","0","INF","100","15.12","181.17"
"EntryHour","14","3","-4.64","10.29","14.93","0.6892","33.33","-1.55","120"
"EntryHour","15","3","77.72","85.8","8.08","10.6188","66.67","25.91","178"
"EntryHour","16","1","-32.9","0","32.9","0","0","-32.9","53.33"
"EntryHour","17","2","-8.88","0","8.88","0","0","-4.44","529.34"
"EntryHour","18","1","46.2","46.2","0","INF","100","46.2","70.67"
"EntryHour","19","1","-4.53","0","4.53","0","0","-4.53","900"
"EntryHour","2","1","88.47","88.47","0","INF","100","88.47","57515"
"EntryHour","4","1","14.12","14.12","0","INF","100","14.12","47300"
"EntryHour","6","2","-5.7","0","5.7","0","0","-2.85","180"
"EntryHour","7","2","8.72","14.26","5.54","2.574","50","4.36","427.34"
"EntryHour","8","2","-1.98","0.87","2.85","0.3053","50","-0.99","689.34"
"EntryHour","9","3","-0.86","11.11","11.97","0.9282","33.33","-0.29","325.89"
"EntryYear","2015","2","27.77","33.19","5.42","6.1236","50","13.88","23785.34"
"EntryYear","2016","10","99.13","124.22","25.09","4.951","50","9.91","6274.87"
"EntryYear","2017","16","-139.52","54.21","193.73","0.2798","12.5","-8.72","9044.25"
"EntryYear","2018","18","215.99","291.47","75.48","3.8616","55.56","12","10150.46"
"EntryMonth","1","5","-1.65","24.61","26.26","0.9372","40","-0.33","9783.14"
"EntryMonth","10","3","-1.09","14.66","15.75","0.9308","33.33","-0.36","102.45"
"EntryMonth","11","8","-15.05","44.3","59.35","0.7464","25","-1.88","7893.79"
"EntryMonth","12","7","2.67","35.32","32.65","1.0818","42.86","0.38","2785.67"
"EntryMonth","2","4","36.36","88.47","52.11","1.6978","25","9.09","16957.08"
"EntryMonth","3","6","8.72","44.95","36.23","1.2407","50","1.45","3102.95"
"EntryMonth","4","3","11.11","23.57","12.46","1.8917","66.67","3.7","6936.33"
"EntryMonth","5","1","46.2","46.2","0","INF","100","46.2","70.67"
"EntryMonth","6","4","35.98","68.2","32.22","2.1167","25","9","28409.08"
"EntryMonth","7","3","17.13","40.61","23.48","1.7296","33.33","5.71","28163.78"
"EntryMonth","9","2","62.99","72.2","9.21","7.8393","50","31.5","204.67"
"Side","buy","23","215.97","342.74","126.77","2.7036","47.83","9.39","10852.84"
"Side","sell","23","-12.6","160.35","172.95","0.9271","30.43","-0.55","8179.15"
"DayOfWeek","Friday","9","104.42","137.02","32.6","4.2031","55.56","11.6","2932.18"
"DayOfWeek","Monday","11","-23.27","93.35","116.62","0.8005","27.27","-2.12","12701.52"
"DayOfWeek","Thursday","9","70.62","143.34","72.72","1.9711","33.33","7.85","16346.15"
"DayOfWeek","Tuesday","6","36.63","60.67","24.04","2.5237","50","6.1","1186.28"
"DayOfWeek","Wednesday","11","14.97","68.71","53.74","1.2786","36.36","1.36","10672.4"
