"QueueRank","Candidate","CandidateRank","Window","From","To","Model","Deposit","Enabled","MinimumProfitR","BreakoutLookbackBars","RiskMultiplier","PrimaryLockR","LockedProfitCoverage","Status","ReportPath","ReportSha256","ConfigSha256","ProfileSha256","SourceSha256","PortableBinarySha256","InitialDeposit","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","AddOnEntries"
"11","pwa_lookback8","4","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.25","8","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_lookback8_discovery_2019_2020_m1.htm","6B7F40603C4F8E721854692FFA21644976C28F9D19687001BE76424F2E781CEC","DE0F652EA0C6CF46FE5595C0AE298D41C59DE53F4075A4725D552DD1B59B31D0","B7CF25DE09A7B594881FB2CAF46795C92F2C5B8277EEF4E852B97C82C90D6C00","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","343.23","10343.23","3.43","1.72","1.7","1.88","4.52","5.71","47.37","76","94.65","0.93","3.6263","1"
"12","pwa_lookback8","4","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","1.25","8","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_lookback8_continuous_2015_2020_m1.htm","29E8A312B63F9AB0063D3031632D3D69CCDDA48497AC0796A20ACB5ED166EC40","ECD171089FD54D351FBA5FA050C563284E064E15A0A7461D9C23D5972AC069DC","B7CF25DE09A7B594881FB2CAF46795C92F2C5B8277EEF4E852B97C82C90D6C00","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","1215.44","11215.44","12.15","2.03","1.93","1.79","4.52","5.04","45.35","269","112.66","1.02","10.7886","6"
"13","pwa_trigger100","5","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.00","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_trigger100_older_2015_2018_m1.htm","5AB61E190E4ECF8A4FE632B28D714B7C73AA83F977006D3F953C1B3C034C2262","EA01ADDD31D3111ADB764109814B0D5AF8631B3917A1107716DB6D0BCFC7C527","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","905.85","10905.85","9.06","2.27","2.19","1.83","4.69","5.3","45.08","193","105.94","1.01","8.5506","8"
"14","pwa_trigger100","5","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.00","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_trigger100_discovery_2019_2020_m1.htm","01FD232C1238A141638CA9019ECD610092EBF97EDB1DD2354FD64C8C499C63C9","AA162B899916DB8207D256419815E38943FFD6E9983C7611FBA8DC05AF5487EE","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","343.23","10343.23","3.43","1.72","1.7","1.88","4.52","5.71","47.37","76","94.65","0.93","3.6263","1"
"15","pwa_trigger100","5","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","1.00","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_trigger100_continuous_2015_2020_m1.htm","6E016E90BB214B253276069CFDF6E8CA1E087B8B7F5F8AB6EA82B609CAF94802","9F256861D36C809366351B7FA75281B9E44FD43A47BB91C6F0F59C7FCF6D703E","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","1248.56","11248.56","12.49","2.08","1.98","1.8","4.59","5.14","45.59","272","112.66","1.02","11.0825","9"
"16","pwa_trigger150","6","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.50","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_trigger150_older_2015_2018_m1.htm","416A2DF1D9E4FFF4A77324AC99B871DABA06A0151F221F6EF776BC905A8EF2A1","D5FBCF227ECA19BB5403C5640733FFFEF4B065FD028FCA01343BE7E404FE4A0E","C157EAA0CF21485D118D1B2D05504D6D96148F31EF10C3A048C48502B1C788A5","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","861.4","10861.4","8.61","2.15","2.09","1.79","4.53","5.1","44.21","190","103.84","0.99","8.2955","4"
"17","pwa_trigger150","6","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.50","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_trigger150_discovery_2019_2020_m1.htm","CCAC78B4A1B580A70FC829F72BBBAA727CD978E8F9B01974D7BCE16E63EF16B0","3E0A20A5C5C5DEBEC3033DAB4F25725A4AF6FE3D8658978EE838E398A8EEF08D","C157EAA0CF21485D118D1B2D05504D6D96148F31EF10C3A048C48502B1C788A5","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","343.23","10343.23","3.43","1.72","1.7","1.88","4.52","5.71","47.37","76","94.65","0.93","3.6263","1"
"18","pwa_trigger150","6","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","1.50","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_trigger150_continuous_2015_2020_m1.htm","528502CB770B6F70BCCE463E87F7F03F550D1BE96CC9E99C171D952C62ED25C5","A32FA25FA98EED5061F454F86D3AF1D0C7568F4758AA7CCD34B6C8F7EBEF84D3","C157EAA0CF21485D118D1B2D05504D6D96148F31EF10C3A048C48502B1C788A5","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","1205.44","11205.44","12.05","2.01","1.92","1.78","4.48","5","44.98","269","112.66","1.02","10.6998","5"
"19","pwa_risk025","7","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.25","6","0.25","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_risk025_older_2015_2018_m1.htm","315EA9AF499F0F28A1587FEA73DE77B25BE9A0430B101DC676770D53E9E5B6DF","F059E9C322B810D7B1555F0EF72004916A500186B10A24B6DD13D816245D2CD7","9F7E6B4733CF0FA7EC5063385B63788E2F113F64B893034C5C9C40B95DF6B2A4","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","858.35","10858.35","8.58","2.15","2.08","1.79","4.57","5.09","44.68","188","105.51","1.01","8.1352","1"
"20","pwa_risk025","7","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.25","6","0.25","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_risk025_discovery_2019_2020_m1.htm","195CD3F797BC40BED964E4BEB15A616150DC5F3D45840462716453ED7FEA5842","D028E5B97FE1B395F5F83B868C1E301898DB50BCC5645AF462D6CD035CEEAC16","9F7E6B4733CF0FA7EC5063385B63788E2F113F64B893034C5C9C40B95DF6B2A4","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","330.02","10330.02","3.3","1.65","1.64","1.84","4.4","5.54","46.67","75","94.65","0.93","3.4867","0"
