"Candidate","SourceType","Phase","Expected","ParsedReports","ParsedLogs","ParsedTotal","Missing","Unparsed","TotalNetProfit","WorstNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","WorstDrawdownPercent","MinProfitFactor","TotalTrades"
"m5fbt_b14_struct_r075","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-485.28","-245.61","-0.81","-0.82","-0.82","-0.83","2.79","0.33","123"
"m5fbt_b16_struct_r075","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-151.77","-112.77","-0.26","-0.38","-0.26","-0.38","1.39","0.33","57"
"m5fbt_b18_struct_r075","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-85.11","-57.71","-0.14","-0.19","-0.14","-0.19","0.69","0.11","28"
"m5fbt_b14_fixed_r125","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-561.23","-313.54","-0.94","-1.05","-0.94","-1.06","3.86","0.5","201"
"m5fbt_b14_fixed_r150","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-556.19","-312.82","-0.92","-1.04","-0.94","-1.05","3.66","0.51","201"
"m5fbt_b14_fixed_r200","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-626.87","-317.37","-1.04","-1.06","-1.06","-1.07","3.83","0.49","200"
"m5fbt_b16_fixed_r125","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-244.56","-205.23","-0.4","-0.68","-0.41","-0.69","2.37","0.35","94"
"m5fbt_b16_fixed_r150","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-246.27","-210.34","-0.41","-0.7","-0.42","-0.71","2.38","0.34","94"
"m5fbt_b16_fixed_r200","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-303.58","-196.59","-0.51","-0.66","-0.51","-0.66","2.21","0.38","94"
"m5fbt_b18_fixed_r125","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-166.45","-120.69","-0.28","-0.4","-0.28","-0.4","1.21","0.28","51"
"m5fbt_b18_fixed_r150","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-147.09","-124.88","-0.24","-0.42","-0.24","-0.42","1.25","0.25","51"
"m5fbt_b18_fixed_r200","independent_m5_failed_breakout_trap","discovery_model1","2","2","0","2","0","0","-173.68","-110.93","-0.29","-0.37","-0.29","-0.37","1.11","0.34","51"
