"Profile","Phase","Set","ReportsExpected","ReportsParsed","MissingReports","UnparsedReports","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","LosingWindows","ProfitableWindows","FlatWindows","WorstDrawdownMoney","AverageProfitFactor","AverageSharpeRatio","AverageWinRatePercent","WorstConsecutiveLosses","EvidenceComplete"
"rsg_mo015_body25","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1296.11","-4.98","645.2","0.79","-0.05","0.77","-0.05","1","3","0","150.43","1.3525","3.445","42.42","7","True"
"rsg_mo015_combo20","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1316.05","-4.98","655.17","0.8","-0.05","0.78","-0.05","1","3","0","161.36","1.36","3.575","42.42","7","True"
"rsg_mo015_combo25","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1301.96","-4.98","650.1","0.87","-0.05","0.86","-0.05","1","3","0","150.43","1.415","4.11","42.82","7","True"
"rsg_mo015_combo25_di08","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1373.81","26.32","678.43","1.07","0.26","1.06","0.26","0","4","0","119.13","1.555","5.2425","43.4","6","True"
"rsg_mo015_combo30","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1332.93","-4.98","663.61","0.8","-0.05","0.78","-0.05","1","3","0","150.43","1.4275","4.015","43.02","7","True"
"rsg_mo015_control","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1403.38","-100.47","814.7","0.53","-1.01","0.51","-1.01","2","2","0","313.42","1.26","2.0025","41.08","7","True"
"rsg_mo015_di10","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1443.94","-4.98","719.25","0.87","-0.05","0.85","-0.05","1","3","0","161.36","1.3725","3.6975","42.35","7","True"
"rsg_mo020_body25","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1683.27","-2.17","859.99","1.02","-0.02","1","-0.02","1","3","0","184.48","1.33","3.495","42.42","7","True"
"rsg_mo020_combo20","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1723.55","-2.17","880.13","1.05","-0.02","1.02","-0.02","1","3","0","192.55","1.34","3.6225","42.42","7","True"
"rsg_mo020_combo25","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1644.28","-2.17","836.21","1.09","-0.02","1.07","-0.02","1","3","0","184.48","1.37","3.9425","42.82","7","True"
"rsg_mo020_combo25_di08","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1720.72","29.13","867.69","1.29","0.29","1.27","0.29","0","4","0","153.18","1.4625","4.795","43.4","6","True"
"rsg_mo020_combo30","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1750.25","-2.17","893.48","1.05","-0.02","1.02","-0.02","1","3","0","184.48","1.385","3.885","43.02","7","True"
"rsg_mo020_control","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1740.27","-82.98","936.3","0.74","-0.83","0.71","-0.83","2","2","0","341.46","1.2425","2.165","41.08","7","True"
"rsg_mo020_di10","discovery_model1","reversion_shock_guard_portfolio","4","4","0","0","1853.3","-2.17","954.8","1.11","-0.02","1.08","-0.02","1","3","0","192.55","1.3475","3.735","42.35","7","True"
