"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousProfitFactor","ContinuousExpectedPayoff","ContinuousTrades","ContinuousMaxDrawdownPercent","Decision"
"aer_adr075","0","0","0","20.08","1.8","6","20.08","1.8","3.35","6","0.17","REJECT_BEFORE_HOLDOUT"
"aer_adr095","0","0","0","15.62","0","1","15.62","0","15.62","1","0.06","REJECT_BEFORE_HOLDOUT"
"aer_wick50","0","0","0","7.54","1.93","2","7.54","1.93","3.77","2","0.14","REJECT_BEFORE_HOLDOUT"
"aer_vol110","0","0","0","0.01","1","3","0.01","1","0","3","0.14","REJECT_BEFORE_HOLDOUT"
"aer_rr135","0","0","0","0.01","1","3","0.01","1","0","3","0.14","REJECT_BEFORE_HOLDOUT"
"aer_vol000","0","0","0","0.01","1","3","0.01","1","0","3","0.14","REJECT_BEFORE_HOLDOUT"
"aer_center","0","0","0","0.01","1","3","0.01","1","0","3","0.14","REJECT_BEFORE_HOLDOUT"
"aer_move045","0","0","0","0.01","1","3","0.01","1","0","3","0.14","REJECT_BEFORE_HOLDOUT"
"aer_move065","0","0","0","0.01","1","3","0.01","1","0","3","0.14","REJECT_BEFORE_HOLDOUT"
"aer_adx28","0","0","0","-7.53","0","1","-7.53","0","-7.53","1","0.08","REJECT_BEFORE_HOLDOUT"
"aer_adx36","-8.64","0","1","0.01","1","3","-8.63","0.64","-2.16","4","0.22","REJECT_BEFORE_HOLDOUT"
