"QueueRank","Rank","Candidate","Profile","Phase","Set","Window","From","To","Model","Deposit","PackageConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","RunLabel","StopRule"
"1","1","dir_mo015_di12_control","dir_mo015_di12_control","discovery_model1","rc2_di_repair_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\001_dir_mo015_di12_control_older_2015_2018_m1.ini","dir_mo015_di12_control_older_2015_2018_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_older_2015_2018_m1","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"2","2","dir_mo015_di12_control","dir_mo015_di12_control","discovery_model1","rc2_di_repair_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\002_dir_mo015_di12_control_repair_2019_m1.ini","dir_mo015_di12_control_repair_2019_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_repair_2019_m1","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"3","3","dir_mo015_di12_control","dir_mo015_di12_control","discovery_model1","rc2_di_repair_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\003_dir_mo015_di12_control_repair_2020_m1.ini","dir_mo015_di12_control_repair_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_repair_2020_m1","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"4","4","dir_mo015_di12_control","dir_mo015_di12_control","discovery_model1","rc2_di_repair_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\004_dir_mo015_di12_control_continuous_2015_2020_m1.ini","dir_mo015_di12_control_continuous_2015_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_continuous_2015_2020_m1","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"5","5","dir_mo015_di10_center","dir_mo015_di10_center","discovery_model1","rc2_di_repair_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\005_dir_mo015_di10_center_older_2015_2018_m1.ini","dir_mo015_di10_center_older_2015_2018_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_older_2015_2018_m1","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"6","6","dir_mo015_di10_center","dir_mo015_di10_center","discovery_model1","rc2_di_repair_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\006_dir_mo015_di10_center_repair_2019_m1.ini","dir_mo015_di10_center_repair_2019_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_repair_2019_m1","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"7","7","dir_mo015_di10_center","dir_mo015_di10_center","discovery_model1","rc2_di_repair_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\007_dir_mo015_di10_center_repair_2020_m1.ini","dir_mo015_di10_center_repair_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_repair_2020_m1","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"8","8","dir_mo015_di10_center","dir_mo015_di10_center","discovery_model1","rc2_di_repair_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\008_dir_mo015_di10_center_continuous_2015_2020_m1.ini","dir_mo015_di10_center_continuous_2015_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_continuous_2015_2020_m1","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"9","9","dir_mo015_di08_strict","dir_mo015_di08_strict","discovery_model1","rc2_di_repair_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\009_dir_mo015_di08_strict_older_2015_2018_m1.ini","dir_mo015_di08_strict_older_2015_2018_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di08_strict_older_2015_2018_m1","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"10","10","dir_mo015_di08_strict","dir_mo015_di08_strict","discovery_model1","rc2_di_repair_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\010_dir_mo015_di08_strict_repair_2019_m1.ini","dir_mo015_di08_strict_repair_2019_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di08_strict_repair_2019_m1","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
