"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","fbt_base","discovery_model1","Independent M15 failed-breakout trap discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\001_fbt_base_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\001_fbt_base_older_2015_2018_m1.ini","fbt_base_older_2015_2018_m1","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\reports_here\fbt_base_older_2015_2018_m1","8A1C9412A254A9500F9022BA48C2FE439E8A6483594D125F2DAFA0BAFFE60822","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026."
"2","fbt_base","discovery_model1","Independent M15 failed-breakout trap discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\002_fbt_base_discovery_2019_2020_m1.ini","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\002_fbt_base_discovery_2019_2020_m1.ini","fbt_base_discovery_2019_2020_m1","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\reports_here\fbt_base_discovery_2019_2020_m1","8A1C9412A254A9500F9022BA48C2FE439E8A6483594D125F2DAFA0BAFFE60822","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026."
"3","fbt_base","discovery_model1","Independent M15 failed-breakout trap discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\003_fbt_base_continuous_2015_2020_m1.ini","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\003_fbt_base_continuous_2015_2020_m1.ini","fbt_base_continuous_2015_2020_m1","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\reports_here\fbt_base_continuous_2015_2020_m1","8A1C9412A254A9500F9022BA48C2FE439E8A6483594D125F2DAFA0BAFFE60822","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026."
"4","fbt_box8","discovery_model1","Independent M15 failed-breakout trap discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\004_fbt_box8_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\004_fbt_box8_older_2015_2018_m1.ini","fbt_box8_older_2015_2018_m1","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\reports_here\fbt_box8_older_2015_2018_m1","536DA8C8B3DF6A68FD30A71F63827C6E3D53F3FF13C0A5406B5E3A84466FD2DC","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026."
"5","fbt_box8","discovery_model1","Independent M15 failed-breakout trap discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\005_fbt_box8_discovery_2019_2020_m1.ini","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\005_fbt_box8_discovery_2019_2020_m1.ini","fbt_box8_discovery_2019_2020_m1","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\reports_here\fbt_box8_discovery_2019_2020_m1","536DA8C8B3DF6A68FD30A71F63827C6E3D53F3FF13C0A5406B5E3A84466FD2DC","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026."
"6","fbt_box8","discovery_model1","Independent M15 failed-breakout trap discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\006_fbt_box8_continuous_2015_2020_m1.ini","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\006_fbt_box8_continuous_2015_2020_m1.ini","fbt_box8_continuous_2015_2020_m1","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\reports_here\fbt_box8_continuous_2015_2020_m1","536DA8C8B3DF6A68FD30A71F63827C6E3D53F3FF13C0A5406B5E3A84466FD2DC","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026."
"7","fbt_box16","discovery_model1","Independent M15 failed-breakout trap discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\007_fbt_box16_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\007_fbt_box16_older_2015_2018_m1.ini","fbt_box16_older_2015_2018_m1","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\reports_here\fbt_box16_older_2015_2018_m1","8A2947B53B549B07C94B44896A0DBC40FEFFF43F89F431CD790620AF48908B53","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026."
"8","fbt_box16","discovery_model1","Independent M15 failed-breakout trap discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\008_fbt_box16_discovery_2019_2020_m1.ini","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\008_fbt_box16_discovery_2019_2020_m1.ini","fbt_box16_discovery_2019_2020_m1","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\reports_here\fbt_box16_discovery_2019_2020_m1","8A2947B53B549B07C94B44896A0DBC40FEFFF43F89F431CD790620AF48908B53","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026."
"9","fbt_box16","discovery_model1","Independent M15 failed-breakout trap discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\009_fbt_box16_continuous_2015_2020_m1.ini","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\009_fbt_box16_continuous_2015_2020_m1.ini","fbt_box16_continuous_2015_2020_m1","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\reports_here\fbt_box16_continuous_2015_2020_m1","8A2947B53B549B07C94B44896A0DBC40FEFFF43F89F431CD790620AF48908B53","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026."
"10","fbt_box_tight","discovery_model1","Independent M15 failed-breakout trap discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\010_fbt_box_tight_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\configs\010_fbt_box_tight_older_2015_2018_m1.ini","fbt_box_tight_older_2015_2018_m1","outputs\independent_m15_failed_breakout_trap_discovery_model1_package\reports_here\fbt_box_tight_older_2015_2018_m1","93FD56C0810CAF6D8F78AF66BE0BADE870E3FD753A90F85097B20DBFB888A38D","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026."
