Scenario,Window,Trades,NetProfit,Positive
base,2015,18,139.4,True
base,2016,36,214.49,True
base,2017,46,144.93,True
base,2018,47,188.69,True
base,2019,33,40.53,True
base,2020,27,143.14,True
base,2021,33,413.63,True
base,2022,44,53.53,True
base,2023,42,232.63,True
base,2024,34,220.93,True
base,2025,6,66.56,True
base,2026_ytd,2,209.18,True
light,2015,18,133.73,True
light,2016,36,204.97,True
light,2017,46,132.2,True
light,2018,47,176.11,True
light,2019,33,32.41,True
light,2020,27,135.89,True
light,2021,33,402.06,True
light,2022,44,41.23,True
light,2023,42,220.59,True
light,2024,34,210.82,True
light,2025,6,64.84,True
light,2026_ytd,2,207.59,True
moderate,2015,18,125.21,True
moderate,2016,36,190.68,True
moderate,2017,46,113.11,True
moderate,2018,47,157.23,True
moderate,2019,33,20.24,True
moderate,2020,27,125.02,True
moderate,2021,33,384.71,True
moderate,2022,44,22.78,True
moderate,2023,42,202.54,True
moderate,2024,34,195.66,True
moderate,2025,6,62.25,True
moderate,2026_ytd,2,205.22,True
severe,2015,18,111.03,True
severe,2016,36,166.88,True
severe,2017,46,81.3,True
severe,2018,47,125.77,True
severe,2019,33,-0.06,False
severe,2020,27,106.9,True
severe,2021,33,355.78,True
severe,2022,44,-7.98,False
severe,2023,42,172.44,True
severe,2024,34,170.4,True
severe,2025,6,57.94,True
severe,2026_ytd,2,201.25,True
