"QueueRank","Candidate","Role","StrongSignalRiskEnabled","ProtectionEnabled","ProtectionTriggerR","ProtectionLockR","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"11","rvsstp_lock005","lower_neighbor","true","true","1","0.05","recent_2023_2026","2023.01.01","2026.07.12","1","5D7D59CF589F4049BD4F75A0C5FCC40D81D348B2E737D18A2313DB80C7A0E4A9","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","741.5","7.41","2.05","2.75","76","50","127.62","1.19","5.8102","6.2269","6.36","6","554F52ED94B15457B74C502D440418F538A02511D017A58C4E1AE7CAB00400D1"
"12","rvsstp_lock005","lower_neighbor","true","true","1","0.05","continuous_2015_2026","2015.01.01","2026.07.12","1","5D7D59CF589F4049BD4F75A0C5FCC40D81D348B2E737D18A2313DB80C7A0E4A9","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2276.59","22.77","1.8","1.88","414","45.17","133.75","1.15","17.0212","19.8","4.53","8","5DD6BA9E6BE561D344CD860EA518411EBBF65EFDFC5CD2B6B0905FB6B2319EF9"
"13","rvsstp_center","center","true","true","1","0.1","older_2015_2018","2015.01.01","2018.12.31","1","D6D608320EABFD333B311DDFEE0F17C4ABE66F64D6440B38269BE7D8B5BB7859","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","793.76","7.94","1.93","1.73","187","44.92","105.51","1.01","7.5231","7.8614","4.77","6","EC61B834273C501EE80085CAA6C5814237305D62C7324A22CF01B898EB959C32"
"14","rvsstp_center","center","true","true","1","0.1","middle_2019_2022","2019.01.01","2022.12.31","1","D6D608320EABFD333B311DDFEE0F17C4ABE66F64D6440B38269BE7D8B5BB7859","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","640.19","6.4","1.56","1.75","140","41.43","125.78","1.23","5.0898","5.2033","4.94","8","F5C0EA518AF7F2EE669C11F15BEAAD5881A30DAE3CE82F734D805EB575153142"
"15","rvsstp_center","center","true","true","1","0.1","recent_2023_2026","2023.01.01","2026.07.12","1","D6D608320EABFD333B311DDFEE0F17C4ABE66F64D6440B38269BE7D8B5BB7859","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","744.3","7.44","2.06","2.76","76","50","127.62","1.19","5.8322","6.2521","6.39","6","E410A2FC36766A991FD8F33CE57EFEECB4CDA14A73AC3E3260DAE17C793D017E"
"16","rvsstp_center","center","true","true","1","0.1","continuous_2015_2026","2015.01.01","2026.07.12","1","D6D608320EABFD333B311DDFEE0F17C4ABE66F64D6440B38269BE7D8B5BB7859","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2289.77","22.9","1.8","1.88","414","45.17","133.75","1.15","17.1198","19.913","4.55","8","4335DF79AC1C88E78EE9707FFE3ABAC79C60D1246207138980D9D95B6963AA9A"
"17","rvsstp_trigger125","upper_neighbor","true","true","1.25","0.1","older_2015_2018","2015.01.01","2018.12.31","1","3EF25D86DB79FB04AF773B986C28429778BB953856218E7F1532CB51FA9AC8CC","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","793.76","7.94","1.93","1.73","187","44.92","105.51","1.01","7.5231","7.8614","4.77","6","5EE44C3159294EF7D15681CA2590C496C03AC647774657BA0CE9BC813FA3BAC0"
"18","rvsstp_trigger125","upper_neighbor","true","true","1.25","0.1","middle_2019_2022","2019.01.01","2022.12.31","1","3EF25D86DB79FB04AF773B986C28429778BB953856218E7F1532CB51FA9AC8CC","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","640.19","6.4","1.56","1.75","140","41.43","125.78","1.23","5.0898","5.2033","4.94","8","F78E79D80C6B43425F2551EA7A4111FEAEEDEC5B209370C66D667AE42EFB9D06"
"19","rvsstp_trigger125","upper_neighbor","true","true","1.25","0.1","recent_2023_2026","2023.01.01","2026.07.12","1","3EF25D86DB79FB04AF773B986C28429778BB953856218E7F1532CB51FA9AC8CC","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","838B4E8B1085DAB943B25CC3BD6E5BF004648E260EC933283F94CE8575437749"
"20","rvsstp_trigger125","upper_neighbor","true","true","1.25","0.1","continuous_2015_2026","2015.01.01","2026.07.12","1","3EF25D86DB79FB04AF773B986C28429778BB953856218E7F1532CB51FA9AC8CC","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2236.83","22.37","1.77","1.85","414","44.93","144.42","1.23","15.4884","18.187","4.41","8","3E16AAA5C3818008B60B130632FF7D6572EBD30431FAFF52564DEA79FB9E887A"
