"Check","Pass","Evidence"
"research source safety passes","True","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46"
"sealed discovery package passes","True","rows=30"
"frozen holdout package passes","True","rows=8"
"discovery exact run complete","True","30/30"
"discovery exact binary uniform","True","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D"
"holdout exact run complete","True","8/8"
"holdout exact binary uniform","True","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D"
"published control profile exact","True","65A3228E1C705BFE1DC97ADE7CEF94D3F5AE49C63E4E8E92708DCE699E7B6BCD"
"published selected profile exact","True","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42"
"discovery survivor is frozen trigger100","True","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42"
"holdout rejects candidate","True","difference=-15.22"
"Model4 remains closed","True","closed"
"no new best","True","ATB150 unchanged"
"holdout has no completed add-ons","True","entries=0"
"holdout candidate underperforms control","True","candidate=929.4 control=944.62"
"ATB150 source unchanged","True","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158"
"ATB150 profile unchanged","True","705E2154CF6D123151B67757FFCA3EBF7D8BD525CD859E8237F89674CF70DC4E"
"repository launch lock present","True","present"
"outer launch lock present","True","present"
"MT5 processes absent","True","0"
