"QueueRank","Candidate","Window","ExpectedReportName","Status","ConfigSha256","SourceSha256","PortableBinarySha256","ReportSha256","ReportBytes","IdentityCreatedUtc","Evidence"
"1","tltri_center","older_2015_2018","tltri_center_older_2015_2018_m1","REPORT_FOUND","166F6A8B73346ABD6EEB340B00A4BABCFA72B54A7E02ACBA3C709B2765E53487","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","2050A94C3F432C2C4CA37E4E0F1B4D4335112EF3E3E491F7EA03A9FF1344ABCA","944832","2026-07-19T15:46:51.5031787Z","Exact portable report identity sidecar and report/config hashes verified."
"2","tltri_center","discovery_2019_2020","tltri_center_discovery_2019_2020_m1","REPORT_FOUND","6459930ACFDB2B82236A3321B07FF18BB3BE2683E5E6AAA6FF879565169E294D","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","B91489A8B72A878E62CFD032444435A662E32E795852DB092CADFB32719A4077","492132","2026-07-19T15:47:07.8025459Z","Exact portable report identity sidecar and report/config hashes verified."
"3","tltri_center","continuous_2015_2020","tltri_center_continuous_2015_2020_m1","REPORT_FOUND","6E2938884CC87290313EF3BEE61C7A2D2DC29ABA34B19A2960C17DFB773B12FE","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","DF5E2DE7D035438D9F7A7DE43BBB6F3CA7826AE7D1FCFC14BE516D9304A6F887","1398436","2026-07-19T15:47:28.6774101Z","Exact portable report identity sidecar and report/config hashes verified."
"4","tltri_move10","older_2015_2018","tltri_move10_older_2015_2018_m1","REPORT_FOUND","3F5B16CDE072ABA828836B8EF469204D837421DF3F4C8DF562985419DBEE19FB","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","B8C457ADF940353F97041A69A908E20D4BA1088A45C0C4602E9DF0BF4D4638EF","1026398","2026-07-19T15:47:46.5099979Z","Exact portable report identity sidecar and report/config hashes verified."
"5","tltri_move10","discovery_2019_2020","tltri_move10_discovery_2019_2020_m1","REPORT_FOUND","1482A692E57A232C8B3D68FCA6BFAE67C4895532CB1D650BB7A4E306AE42A3D7","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","0431BDE37FD21D58F27CEAB7D3015439D32A60B29CE25BAE0F606CABCF96C349","533996","2026-07-19T15:48:07.5352626Z","Exact portable report identity sidecar and report/config hashes verified."
"6","tltri_move10","continuous_2015_2020","tltri_move10_continuous_2015_2020_m1","REPORT_FOUND","DE165126B4ED1E93C503453F68226D236ED654119AE7866952758EBD24D7B480","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","2CAA8219A4921A7818647F45D48A0E1DB22CCFD7EBD71BDDFE8B2874CB51D7E4","1522520","2026-07-19T15:48:26.3241745Z","Exact portable report identity sidecar and report/config hashes verified."
"7","tltri_move30","older_2015_2018","tltri_move30_older_2015_2018_m1","REPORT_FOUND","16586BEC51EAC0C331BD9CB1A464DDD2DBF95F55001BCF21B58B0B5D2B1BC9BE","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","FB1095A3C8B3069D0321B2C4AEE5DCDE3F3DED43AD5F73E0544186079D5A5661","853346","2026-07-19T15:48:45.0127149Z","Exact portable report identity sidecar and report/config hashes verified."
"8","tltri_move30","discovery_2019_2020","tltri_move30_discovery_2019_2020_m1","REPORT_FOUND","103DCF36C1C2AA995B13A6E9F3609645B3E0D51CC75C586C83A7D8D0C5250EF3","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","FC1ED567C0A52C85866597093911721D2F8666DE1964F4CFC6F333A6B4EB86B3","460410","2026-07-19T15:49:01.1698778Z","Exact portable report identity sidecar and report/config hashes verified."
"9","tltri_move30","continuous_2015_2020","tltri_move30_continuous_2015_2020_m1","REPORT_FOUND","E5EF3573BD0EC12F41D273FD674B480D387F1538D96C68DBDC14C5C08879E619","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","BE57FD96D6B1FF162F3563B51F91DBD0E9FCAE1FF06B0715050DA94A3CBA9448","1274386","2026-07-19T15:49:18.7613912Z","Exact portable report identity sidecar and report/config hashes verified."
"10","tltri_ref2","older_2015_2018","tltri_ref2_older_2015_2018_m1","REPORT_FOUND","243CC415806121661B48F3364F065302030EDAB4212DEA5DBC1CDED85173AB45","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","C7EB4F5B1A31E0BEE3DC0F65CCC4938AE650A2C56D118FC38ACBC3591EF53260","1072200","2026-07-19T15:49:36.3382515Z","Exact portable report identity sidecar and report/config hashes verified."
"11","tltri_ref2","discovery_2019_2020","tltri_ref2_discovery_2019_2020_m1","REPORT_FOUND","AEBF0EE94D64420013A138CB8E82C8263A7F39C169AA8C300D869B0F62F2B0D9","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","6053500FCD6F96B57AA7916D28801820575204190F9BD36B726F60319503F145","579012","2026-07-19T15:49:52.8485190Z","Exact portable report identity sidecar and report/config hashes verified."
"12","tltri_ref2","continuous_2015_2020","tltri_ref2_continuous_2015_2020_m1","REPORT_FOUND","6C2A203E9874C4082D88BED6E018B6E505EB0A7A2809B378EA42ACDDC955DE2A","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","0C637DB3FD4DA99D88958A5D2DE272C63DD6D8E5BB1AB02B14E8FF105C7C266E","1614440","2026-07-19T15:50:12.5169337Z","Exact portable report identity sidecar and report/config hashes verified."
"13","tltri_ref3","older_2015_2018","tltri_ref3_older_2015_2018_m1","REPORT_FOUND","91A5CA882A0E4C88ABC20F88F7337595D55DB5C4D313BE44A2820949EF1112D9","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","389D588F2D4BE834BD1B20620AFCF85EE06CC17821A5AA10FF7594AB10FD418D","1182384","2026-07-19T15:50:32.5280114Z","Exact portable report identity sidecar and report/config hashes verified."
"14","tltri_ref3","discovery_2019_2020","tltri_ref3_discovery_2019_2020_m1","REPORT_FOUND","59AB65CE319A88D482AFD0CFCC94538486C2C500FD69FCED9BC177A0A36D791A","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","B3F6E560794E4E3A3E54306E196C3971D9632A8DA6A5DBAD66319E18FABB5B2A","640838","2026-07-19T15:50:52.6180609Z","Exact portable report identity sidecar and report/config hashes verified."
"15","tltri_ref3","continuous_2015_2020","tltri_ref3_continuous_2015_2020_m1","REPORT_FOUND","1F1F83ECFF75FDC5D3BB66D20AF4FD7A0D2DD48A0A09EF7C8CC7F5134173257D","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","3E4269F02FCE4DC81D8C7466ECF1F86072E38FCD3CD618F2F2057632F646D254","1784582","2026-07-19T15:51:15.7512280Z","Exact portable report identity sidecar and report/config hashes verified."
"16","tltri_notrend","older_2015_2018","tltri_notrend_older_2015_2018_m1","REPORT_FOUND","04A0576A9B8B6CECC9BA11E93994EA1F1F9E6A193D8658282C02F832167A3CE0","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","8299788E02DF32BF484298E64918E37EFA81AC7E16DCE5C790B42D073BBB6335","942826","2026-07-19T15:51:36.6399571Z","Exact portable report identity sidecar and report/config hashes verified."
"17","tltri_notrend","discovery_2019_2020","tltri_notrend_discovery_2019_2020_m1","REPORT_FOUND","3D780F6FCAF9D247BFCF93072E6F0255BDA6E7EEE8453DA642CAC11819C90E7C","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","826D456CA7F69B749B197F81C24FF07B7FD7D1D244E129ACAF9E8F00CDE69EEA","704358","2026-07-19T15:51:57.1581801Z","Exact portable report identity sidecar and report/config hashes verified."
"18","tltri_notrend","continuous_2015_2020","tltri_notrend_continuous_2015_2020_m1","REPORT_FOUND","512BC65E21E1F553DFD1A600227C8D2EDC065C0193B79DFBC98644DBA0AE6287","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","419A2FF6C8359F5AE4D721216A75FBBF0B1FAE6D7937C30479B787E7E6A57D42","942868","2026-07-19T15:52:19.0155920Z","Exact portable report identity sidecar and report/config hashes verified."
"19","tltri_trend5","older_2015_2018","tltri_trend5_older_2015_2018_m1","REPORT_FOUND","255B89633208A2C6860658FF7A7884624811275EAC36D186DBC6C807CE5DE0E6","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","F17ECF6A6E6FF8D5AC8670B1797A52F893F5B5043799FC082C7E8F1D8F115AE0","998610","2026-07-19T15:52:40.4041889Z","Exact portable report identity sidecar and report/config hashes verified."
"20","tltri_trend5","discovery_2019_2020","tltri_trend5_discovery_2019_2020_m1","REPORT_FOUND","D30C8446BD4E2797E1EA4EC03FEDA4221F1CBAC5ED0FB0A93D450D7846F4B8D5","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","9337835391464D76603B3E50411DB28D3C1B31FB3D33CC83412D9F30C94D794F","555574","2026-07-19T15:52:58.4846650Z","Exact portable report identity sidecar and report/config hashes verified."
"21","tltri_trend5","continuous_2015_2020","tltri_trend5_continuous_2015_2020_m1","REPORT_FOUND","71EA6484D29F748D38FB47BD0FA918442BD377C835649A2ECB450EA9B9DB760F","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","57552FA744EA22B272096325D145983A9D031EC20A2430426CF33A548DB93338","998652","2026-07-19T15:53:19.0727930Z","Exact portable report identity sidecar and report/config hashes verified."
"22","tltri_trend20","older_2015_2018","tltri_trend20_older_2015_2018_m1","REPORT_FOUND","7D75C9F9FB536F5104F1AA459C35089BAA229FEEC5977FE64B0249AA0103FB3E","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","87220AB31E9EB8C4C35F62577E925FED336F4A0CFA4BC8812089B4DA63A6EF75","843452","2026-07-19T15:53:38.3233422Z","Exact portable report identity sidecar and report/config hashes verified."
"23","tltri_trend20","discovery_2019_2020","tltri_trend20_discovery_2019_2020_m1","REPORT_FOUND","4D0D7E800165E55520D56F69ED6A99B87C95BDA94A8CB76D4485FAA2E169B8F2","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","A066CEA4B1BBE630A61ACF82BF3D75D875E06D9689F67515680A59DEAD804C1C","452404","2026-07-19T15:53:56.4078397Z","Exact portable report identity sidecar and report/config hashes verified."
"24","tltri_trend20","continuous_2015_2020","tltri_trend20_continuous_2015_2020_m1","REPORT_FOUND","5F2397BCAF62844C40D08E781A3BA1817FFDBE9C664984FC6283089857BCCF9A","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","9639B071ADE196EE6C253FB32F62C02B4D66AFA57886E0243BCC8CDBA8AC0ED6","1256446","2026-07-19T15:54:19.4435486Z","Exact portable report identity sidecar and report/config hashes verified."
"25","tltri_break2","older_2015_2018","tltri_break2_older_2015_2018_m1","REPORT_FOUND","FC49D728B86CB0DB2E473D8B6989470856B2E6DD66EE62D34E5A162CABB85069","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","1A27A53E8D36555920143E74E43EF4428FB2A854B0E127A3CC3FFF0E9C190799","956670","2026-07-19T15:54:37.6899735Z","Exact portable report identity sidecar and report/config hashes verified."
"26","tltri_break2","discovery_2019_2020","tltri_break2_discovery_2019_2020_m1","REPORT_FOUND","CB82B8D492B40F390127F312166E46BE5BA9491301026EC91927CB5E521A09E1","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","BF762489D5E896480977AC783CAE12A232A75596798E90605D75921459682F73","565564","2026-07-19T15:54:55.3602436Z","Exact portable report identity sidecar and report/config hashes verified."
"27","tltri_break2","continuous_2015_2020","tltri_break2_continuous_2015_2020_m1","REPORT_FOUND","670184C0244C3CE13AD0860528249046D91154B805DBC5D652A32DEE3313FE96","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","D9A05F68CC47EF45CD93B24302270D2B6BA73451F78B5C58CD203E1AB39F4669","956712","2026-07-19T15:55:15.5103234Z","Exact portable report identity sidecar and report/config hashes verified."
"28","tltri_break6","older_2015_2018","tltri_break6_older_2015_2018_m1","REPORT_FOUND","98F2631EA8EDFE8F63C7379F1C2DFC2EE371DC2F26B01BADB4CF2FCC1C25A42B","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","EF77CAE42DA43C3242DE58A20CBA7037EECAD61366B637F0E4F4E157DC32D33B","791642","2026-07-19T15:55:36.9472509Z","Exact portable report identity sidecar and report/config hashes verified."
"29","tltri_break6","discovery_2019_2020","tltri_break6_discovery_2019_2020_m1","REPORT_FOUND","20416A7E66444FD346121338D2A72101E6A54E17A1AAF7A982E4911D5D764BAC","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","D815FCA818B2349F5DA2DABCF9D46CE9D141DA17552451789619344979EBEA3B","430436","2026-07-19T15:55:55.2322036Z","Exact portable report identity sidecar and report/config hashes verified."
"30","tltri_break6","continuous_2015_2020","tltri_break6_continuous_2015_2020_m1","REPORT_FOUND","0B61D5FD181E6555F6E0E36C2AFE49A6FAD24DB72108E20F65BA096A8B93799D","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","7C01E5D58768B24636946A8A5AEB194F9637B4AE50268E8B01A09E5E39ECF852","1180186","2026-07-19T15:56:15.8410037Z","Exact portable report identity sidecar and report/config hashes verified."
"31","tltri_buffer00","older_2015_2018","tltri_buffer00_older_2015_2018_m1","REPORT_FOUND","8B50E21D352F24143F001AB646A3396B2F0AC17AE9BF5730A0397EDFFE83048E","409286458AF0739089CE5436E6E8DCE3E591C88EE6706742A705E2AD1A62F1D3","50BE413BF9793B093269EEC0FA8C94B5F4B98FE4941513237683DD2213A4FF11","35D41F17A416D3AAB00AF5F22D54E2794CD3A0A4E2FB85FA1833DB10C6482EBE","930910","2026-07-19T15:56:34.4686662Z","Exact portable report identity sidecar and report/config hashes verified."
