"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","m15tpb_center","discovery_model1","Independent M15 trend-pullback continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\001_m15tpb_center_older_2015_2018_m1.ini","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\001_m15tpb_center_older_2015_2018_m1.ini","m15tpb_center_older_2015_2018_m1","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_center_older_2015_2018_m1","07E7F232259125E6795CE57A6D66751AC885D16CE3705D2B726F3B39EABA3E20","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"2","m15tpb_center","discovery_model1","Independent M15 trend-pullback continuation discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\002_m15tpb_center_discovery_2019_2020_m1.ini","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\002_m15tpb_center_discovery_2019_2020_m1.ini","m15tpb_center_discovery_2019_2020_m1","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_center_discovery_2019_2020_m1","07E7F232259125E6795CE57A6D66751AC885D16CE3705D2B726F3B39EABA3E20","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"3","m15tpb_center","discovery_model1","Independent M15 trend-pullback continuation discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\003_m15tpb_center_continuous_2015_2020_m1.ini","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\003_m15tpb_center_continuous_2015_2020_m1.ini","m15tpb_center_continuous_2015_2020_m1","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_center_continuous_2015_2020_m1","07E7F232259125E6795CE57A6D66751AC885D16CE3705D2B726F3B39EABA3E20","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"4","m15tpb_ema15","discovery_model1","Independent M15 trend-pullback continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\004_m15tpb_ema15_older_2015_2018_m1.ini","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\004_m15tpb_ema15_older_2015_2018_m1.ini","m15tpb_ema15_older_2015_2018_m1","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema15_older_2015_2018_m1","3011A779073131D63A75932F26EEE46457FD3C1E7F4A60C0F5E7C8859984DC6F","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"5","m15tpb_ema15","discovery_model1","Independent M15 trend-pullback continuation discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\005_m15tpb_ema15_discovery_2019_2020_m1.ini","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\005_m15tpb_ema15_discovery_2019_2020_m1.ini","m15tpb_ema15_discovery_2019_2020_m1","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema15_discovery_2019_2020_m1","3011A779073131D63A75932F26EEE46457FD3C1E7F4A60C0F5E7C8859984DC6F","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"6","m15tpb_ema15","discovery_model1","Independent M15 trend-pullback continuation discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\006_m15tpb_ema15_continuous_2015_2020_m1.ini","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\006_m15tpb_ema15_continuous_2015_2020_m1.ini","m15tpb_ema15_continuous_2015_2020_m1","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema15_continuous_2015_2020_m1","3011A779073131D63A75932F26EEE46457FD3C1E7F4A60C0F5E7C8859984DC6F","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"7","m15tpb_ema30","discovery_model1","Independent M15 trend-pullback continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\007_m15tpb_ema30_older_2015_2018_m1.ini","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\007_m15tpb_ema30_older_2015_2018_m1.ini","m15tpb_ema30_older_2015_2018_m1","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema30_older_2015_2018_m1","8ECDE52ED711871907953127936A8FDE79FC28EE323A6A4DDC19D697646118F4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"8","m15tpb_ema30","discovery_model1","Independent M15 trend-pullback continuation discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\008_m15tpb_ema30_discovery_2019_2020_m1.ini","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\008_m15tpb_ema30_discovery_2019_2020_m1.ini","m15tpb_ema30_discovery_2019_2020_m1","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema30_discovery_2019_2020_m1","8ECDE52ED711871907953127936A8FDE79FC28EE323A6A4DDC19D697646118F4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"9","m15tpb_ema30","discovery_model1","Independent M15 trend-pullback continuation discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\009_m15tpb_ema30_continuous_2015_2020_m1.ini","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\009_m15tpb_ema30_continuous_2015_2020_m1.ini","m15tpb_ema30_continuous_2015_2020_m1","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema30_continuous_2015_2020_m1","8ECDE52ED711871907953127936A8FDE79FC28EE323A6A4DDC19D697646118F4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"10","m15tpb_pb2","discovery_model1","Independent M15 trend-pullback continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\010_m15tpb_pb2_older_2015_2018_m1.ini","outputs\independent_m15_trend_pullback_discovery_model1_package\configs\010_m15tpb_pb2_older_2015_2018_m1.ini","m15tpb_pb2_older_2015_2018_m1","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_pb2_older_2015_2018_m1","8AAD820D5DCDAD41C944BC35546D0B1BC0D09AE960705611F294EA0545A7D8F6","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
