"QueueRank","Candidate","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvsrp_control","older_2015_2018","2015.01.01","2018.12.31","4","41F48C7313018DFB4BCDA353B7C702282270DF5BC2B45989A7474E75ACB4CC01","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","856.18","8.56","2.08","1.79","187","44.92","106.11","1.01","8.0688","8.4752","19.63","6","3FB2B3E89F98C7E2C603C7B8EBDB56497F3DF20B4471DC53AC1A67E4EBFD469B"
"2","rvsrp_control","middle_2019_2022","2019.01.01","2022.12.31","4","41F48C7313018DFB4BCDA353B7C702282270DF5BC2B45989A7474E75ACB4CC01","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","572.09","5.72","1.4","1.68","131","39.69","119.17","1.17","4.8006","4.8889","6.07","8","AD6DC392D160FD1BAF7E923C7E9429CEE78B85705FDC2B5288599CF832D5880E"
"3","rvsrp_control","recent_2023_2026","2023.01.01","2026.07.12","4","41F48C7313018DFB4BCDA353B7C702282270DF5BC2B45989A7474E75ACB4CC01","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","602.11","6.02","1.67","2.28","76","48.68","125.81","1.24","4.7859","4.8548","13.5","6","3D12F6E6329B6D77A6478869E6E0F10A4FD351579B16CCE722F7D9B2C50DB0D1"
"4","rvsrp_control","continuous_2015_2026","2015.01.01","2026.07.12","4","41F48C7313018DFB4BCDA353B7C702282270DF5BC2B45989A7474E75ACB4CC01","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","2105.08","21.05","1.67","1.81","404","44.31","134.35","1.15","15.6686","18.3043","9.04","8","7EF89DB99FAE2C8EF81A3DA88CD355BB7703D5D8FFC06647BA17B23DE1585CD6"
"5","rvsrp_b250_r065","older_2015_2018","2015.01.01","2018.12.31","4","F56A63DFC8C9C214EB7F2A3E66F85231CE0E1DB5ACE152E21871312769750704","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","856.18","8.56","2.08","1.79","187","44.92","106.11","1.01","8.0688","8.4752","19.63","6","6D8CA68A9E747E24C910C2FC687F8639123A0F3C48A8040CD1D5E4697A01CE50"
"6","rvsrp_b250_r065","middle_2019_2022","2019.01.01","2022.12.31","4","F56A63DFC8C9C214EB7F2A3E66F85231CE0E1DB5ACE152E21871312769750704","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","620.19","6.2","1.52","1.74","131","39.69","125.96","1.23","4.9237","5.0407","6.23","8","5EBA6DE5FB8563C598707E96228A428B1F9799E61579FFA8F0B9582143A275B2"
"7","rvsrp_b250_r065","recent_2023_2026","2023.01.01","2026.07.12","4","F56A63DFC8C9C214EB7F2A3E66F85231CE0E1DB5ACE152E21871312769750704","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","671.88","6.72","1.86","2.39","76","48.68","126.01","1.23","5.332","5.4634","14.06","6","552DE522E15D580121BB94CBDF55A7AA3762182E495FA7F068573A89527FB4D6"
"8","rvsrp_b250_r065","continuous_2015_2026","2015.01.01","2026.07.12","4","F56A63DFC8C9C214EB7F2A3E66F85231CE0E1DB5ACE152E21871312769750704","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","2271.52","22.72","1.79","1.87","404","44.31","145.84","1.23","15.5754","18.4715","9.16","8","4414690AA51631CE959A1CE8CFA1838A7386B649D4C1C34DA7CDF8BD8965DC59"
"9","rvsrp_b250_r0675","older_2015_2018","2015.01.01","2018.12.31","4","C52A42710C1472ACF0FED8A1E2FE5B422FEA3D3DC1F2754F1A2BE7DB41ADB0D7","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","856.18","8.56","2.08","1.79","187","44.92","106.11","1.01","8.0688","8.4752","19.63","6","3C5BC165107B1E2F81C1C6644833E17FEDA18A045501D308F0F02571A7414AF6"
"10","rvsrp_b250_r0675","middle_2019_2022","2019.01.01","2022.12.31","4","C52A42710C1472ACF0FED8A1E2FE5B422FEA3D3DC1F2754F1A2BE7DB41ADB0D7","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","633.49","6.33","1.55","1.76","131","39.69","125.96","1.23","5.0293","5.1463","6.27","8","21F3D6E893C0C63B53FDC53D3618D1F1390A4F3BE4F454C32E3DCD9E7F9CD085"
"11","rvsrp_b250_r0675","recent_2023_2026","2023.01.01","2026.07.12","4","C52A42710C1472ACF0FED8A1E2FE5B422FEA3D3DC1F2754F1A2BE7DB41ADB0D7","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","682.79","6.83","1.89","2.42","76","48.68","126.01","1.23","5.4185","5.5528","14.2","6","8BDFF80B90AC63292D570EAF85946B5AB1F087636FDCF3298A0E45E9AB093137"
"12","rvsrp_b250_r0675","continuous_2015_2026","2015.01.01","2026.07.12","4","C52A42710C1472ACF0FED8A1E2FE5B422FEA3D3DC1F2754F1A2BE7DB41ADB0D7","36300BA97B4384C1860ED7754495C5EFC74D2C75603BF0CDCD24BC31D9EAB1DF","1B86001F62CE3AC4FDB29FF1E9D4DA34120FEFB37E1540A952186553E2D9845F","PARSED","2271.52","22.72","1.79","1.87","404","44.31","145.84","1.23","15.5754","18.4715","9.16","8","41A0AD4E05336F7144DFF4EB0DE6B78287E7B045003A334F8EBDAACAAA19C3E3"
