"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","ContractSha256","RVMinimumDIEdge","D1MomentumCapEnabled","D1MomentumLookbackBars","MaximumAbsoluteD1MomentumPercent","InitialDeposit","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","rdmc_released_control","released_control","year_2015","2015.01.01","2015.12.31","1","10000","rdmc_released_control_year_2015_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_released_control_year_2015_m1.htm","E0DA64904D97346CB11659256156834EDDED8BC839C85B095492870208ABF222","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-12.0","false","126","12.0","10000","154.88","10154.88","1.55","","","2.04","7.38","7.07","52.38","21","3","87.62","0.87","47.24","87.62","1.7676"
"2","rdmc_released_control","released_control","year_2016","2016.01.01","2016.12.31","1","10000","rdmc_released_control_year_2016_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_released_control_year_2016_m1.htm","E0DA64904D97346CB11659256156834EDDED8BC839C85B095492870208ABF222","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-12.0","false","126","12.0","10000","213.83","10213.83","2.14","","","2.09","5.94","7","44.44","36","4","52.5","0.52","29.47","52.5","4.073"
"3","rdmc_released_control","released_control","year_2017","2017.01.01","2017.12.31","1","10000","rdmc_released_control_year_2017_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_released_control_year_2017_m1.htm","E0DA64904D97346CB11659256156834EDDED8BC839C85B095492870208ABF222","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-12.0","false","126","12.0","10000","150.44","10150.44","1.5","","","1.46","3.27","5.29","41.3","46","5","105.51","1.05","80.98","105.51","1.4258"
"4","rdmc_released_control","released_control","year_2018","2018.01.01","2018.12.31","1","10000","rdmc_released_control_year_2018_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_released_control_year_2018_m1.htm","E0DA64904D97346CB11659256156834EDDED8BC839C85B095492870208ABF222","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-12.0","false","126","12.0","10000","244.89","10244.89","2.45","","","1.99","5","7.8","48.98","49","3","58.64","0.57","48.04","58.64","4.1762"
"5","rdmc_released_control","released_control","year_2019","2019.01.01","2019.12.31","1","10000","rdmc_released_control_year_2019_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_released_control_year_2019_m1.htm","E0DA64904D97346CB11659256156834EDDED8BC839C85B095492870208ABF222","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-12.0","false","126","12.0","10000","-4.98","9995.02","-0.05","","","0.98","-0.13","-0.22","35.14","37","7","127.85","1.26","114.04","127.85","-0.039"
"6","rdmc_released_control","released_control","year_2020","2020.01.01","2020.12.31","1","10000","rdmc_released_control_year_2020_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_released_control_year_2020_m1.htm","E0DA64904D97346CB11659256156834EDDED8BC839C85B095492870208ABF222","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-12.0","false","126","12.0","10000","-100.47","9899.53","-1","","","0.77","-2.87","-3.14","40","35","6","313.42","3.08","274.79","313.42","-0.3206"
"7","rdmc_released_control","released_control","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rdmc_released_control_continuous_2015_2020_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_released_control_continuous_2015_2020_m1.htm","E0DA64904D97346CB11659256156834EDDED8BC839C85B095492870208ABF222","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-12.0","false","126","12.0","10000","694.13","10694.13","6.94","","","1.42","3.09","4.07","43.11","225","7","303.87","2.77","265.24","303.87","2.2843"
"8","rdmc_di10_parent","di_parent","year_2015","2015.01.01","2015.12.31","1","10000","rdmc_di10_parent_year_2015_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_parent_year_2015_m1.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","false","126","12.0","10000","85.54","10085.54","0.86","","","1.57","4.28","4.49","50","20","3","87.62","0.87","47.24","87.62","0.9763"
"9","rdmc_di10_parent","di_parent","year_2016","2016.01.01","2016.12.31","1","10000","rdmc_di10_parent_year_2016_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_parent_year_2016_m1.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","false","126","12.0","10000","161.03","10161.03","1.61","","","1.82","4.6","5.94","42.86","35","4","50","0.5","29.47","50","3.2206"
"10","rdmc_di10_parent","di_parent","year_2017","2017.01.01","2017.12.31","1","10000","rdmc_di10_parent_year_2017_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_parent_year_2017_m1.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","false","126","12.0","10000","173.84","10173.84","1.74","","","1.57","3.86","6.26","42.22","45","5","91.88","0.91","80.98","91.88","1.892"
"11","rdmc_di10_parent","di_parent","year_2018","2018.01.01","2018.12.31","1","10000","rdmc_di10_parent_year_2018_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_parent_year_2018_m1.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","false","126","12.0","10000","227.15","10227.15","2.27","","","1.98","4.83","7.48","48.94","47","3","58.64","0.57","48.04","58.64","3.8736"
"12","rdmc_di10_parent","di_parent","year_2019","2019.01.01","2019.12.31","1","10000","rdmc_di10_parent_year_2019_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_parent_year_2019_m1.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","false","126","12.0","10000","-4.98","9995.02","-0.05","","","0.98","-0.13","-0.22","35.14","37","7","127.85","1.26","114.04","127.85","-0.039"
