"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","ContractSha256","RVMinimumDIEdge","D1MomentumCapEnabled","D1MomentumLookbackBars","MaximumAbsoluteD1MomentumPercent","InitialDeposit","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"13","rdmc_di10_parent","di_parent","year_2020","2020.01.01","2020.12.31","1","10000","rdmc_di10_parent_year_2020_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_parent_year_2020_m1.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","false","126","12.0","10000","66.3","10066.3","0.66","","","1.25","2.14","3.27","45.16","31","3","161.36","1.59","119.35","161.36","0.4109"
"14","rdmc_di10_parent","di_parent","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rdmc_di10_parent_continuous_2015_2020_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_parent_continuous_2015_2020_m1.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","false","126","12.0","10000","719.25","10719.25","7.19","","","1.51","3.33","4.88","43.52","216","7","160.57","1.49","132.05","160.57","4.4794"
"15","rdmc_di10_cap10","strict_neighbor","year_2015","2015.01.01","2015.12.31","1","10000","rdmc_di10_cap10_year_2015_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap10_year_2015_m1.htm","A2E96FD299C66D4C7E11BCEC0C14A1FC2ACA1F5EE258BF630ECE2C85965A5F6E","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","10.0","10000","85.54","10085.54","0.86","","","1.57","4.28","4.49","50","20","3","87.62","0.87","47.24","87.62","0.9763"
"16","rdmc_di10_cap10","strict_neighbor","year_2016","2016.01.01","2016.12.31","1","10000","rdmc_di10_cap10_year_2016_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap10_year_2016_m1.htm","A2E96FD299C66D4C7E11BCEC0C14A1FC2ACA1F5EE258BF630ECE2C85965A5F6E","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","10.0","10000","161.03","10161.03","1.61","","","1.82","4.6","5.94","42.86","35","4","50","0.5","29.47","50","3.2206"
"17","rdmc_di10_cap10","strict_neighbor","year_2017","2017.01.01","2017.12.31","1","10000","rdmc_di10_cap10_year_2017_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap10_year_2017_m1.htm","A2E96FD299C66D4C7E11BCEC0C14A1FC2ACA1F5EE258BF630ECE2C85965A5F6E","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","10.0","10000","173.84","10173.84","1.74","","","1.57","3.86","6.26","42.22","45","5","91.88","0.91","80.98","91.88","1.892"
"18","rdmc_di10_cap10","strict_neighbor","year_2018","2018.01.01","2018.12.31","1","10000","rdmc_di10_cap10_year_2018_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap10_year_2018_m1.htm","A2E96FD299C66D4C7E11BCEC0C14A1FC2ACA1F5EE258BF630ECE2C85965A5F6E","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","10.0","10000","154.95","10154.95","1.55","","","1.67","3.37","5.45","47.83","46","3","58.64","0.57","48.04","58.64","2.6424"
"19","rdmc_di10_cap10","strict_neighbor","year_2019","2019.01.01","2019.12.31","1","10000","rdmc_di10_cap10_year_2019_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap10_year_2019_m1.htm","A2E96FD299C66D4C7E11BCEC0C14A1FC2ACA1F5EE258BF630ECE2C85965A5F6E","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","10.0","10000","47.22","10047.22","0.47","","","1.26","1.35","2.33","37.14","35","6","75.65","0.75","61.84","75.65","0.6242"
"20","rdmc_di10_cap10","strict_neighbor","year_2020","2020.01.01","2020.12.31","1","10000","rdmc_di10_cap10_year_2020_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap10_year_2020_m1.htm","A2E96FD299C66D4C7E11BCEC0C14A1FC2ACA1F5EE258BF630ECE2C85965A5F6E","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","10.0","10000","169.66","10169.66","1.7","","","1.96","5.85","9.44","48.28","29","3","59.62","0.59","48.64","59.62","2.8457"
"21","rdmc_di10_cap10","strict_neighbor","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rdmc_di10_cap10_continuous_2015_2020_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap10_continuous_2015_2020_m1.htm","A2E96FD299C66D4C7E11BCEC0C14A1FC2ACA1F5EE258BF630ECE2C85965A5F6E","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","10.0","10000","787.15","10787.15","7.87","","","1.61","3.73","5.6","44.08","211","6","116.39","1.09","96.07","116.39","6.763"
"22","rdmc_di10_cap12_center","center","year_2015","2015.01.01","2015.12.31","1","10000","rdmc_di10_cap12_center_year_2015_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap12_center_year_2015_m1.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","12.0","10000","85.54","10085.54","0.86","","","1.57","4.28","4.49","50","20","3","87.62","0.87","47.24","87.62","0.9763"
"23","rdmc_di10_cap12_center","center","year_2016","2016.01.01","2016.12.31","1","10000","rdmc_di10_cap12_center_year_2016_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap12_center_year_2016_m1.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","12.0","10000","161.03","10161.03","1.61","","","1.82","4.6","5.94","42.86","35","4","50","0.5","29.47","50","3.2206"
"24","rdmc_di10_cap12_center","center","year_2017","2017.01.01","2017.12.31","1","10000","rdmc_di10_cap12_center_year_2017_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap12_center_year_2017_m1.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","12.0","10000","173.84","10173.84","1.74","","","1.57","3.86","6.26","42.22","45","5","91.88","0.91","80.98","91.88","1.892"
"25","rdmc_di10_cap12_center","center","year_2018","2018.01.01","2018.12.31","1","10000","rdmc_di10_cap12_center_year_2018_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap12_center_year_2018_m1.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","12.0","10000","227.15","10227.15","2.27","","","1.98","4.83","7.48","48.94","47","3","58.64","0.57","48.04","58.64","3.8736"
"26","rdmc_di10_cap12_center","center","year_2019","2019.01.01","2019.12.31","1","10000","rdmc_di10_cap12_center_year_2019_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap12_center_year_2019_m1.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","12.0","10000","47.22","10047.22","0.47","","","1.26","1.35","2.33","37.14","35","6","75.65","0.75","61.84","75.65","0.6242"
"27","rdmc_di10_cap12_center","center","year_2020","2020.01.01","2020.12.31","1","10000","rdmc_di10_cap12_center_year_2020_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap12_center_year_2020_m1.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","12.0","10000","169.66","10169.66","1.7","","","1.96","5.85","9.44","48.28","29","3","59.62","0.59","48.64","59.62","2.8457"
"28","rdmc_di10_cap12_center","center","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rdmc_di10_cap12_center_continuous_2015_2020_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap12_center_continuous_2015_2020_m1.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","12.0","10000","875.84","10875.84","8.76","","","1.68","4.13","6.1","44.34","212","6","116.39","1.09","96.07","116.39","7.525"
"29","rdmc_di10_cap14","loose_neighbor","year_2015","2015.01.01","2015.12.31","1","10000","rdmc_di10_cap14_year_2015_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap14_year_2015_m1.htm","0271FB8073C2282D8BDE1FDBC7823C9B6F7F34EA5B44E67A1304C191D806AA7B","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","14.0","10000","85.54","10085.54","0.86","","","1.57","4.28","4.49","50","20","3","87.62","0.87","47.24","87.62","0.9763"
"30","rdmc_di10_cap14","loose_neighbor","year_2016","2016.01.01","2016.12.31","1","10000","rdmc_di10_cap14_year_2016_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap14_year_2016_m1.htm","0271FB8073C2282D8BDE1FDBC7823C9B6F7F34EA5B44E67A1304C191D806AA7B","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","14.0","10000","161.03","10161.03","1.61","","","1.82","4.6","5.94","42.86","35","4","50","0.5","29.47","50","3.2206"
"31","rdmc_di10_cap14","loose_neighbor","year_2017","2017.01.01","2017.12.31","1","10000","rdmc_di10_cap14_year_2017_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap14_year_2017_m1.htm","0271FB8073C2282D8BDE1FDBC7823C9B6F7F34EA5B44E67A1304C191D806AA7B","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","14.0","10000","173.84","10173.84","1.74","","","1.57","3.86","6.26","42.22","45","5","91.88","0.91","80.98","91.88","1.892"
"32","rdmc_di10_cap14","loose_neighbor","year_2018","2018.01.01","2018.12.31","1","10000","rdmc_di10_cap14_year_2018_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap14_year_2018_m1.htm","0271FB8073C2282D8BDE1FDBC7823C9B6F7F34EA5B44E67A1304C191D806AA7B","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","14.0","10000","227.15","10227.15","2.27","","","1.98","4.83","7.48","48.94","47","3","58.64","0.57","48.04","58.64","3.8736"
"33","rdmc_di10_cap14","loose_neighbor","year_2019","2019.01.01","2019.12.31","1","10000","rdmc_di10_cap14_year_2019_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap14_year_2019_m1.htm","0271FB8073C2282D8BDE1FDBC7823C9B6F7F34EA5B44E67A1304C191D806AA7B","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","14.0","10000","47.22","10047.22","0.47","","","1.26","1.35","2.33","37.14","35","6","75.65","0.75","61.84","75.65","0.6242"
"34","rdmc_di10_cap14","loose_neighbor","year_2020","2020.01.01","2020.12.31","1","10000","rdmc_di10_cap14_year_2020_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap14_year_2020_m1.htm","0271FB8073C2282D8BDE1FDBC7823C9B6F7F34EA5B44E67A1304C191D806AA7B","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","14.0","10000","169.66","10169.66","1.7","","","1.96","5.85","9.44","48.28","29","3","59.62","0.59","48.64","59.62","2.8457"
"35","rdmc_di10_cap14","loose_neighbor","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rdmc_di10_cap14_continuous_2015_2020_m1","PARSED","outputs\reversion_d1_momentum_cap_discovery_model1_package\reports_here\rdmc_di10_cap14_continuous_2015_2020_m1.htm","0271FB8073C2282D8BDE1FDBC7823C9B6F7F34EA5B44E67A1304C191D806AA7B","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","-10.0","true","126","14.0","10000","875.84","10875.84","8.76","","","1.68","4.13","6.1","44.34","212","6","116.39","1.09","96.07","116.39","7.525"
