"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","odc_center","discovery_model1","Independent M15 overnight-drift continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\001_odc_center_older_2015_2018_m1.ini","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\001_odc_center_older_2015_2018_m1.ini","odc_center_older_2015_2018_m1","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_center_older_2015_2018_m1","93714B18CCB6E927EC8EB3CF6097896F947DEE281EF23A48A27CBEB20D6EAF2C","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"3","odc_center","discovery_model1","Independent M15 overnight-drift continuation discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\002_odc_center_discovery_2019_2020_m1.ini","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\002_odc_center_discovery_2019_2020_m1.ini","odc_center_discovery_2019_2020_m1","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_center_discovery_2019_2020_m1","93714B18CCB6E927EC8EB3CF6097896F947DEE281EF23A48A27CBEB20D6EAF2C","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"4","odc_center","discovery_model1","Independent M15 overnight-drift continuation discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\003_odc_center_continuous_2015_2020_m1.ini","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\003_odc_center_continuous_2015_2020_m1.ini","odc_center_continuous_2015_2020_m1","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_center_continuous_2015_2020_m1","93714B18CCB6E927EC8EB3CF6097896F947DEE281EF23A48A27CBEB20D6EAF2C","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"6","odc_prior020","discovery_model1","Independent M15 overnight-drift continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\004_odc_prior020_older_2015_2018_m1.ini","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\004_odc_prior020_older_2015_2018_m1.ini","odc_prior020_older_2015_2018_m1","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior020_older_2015_2018_m1","D1D3D52D532613E8E20D876DCB6D48330A50CD35ED14B3CF824C818415C5F636","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"7","odc_prior020","discovery_model1","Independent M15 overnight-drift continuation discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\005_odc_prior020_discovery_2019_2020_m1.ini","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\005_odc_prior020_discovery_2019_2020_m1.ini","odc_prior020_discovery_2019_2020_m1","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior020_discovery_2019_2020_m1","D1D3D52D532613E8E20D876DCB6D48330A50CD35ED14B3CF824C818415C5F636","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"9","odc_prior020","discovery_model1","Independent M15 overnight-drift continuation discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\006_odc_prior020_continuous_2015_2020_m1.ini","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\006_odc_prior020_continuous_2015_2020_m1.ini","odc_prior020_continuous_2015_2020_m1","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior020_continuous_2015_2020_m1","D1D3D52D532613E8E20D876DCB6D48330A50CD35ED14B3CF824C818415C5F636","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"10","odc_prior040","discovery_model1","Independent M15 overnight-drift continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\007_odc_prior040_older_2015_2018_m1.ini","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\007_odc_prior040_older_2015_2018_m1.ini","odc_prior040_older_2015_2018_m1","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior040_older_2015_2018_m1","668BAC6D2A8E1D1989CC19BD9EECF90336F1F04280BAB2C253EED83F5AB5EFFE","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"12","odc_prior040","discovery_model1","Independent M15 overnight-drift continuation discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\008_odc_prior040_discovery_2019_2020_m1.ini","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\008_odc_prior040_discovery_2019_2020_m1.ini","odc_prior040_discovery_2019_2020_m1","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior040_discovery_2019_2020_m1","668BAC6D2A8E1D1989CC19BD9EECF90336F1F04280BAB2C253EED83F5AB5EFFE","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"13","odc_prior040","discovery_model1","Independent M15 overnight-drift continuation discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\009_odc_prior040_continuous_2015_2020_m1.ini","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\009_odc_prior040_continuous_2015_2020_m1.ini","odc_prior040_continuous_2015_2020_m1","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_prior040_continuous_2015_2020_m1","668BAC6D2A8E1D1989CC19BD9EECF90336F1F04280BAB2C253EED83F5AB5EFFE","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"15","odc_priorbody35","discovery_model1","Independent M15 overnight-drift continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\010_odc_priorbody35_older_2015_2018_m1.ini","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\configs\010_odc_priorbody35_older_2015_2018_m1.ini","odc_priorbody35_older_2015_2018_m1","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_priorbody35_older_2015_2018_m1","C0C761D74889D70C789B7EC5EE5C8FB04765FB8C92417C5A85BCE789B13F4BEA","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
